id,store,section,sku,item,spec,qty,unit,unit_usd,basis,used_for,status,need_rule,target
P018,WireBarn,GXL by the foot,,GXL 10 AWG RED,,25,ft,,cart,"Busbar → block A, K11, block B",cart,,
P019,WireBarn,GXL by the foot,,GXL 16 AWG PNK,,25,ft,,cart,F3 switch supply and the +5 V reference — 10 ft calculated,to add,,
P020,WireBarn,GXL by the foot,,GXL 16 AWG YEL,,50,ft,,cart,"CAN high, both buses — 33 ft calculated",to add,,
P021,WireBarn,GXL by the foot,,GXL 16 AWG GRN,,50,ft,,cart,"CAN low, both buses — 33 ft calculated",to add,,
P022,DeutschConnector.com,"Contacts, plugs, clips, caps, tools",0462-201-16141,"Socket contact, size 16, 16–18 AWG, solid",,16,ea,,cart,spares (kits cover the cavities),cart,,
P023,DeutschConnector.com,"Contacts, plugs, clips, caps, tools",0460-202-16141,"Pin contact, size 16, 16–18 AWG, solid",,16,ea,,cart,spares,cart,,
P024,DeutschConnector.com,"Contacts, plugs, clips, caps, tools",0462-209-16141,"Socket contact, size 16, 14 AWG, solid",,7,ea,,cart,"+ spares = 18 (L2-M 1–4, L3-M 1–2, L4-M 1–4, D1 1–2, D2 1–2 — the kits' contacts do not take 14 AWG)",raise,contacts14,18
P025,DeutschConnector.com,"Contacts, plugs, clips, caps, tools",0460-215-16141,"Pin contact, size 16, 14 AWG, solid",,7,ea,,cart,+ spares = 18,raise,contacts14,18
P026,DeutschConnector.com,"Contacts, plugs, clips, caps, tools",0462-203-12141,"Socket contact, size 12, solid",,5,ea,,cart,spares,cart,,
P027,DeutschConnector.com,"Contacts, plugs, clips, caps, tools",0460-204-12141,"Pin contact, size 12, solid",,5,ea,,cart,spares,cart,,
P028,DeutschConnector.com,"Contacts, plugs, clips, caps, tools",114017,"Sealing plug, size 16 cavity",,64,ea,,cart,"By its own rule - every PLUG cavity, both halves, plus the leg-plug half of every RESERVED cavity (D-271); size 16 means DT housings only (the DTP PLUGs at L1-P and L3-CMF take size-12 plugs). PLUG cavities in DT04-receptacle housings = 21 x 2 halves = 42; PLUG cavities in the DT13 drops = 2 (DP-DCU-B 12, DP-ICU-B 1), plug half only = 2 (DP-DCU-B 9-11 carry lines since D-369 / D-370); RESERVED in DT housings = 16, plug half each = 16. Need 42 + 2 + 16 = 60; target 60 + the row's margin of 6 = 66",raise,plugs16,66
P029,DeutschConnector.com,"Contacts, plugs, clips, caps, tools",0413-204-2005,"Sealing plug, size 12 cavity",,0,ea,,cart,"L1-P 4 in both halves (a PLUG) + the leg-plug half of L1-P 2 and L1-P 3 (RESERVED, D-271) + L3-CMF 2 in both halves (D-274) — 6",raise,plugs12,6
P030,DeutschConnector.com,"Contacts, plugs, clips, caps, tools",1027-003-1200,"Mounting clip, DT / DTP receptacle",,22,ea,,cart,"One per DT / DTP receptacle at a post or node - 24, derived: housings whose box_side is a DT04 or DTP04 receptacle (sql: count(*) from housings where box_side like 'DT04%' or box_side like 'DTP04%'). The four DT13 flanged receptacles in the ICU and DCU enclosure walls take no clip. 28 -> 24: the nozzle and console-window receptacles and the key-panel drop are gone (D-329, D-350) and DP-DCU is a DT13 now (luxury D-362)",raise,clips,24
P031,DeutschConnector.com,"Contacts, plugs, clips, caps, tools",0411-310-1605,"Contact removal tool, size 16",,1,ea,,cart,toolbox,cart,,
P032,DeutschConnector.com,"Contacts, plugs, clips, caps, tools",114010,"Contact removal tool, size 16 (plastic)",,1,ea,,cart,lives in the car,cart,,
P033,DeutschConnector.com,"Contacts, plugs, clips, caps, tools",0411-310-1205,"Contact removal tool, size 12",,0,ea,,cart,1 — the DTP housings,to add,,
P034,DeutschConnector.com,"Contacts, plugs, clips, caps, tools",DT12P-DC,"Dust cap, DT 12-way receptacle",,1,ea,,cart,DROPS to 0 — DP-ICU-B is a plug tail into the ICU's own receptacle (D-270); no 12-way receptacle is left capped,raise,,0
P035,DeutschConnector.com,"Contacts, plugs, clips, caps, tools",DT6P-DC,"Dust cap, DT 6-way receptacle",,1,ea,,cart,DROPS to 0 — DP-DCU is a plug tail into the DCU's own DT13 receptacle (luxury D-362); was DP-DCU at the post,raise,,0
P036,DeutschConnector.com,"Contacts, plugs, clips, caps, tools",DT4P-DC,"Dust cap, DT 4-way receptacle",,2,ea,,cart,"2 - L3-RDR, L4-RDR (D-274). 3 -> 2, the key-panel drop deleted (D-350)",to add,,2
P037,Amazon,Tools,,"Hydraulic lug crimper, 8 AWG – 1/0, with dies",TEMCo TH0006 class,1,,60,est,Every 2 AWG / 1/0 / 6 AWG lug,cart,,
P038,Amazon,Tools,,"Deutsch solid-contact 4-indent crimper, sizes 12 / 16",IWISS solid-contact Deutsch crimper,1,,139,est,Accepted only after the pull-test coupons pass (D4),cart,,
P039,Amazon,Tools,,"Open-barrel ratchet crimper, 1.5 mm and 2.8 mm dies",Astro 9477 class,1,,80,est,The PMU's SICMA terminals — check the die on one spare terminal first,cart,,
P040,Amazon,Tools,,Digital hanging scale 0–50 kg,any,1,,18,est,Crimp pull tests,cart,,
P041,Amazon,Tools,,Label printer,Brother PT-D220 (B0B1L3BL1G),1,,40,est,Prints the TZe-FX231 tape,cart,,
P042,Amazon,Tools,,"Heat gun, 1500 W, two temperatures",any,1,,30,est,,cart,,
P043,Amazon,Tools,,"Wire strippers 10–22 AWG, flush cutters, needle-nose",Klein / Knipex class,1 set,,70,est,,cart,,
P044,Amazon,Tools,,Soldering iron + solder,Pinecil / Hakko class,1,,45,est,Ladder resistors and diodes,cart,,
P045,Amazon,Tools,,"Digital multimeter — ohms, DC volts, continuity beeper",any auto-ranging,1,,30,est,The UT210E does current; a plain meter is faster for continuity,cart,,
P046,Amazon,Tools,,"Torque wrench 1/4 in drive, 2–20 N·m",any,1,,40,est,"Battery lugs, busbar studs, PMU stud",cart,,
P047,Amazon,Power backbone and battery,,"Class-T fuse block with cover, 110–200 A",Blue Sea 5007100,1,,78,est,The only fuse type with the interrupt rating for a lithium short,cart,,
P048,Amazon,Power backbone and battery,,Class-T fuse 150 A,Blue Sea 5114,2,,90,est,"One fitted, one spare",cart,,
P049,Amazon,Power backbone and battery,,Master battery disconnect switch,"Blue Sea 9003e (e-Series) - 350 A continuous, 1500 A cranking. NOT the 9004e: its Alternator Field Disconnect pole was the only reason to pay for it and D-351 dropped the sense that used it. Confirm SKU and price before the cart is paid",1,,62,est,"On the battery POSITIVE carrying both the Class-T/PMU leg and the MRBF/starter leg (D-319). No auxiliary pole, no switch-position input (D-351); the load-dump protection is P136's TVS, which was always the part that covered the case no switch can anticipate",hold,confirm,
P050,Amazon,Power backbone and battery,,"Distribution post, 3/8 in stud, insulated",Blue Sea 2003 PowerPost,1,,16,est,The temporary feed point in the backbone weekend (E10-E11); the factory harness feed lands here,cart,,
P051,Amazon,Power backbone and battery,,MRBF terminal fuse holder,Blue Sea 5191,1,,25,est,On the battery + post,cart,,
P052,Amazon,Power backbone and battery,,MRBF fuse 250 A,"Blue Sea MRBF 250 A, 5191 holder — confirm the SKU before the cart is paid",1,,17,est,"Starter main cable protection, sized to 1/0 (D-321, supersedes D-237)",hold,confirm,
P053,Amazon,Power backbone and battery,,"MIDI / AMI fuse holder, sealed, bolt-down",Blue Sea 5006 class,2,,28,est,"F17, F18 beside the starter B+ stud",cart,,
P054,Amazon,Power backbone and battery,,MIDI fuse 30 A,Blue Sea 5253 class,2,,10,est,"F17, one spare",cart,,
P055,Amazon,Power backbone and battery,,MIDI fuse 100 A,Blue Sea 5258 class,2,,10,est,"F18, one spare",cart,,
P057,Amazon,Power backbone and battery,,"Battery hold-down clamp + J-hooks, M8 grade-8 hardware, nyloc, fender washers",generic,1 set,,40,est,The backing-plate stock is §7,cart,,
P058,Amazon,Power backbone and battery,,Ground studs 3/8 in stainless,generic,4,,16,est,"Rear, front, dash, sill",cart,,
P059,Amazon,Power backbone and battery,,"Star washers, stainless, assorted",generic kit,1,,8,est,Under every ground stud and lug,cart,,
P060,Amazon,Power backbone and battery,,"PMU stand-offs M6 × 12 mm, aluminium",generic,3,,5,est,Airflow under the PMU,cart,,
P061,Amazon,Power backbone and battery,,2 AWG fine-strand welding cable RED,"TEMCo, 25 ft + 20 ft",45 ft,,213,est,"PMU feed C03 and the Class-T link C01 only — the starter run moved to 1/0 (D-246), so this line DROPS to 25 ft and saves about $90",raise,,25 ft
P062,Amazon,Power backbone and battery,,2 AWG fine-strand welding cable BLACK,"TEMCo, 25 ft",25 ft,,72,est,"Engine block → chassis bonding strap C06 only — the battery negative moved to 1/0 (D-245, D-246), so this line DROPS to 10 ft",raise,,10 ft
P063,Amazon,Power backbone and battery,,"6 AWG cable RED, 5 ft",any SGX / welding,1,,15,est,Alternator B+,cart,,
P096,Amazon,Power backbone and battery,,1/0 fine-strand welding cable RED,"≥ 90 °C, 100 % copper — same acceptance test as D-238",25 ft,,140,est,Starter feed C04 (D-246),to add,,
P097,Amazon,Power backbone and battery,,1/0 fine-strand welding cable BLACK,"≥ 90 °C, 100 % copper",30 ft,,165,est,"Battery negative C05 (straight to the rear ground stud - the disconnect is on the positive, D-245 → D-319) and the cranking return C11 (D-246)",to add,,
P064,Amazon,Power backbone and battery,,"Tinned closed-barrel lugs 2 AWG, 5/16 and 3/8 holes",TEMCo / Selterm,18,,45,est,Every 2 AWG cable end + practice crimps,cart,,
P065,Amazon,Power backbone and battery,,Tinned lugs 6 AWG 5/16 (×4),TEMCo / Selterm,8,,16,est,"Alternator B+ cable C07 — the four 1/0 lugs move to P098, so this line DROPS to the four 6 AWG lugs",raise,,4
P098,Amazon,Power backbone and battery,,Tinned closed-barrel lugs 1/0 — 3/8 hole (×8) and 5/16 hole (×4),"5/16 for the MRBF holder stud, 3/8 for the disconnect, ground studs and block",12,,30,est,Every 1/0 cable end plus practice crimps (D-246),to add,,
P115,DeutschConnector.com,Assembly kits,12SA-201-16141,DT06-12S plug kit,housing + wedgelock + a solid contact per cavity,7,ea,,cart,L1-S1 · L1-S2 · L3-S1 · L3-S2 · L4-M · DP-ICU-B · DP-DCU-B — the DCU's command drop is a plug (luxury D-362) — 6 → 7,raise,kit:DT06-12S,7
P126,DeutschConnector.com,Assembly kits,12PA-202-16141,DT04-12P receptacle kit,housing + wedgelock + a solid contact per cavity,7,ea,,cart,L1-S1 · L1-S2 · L3-S1 · L3-S2 · L4-M — DP-ICU-B's receptacle is the DT13 header on the ICU (D-270) — DROPS 7 → 5,raise,kit:DT04-12P,5
P101,DeutschConnector.com,Assembly kits,8SA-201-16141,DT06-8S plug kit,housing + wedgelock + a solid contact per cavity,5,ea,,cart,L2-M · L3-S3 · L4-S · L4-S2 · D1 · D2 — the door plugs carry sealing plugs until the door harness (D-274) — 5 → 6,raise,kit:DT06-8S,6
P127,DeutschConnector.com,Assembly kits,8PA-202-16141,DT04-8P receptacle kit,housing + wedgelock + a solid contact per cavity,5,ea,,cart,L2-M · L3-S3 · L4-S · L4-S2 · D1 · D2 — 5 → 6,raise,kit:DT04-8P,6
P099,DeutschConnector.com,Assembly kits,6SA-201-16141,DT06-6S plug kit,housing + wedgelock + a solid contact per cavity,2,ea,,cart,"L2-S · DP-DCU · DP-ICU-A - DP-DCU's plug is on the harness now, at the end of its tail to the centre stack (luxury D-362)",raise,kit:DT06-6S,4
P128,DeutschConnector.com,Assembly kits,6PA-202-16141,DT04-6P receptacle kit,housing + wedgelock + a solid contact per cavity,2,ea,,cart,"L2-S - DP-ICU-A's and DP-DCU's receptacles are DT13 headers on their modules (D-270, luxury D-362). 2 -> 1",raise,kit:DT04-6P,2
P124,DeutschConnector.com,Assembly kits,4SA-201-16141,DT06-4S plug kit,housing + wedgelock + a solid contact per cavity,2,ea,,cart,"DP-DIAG · L3-RDR · L4-RDR - DP-DIAG's plug is the CAN1 terminator, always plugged in; the other two wait for their parts. 4 -> 3, the key-panel drop deleted (D-350)",raise,kit:DT06-4S,3
P129,DeutschConnector.com,Assembly kits,4PA-202-16141,DT04-4P receptacle kit,housing + wedgelock + a solid contact per cavity,2,ea,,cart,"DP-DIAG · L3-RDR · L4-RDR. 4 -> 3, the key-panel drop deleted (D-350)",raise,kit:DT04-4P,3
P123,DeutschConnector.com,Assembly kits,2SA-201-16141,DT06-2S plug kit,housing + wedgelock + a solid contact per cavity,1,ea,,cart,"L3-M · L2-OAT · L3-MOD - the plugs for the head unit, the thermistor and the module (D-274). 4 -> 3, the nozzle receptacle cancelled (D-329)",raise,kit:DT06-2S,3
P130,DeutschConnector.com,Assembly kits,2PA-202-16141,DT04-2P receptacle kit,housing + wedgelock + a solid contact per cavity,1,ea,,cart,"L3-M · L2-OAT · L3-MOD. 4 -> 3, the nozzle receptacle cancelled (D-329)",raise,kit:DT04-2P,3
P131,DeutschConnector.com,Assembly kits,P4S-203-12141,DTP06-4S plug kit (size 12),housing + wedgelock + a solid contact per cavity,3,ea,,cart,L1-P · L2-P · L4-P,cart,kit:DTP06-4S,
P132,DeutschConnector.com,Assembly kits,P4P-204-12141,DTP04-4P receptacle kit (size 12),housing + wedgelock + a solid contact per cavity,3,ea,,cart,L1-P · L2-P · L4-P,cart,kit:DTP04-4P,
P100,DeutschConnector.com,Assembly kits,P2S-203-12141,DTP06-2S plug kit (size 12),housing + wedgelock + a solid contact per cavity,1,ea,,cart,"L3-P · L3-BLW · L3-CMF — the blower's and the comfort block's plugs go on the shelf (D-253, D-274) — 1 → 3",raise,kit:DTP06-2S,3
P133,DeutschConnector.com,Assembly kits,P2P-204-12141,DTP04-2P receptacle kit (size 12),housing + wedgelock + a solid contact per cavity,1,ea,,cart,L3-P · L3-BLW · L3-CMF — 1 → 3,raise,kit:DTP04-2P,3
P102,DeutschConnector.com,"Contacts, plugs, clips, caps, tools","DTP receptacle dust cap, 2-way — confirm part number","Dust cap, DTP 2-way receptacle",,0,ea,,cart,"L3-BLW at the HVAC case and L3-CMF behind the centre stack, capped until their parts arrive (D-253, D-274)",to add,,2
P103,ICU electronics,Cluster module carrier H-001 — ordered after layout,,ICU carrier PCB H-001,"2 boards, 2-layer, JLCPCB / OSH Park",2,ea,,est,"one fitted, one spare — laid out to D-270's enclosure with D-273's parts",later,,
P104,ICU electronics,Cluster module carrier H-001 — ordered after layout,TCAN1042HVDRQ1,"CAN transceiver, 3.3 V IO, 5 V bus, VIO pin","SOIC-8, automotive",2,ea,3,est,"one fitted, one spare — suffix confirmed at V-057",later,,
P105,ICU electronics,Cluster module carrier H-001 — ordered after layout,LMR36015FSCQRNXRQ1,"12 V → 5 V automotive buck, 1.5 A","VQFN-HR 2 × 3 mm (RNX), adjustable, 2.1 MHz spread-spectrum FPWM - TI's own 5 V design; 60 V in, AEC-Q100. Footprint Package_DFN_QFN:Texas_RNX0012C_VQFN-14-11-1EP_2x3mm_P0.5mm_EP0.25x1.825mm (confirm RNX0012B vs C on the reel) - not the LMR33630 (D-273)",1,ea,8,est,ICU logic rail — ~0.8 A peak with the radio scanning,later,,
P106,ICU electronics,Cluster module carrier H-001 — ordered after layout,,"Load-dump TVS SMBJ33A ×2, SS34 ×4, bulk capacitors",,1,set,8,est,both 12 V inputs (D-088),later,,
P107,ICU electronics,Cluster module carrier H-001 — ordered after layout,,Front end,"100 Ω 1 W ×2 excitation · 15 kΩ / 10 kΩ and 47 kΩ / 10 kΩ dividers · BAT54S ×12 · LM393 on the 5 V rail with 10 kΩ pull-ups to 3V3 · 5.1 V zener ×2 · 100 kΩ ½ W ×2 · backlight switch ≥ 60 V (SQD50P06-class P-FET or a VN5E-class high-side driver, ≥ 6 A) + 4 A fuse · RC parts",1,set,16,est,"values in the v2 ICU-CARRIER.md (archived — 99-ARCHIVE) and the icu_channels rows — checked, D-273",later,,
P108,ICU electronics,Cluster module carrier H-001 — ordered after layout,APS6404L-3SQR,PSRAM 8 MB ×2,fitted to the ICU's Teensy pads before install,2,ea,5,est,the display's framebuffer (luxury D-170) — fitted now so the board never comes out for it,later,,
P109,ICU electronics,Cluster module carrier H-001 — ordered after layout,,IMU module,"LSM6DSO / ICM-42688-P class, I²C — the MPU-6050 and ICM-20948 are not recommended for new designs (D-273)",1,ea,5,est,orientation per V-073 before layout; the performance page is the luxury package's,later,,
P110,ICU electronics,Cluster module carrier H-001 — ordered after layout,,Standard 0.1 in female headers for the Teensy socket,,1,set,4,est,square pins damage machined sockets — standard female only,later,,
P111,ICU electronics,Cluster module carrier H-001 — ordered after layout,,Enclosure for the carrier behind the binnacle,"printed ASA or PETG (never PLA), two DT13 cut-outs in the wall, RF-transparent in front of the ESP32-C3 antenna (D-270)",1,ea,20,est,,later,,
P122,ICU electronics,Cluster module carrier H-001 — ordered after layout,DT13-06PA + DT13-12PA,"Deutsch DT13 flanged PCB receptacles, 6-way and 12-way, with their sealing plugs and the flange gaskets",through the enclosure wall; mate the harness's DT06-6S / DT06-12S plugs,1,set,24,est,the ICU's two connector halves live on the board (D-270); one spare of each if the budget allows,later,,
P117,ICU electronics,"Display chain — the eval board now, the glass after M-1 (D-268)",,BT817 EVE evaluation board,Riverdi / Matrix Orbital / Bridgetek BT817 board — proves the whole chain on the desk before any glass money,1,ea,70,est,"F2 - the one exception to D-323: bought now, as a design tool, so the ICU layout's display header comes off the real board (D-371); luxury LP05 moved here",ordered,,
P118,ICU electronics,"Display chain — the eval board now, the glass after M-1 (D-268)",,12.3-inch bar display,"chain (ii) — 1920 × 720, 900–1000 nit, bonded or AR glass, with its scaler board (V-085 → D-269)",1,ea,150,est,chain (ii) ruled (D-269); bought after M-6 sizes the aperture; luxury LP26 moved here,later,,
P119,ICU electronics,"Display chain — the eval board now, the glass after M-1 (D-268)",,Display bridge — TFP410-class HDMI encoder,"BT817 RGB out → HDMI into the scaler (chain ii, D-269)",1,ea,20,est,V-084 confirms timings on the bench (F3); luxury LP27 moved here,later,,
P120,ICU electronics,"Display chain — the eval board now, the glass after M-1 (D-268)",,"Page button, panel-mount momentary",,1,ea,3,est,luxury D-169; on the binnacle plate (D-269),later,,
P121,Hardware store,After the measurement day,,"Binnacle plate stock — 3 mm black ABS or aluminium, one piece sized from M-1","the display's temporary mount, which may stay as the bezel's sub-frame (Q-130)",1,ea,15,est,D-268,later,,
P116,Amazon,Dash node and electronics,,"ESP32-C3 module ×2 — Seeed XIAO ESP32C3 class (castellated, fits a header)","one dev board to try the BMS / shunt decode now, one for the carrier",2,ea,6,est,"the ICU's radio co-processor (D-267), reading the Ionic BMS over BLE — advertisement scan for pack mV, FFE1 GATT client for the cell frame (D-330); on its own 3.3 V LDO (the XIAO's), not the Teensy's 250 mA regulator (D-273)",to add,,2
P113,Vehicle parts,RockAuto / PartsGeek / Mazda specialist,,Road-speed sensor,"Hall pulse generator on the transmission's speedo-drive boss, the cable deleted — Dakota Digital SEN-01-4160 / AutoMeter 5291 class, 8 000 or 16 000 pulses per mile, sealed; thread adapter per M-2",1,ea,105,est,IC08 / DV47 — fitted at the meters cutover (D-272); bought after M-2 measures the boss,not carted,,
P114,Amazon,Dash node and electronics,,100 Ω 1 W 1 % metal-film resistor,the oil-node pull-up at the dash node (D-260) + 1 spare,2,ea,1,est,add by hand — the kits are ¼ W,to add,,2
P066,Amazon,Power backbone and battery,,"Terminal boots, red and black, 2 AWG / 1/0",generic,10,,15,est,Every exposed lug on a live stud — four more ends now that the negative side is 1/0 (D-246),raise,,14
P067,Amazon,Power backbone and battery,,LiFePO4-profile charger 12 V 10 A — OPTIONAL,Ionic 12V 10A,1,,110,est,A lead-acid charger can ruin the Ionic; skip if one is owned,cart,,
P068,Amazon,Dash node and electronics,,"Barrier terminal strip, 8 position, 12 V rated",generic,2,,15,est,Wake strip - the seven diode-OR inputs and the common rail fill all 8 positions now (D-350); the second strip is the spare,cart,,
P069,Amazon,Dash node and electronics,,"Metal-film resistor kit, E24 1 %, 1/4 W",generic kit,1,,15,est,"Values used: 1.8k 3.3k 4.7k 6.8k 8.2k 10k 12k 15k 18k 33k 47k 100k 220k 470k 560k 1M (the last three: wake_stages, D-381)",cart,,
P070,Amazon,Dash node and electronics,,120 Ω 1 % 1/4 W resistors,generic,10,,1,est,"CAN terminators, 3 used: CAN1 at the PMU connector and inside the DP-DIAG plug, CAN2 at the dash node (D-346); the PMU's CAN2 end is its software termination; two more for the bench bus (T-048, B8) - was luxury LP03, 'covered' (D-374)",cart,,
P071,Amazon,Dash node and electronics,,Schottky diode 1N5819,1N5819,20,,3,est,7 wake strip (D-350) + 1 WASH leg + 2 wake-stage base clamps (D-381) + spares; CK10 may take one more for K13's ST diode (D-352),cart,,
P072,Amazon,Dash node and electronics,,NPN transistor 2N3904,2N3904,10,,1,est,"The two wake stages, door (A6) and A8: per side an emitter-follower that switches the excitation, a sense NPN and a follower into wake-strip pin 7, plus one shared on O22 - 7 used, 3 spare (D-375)",cart,,
P073,Amazon,Dash node and electronics,,"Inline ATC fuse holder, 2-pack",generic,1,,6,est,The 5 A first-power-up guard (E24),cart,,
P074,Amazon,Dash node and electronics,,"Shielded cable, 16–18 AWG single core with drain, 15 ft",any automotive shielded,1,,15,est,Tach — L1-S1 6 → DP-ICU-B 4 4,cart,,
P135,Amazon,Dash node and electronics,,"Ignition noise-suppression capacitor, automotive, ~0.47 µF 250 V, ring-lug case",Reproduces the factory condenser B-22 on the coil / igniter supply,2,ea,10,est,O12 branch at the coil bracket (L1-P 1) — this harness runs CAN2 and eight analog ladders past the igniters (D-281),to add,,
P075,Amazon,Consumables and labels,,Label tape,"Brother TZe-FX231 flexible-ID, 12 mm black on white (B00X8GRTO8)",3,,45,est,"every conductor end - params label_ends (582) at 45 mm = about 26 m; a TZe cartridge is 8 m, so four (32 m)",raise,,4
P076,Amazon,Consumables and labels,,"Clear heat-shrink 3/16 in, 2:1",generic,3,,20,est,Over every label on the engine leg and under loom,cart,,
P077,Amazon,Consumables and labels,,"Adhesive-lined heat-shrink assortment 3:1, incl. heavy-wall for lugs",generic,1 kit,,40,est,,cart,,
P078,Amazon,Consumables and labels,,"Heat-shrink crimp butt splices — 22–18 (×50), 16–14 (×50), 12–10 (×25)","generic, tinned",1 set,,25,est,"Every factory-pigtail joint (rules device-end, legs E20-E23)",cart,,
P079,Amazon,Consumables and labels,,"Ring terminals, heat-shrink, assorted 16–14 and 12–10, #10 and 3/8",generic,1 kit,,20,est,Ground rings and stud connections,cart,,
P080,Amazon,Consumables and labels,,Tesa 51608 cloth harness tape,Tesa 51608,5 rolls,,33,est,,cart,,
P081,Amazon,Consumables and labels,,"Split loom / braided sleeve assortment, grommet kit, P-clips, pull string 100 ft",generic,1 set,,110,est,,cart,,
P082,Amazon,Consumables and labels,,"Cavity wax / corrosion inhibitor spray, paint pen",generic,1 set,,20,est,,cart,,
P083,Amazon,Switches,,"Momentary pushbutton, 1NO + 1NC, 2-pack",DMWD (B09H29SZYS),1 pk,,12,est,Wink L and wink R. MUST be changeover (NO + NC) — the NC pole is wired,cart,,
P084,Amazon,Switches,,"Adjustable plunger pin switch, 6-pack",generic,1 pk,,15,est,"Door jambs ×2, glove box, luggage, the brake-pedal wake contact (D-278) + 1 spare",cart,,
P085,Vehicle parts,RockAuto / PartsGeek / Mazda specialist,,"Brake pedal (stop lamp) switch, without cruise - any 2-terminal type",Standard SLS-52 class — confirm fit,1,,20,est,The A3 ladder only. The wake contact is a spare P084 plunger on the pedal (D-278),not carted,,
P086,Vehicle parts,RockAuto / PartsGeek / Mazda specialist,,"Ignition switch, electrical portion, 1981–83 RX-7","search ""81-83 RX-7 ignition switch electrical""; NOS or quality reproduction",1,,45,est,"Terminals B, ACC, IG, ST — feeds the A16 ladder and both wake sources",not carted,,
P090,Hardware store,After the measurement day,,"Carrier-panel stock for the dash node — 3 mm aluminium or ABS sheet, one or several small pieces",,,,,,Sizes from M-1 and the bench layout (E13),later,,
P091,Hardware store,After the measurement day,,"Sill-node panel stock, about 150 × 100 mm",,,,,,M-5,later,,
