id,date,workflow,ids,summary
L011,2026-09-08,answers,D-272 Q-309 D-273 V-082 D-274 Q-132 D-315 Q-128 D-267 Q-133,"Answer cycle 3 — D-272 (road speed: a Hall pulse generator on the transmission's speedo-drive boss, the cable deleted, LIVE at the cutover; the supply is an O10 tap — `Q-309`) · D-273 (the ICU carrier parts check done — `V-082`: a 60 V buck, a ≥ 60 V backlight switch behind a 4 A fuse, a current IMU, the radio on its own LDO, the LM393 on 5 V) · D-274 (the chassis principle — every future branch ends in a dust-capped receptacle where it leaves its leg: seven new housings; both release solenoids exist and are wired to; `D1` / `D2` RESERVED at the sill — `Q-132`), with luxury D-315. `Q-128`: the ESP32 is confirmed (D-267); the packet now asks only for the source and the nRF Connect look. Next question Q-133."
L012,2026-09-08,session,D-275 Q-133,"D-275 — the drawing is a view: `build` now renders one master harness sheet (`01-DESIGN/diagrams/HARNESS.svg`, WireViz) from the tables — battery to part to ground, every conductor — and the twelve hand-drawn SVGs are archived; A8 is done. `DESIGN.md` §1 shows whether the sheet is current. Next question Q-133."
L013,2026-09-08,session,D-276 Q-133,"D-276 — five more sheets from the same model: `LEG-L1…L4.svg`, one per leg, beginning to end (post housings with their feeds on the left, conductors bundled per housing, parts and grounds on the right; L4 carries the backbone to the dash busbar and the sill node) and `DASH-NODE.svg`. Next question Q-133."
L014,2026-09-08,session,D-277 Q-133 Q-134,"D-277 — the cart dialed to the current design: the fourteen Deutsch kit lines are data with a derived need (12-way drops, 8/6/4/2-way and DTP-2 rise, DTP-4 stays), label tape to four cartridges, a perfboard added, three notes corrected; §8 is the whole delta. One new question, `Q-133` — the three sill fuse holders now, so `L4-P 3/4` end in a holder (recommend yes). Next question Q-134."
L015,2026-09-08,repair,D-249 D-253 Q-112 Q-116 Q-121 Q-134 Q-139 D-278 D-247 D-279 D-282 Q-140 D-283,"Repair. The 2026-09-08 apply script (written from the Claude-Project PENDING docs) reused D-249–D-253 and Q-112, Q-116–Q-121 — numbers this file had already spent. Fixed: the duplicate `Q-112` packet removed (ruled → D-253); the six benchmark packets renumbered `Q-134`–`Q-139`; the plunger ruling written as D-278 (supersedes D-247) and the four benchmark rulings as D-279–D-282; every data cell and template that cited the wrong number re-pointed; the condenser part added as P135. Both PENDING docs are applied and deleted. Next question Q-140, next decision D-283 — see `PROPOSAL-system-v2.md` §5 step 0."
L016,2026-09-08,answers,D-283 Q-133,"D-283 closes Q-133 — the three sill holders (46047) are fitted empty on F8 / F9 / F14, so no conductor ends bare: P002 raises 4 → 7, the luxury package's LP37 / PV44 / PV45 bring fuses, not holders"
L017,2026-09-08,clean,Q-140,"R7 citations fixed in 18 cells (D-221 → D-233, D-227 / D-231 → D-244) · NG-202 dropped from L003 · 15 data cells stripped of Markdown · DESIGN.md gets a Contents line · QUESTIONS.md §1 count is now derived and its cart claim corrected · Q-140 opened: four §1 packets move Amazon lines P049 / P052 before the carts are paid"
L-0001,2026-09-10,session,,text lost: rx7.py log wrote only id and date until 2026-09-21 (fixed that day) - see git log for this date
L-0002,2026-09-11,session,,text lost: rx7.py log wrote only id and date until 2026-09-21 (fixed that day) - see git log for this date
L-0003,2026-09-12,session,,text lost: rx7.py log wrote only id and date until 2026-09-21 (fixed that day) - see git log for this date
L-0004,2026-09-12,session,,text lost: rx7.py log wrote only id and date until 2026-09-21 (fixed that day) - see git log for this date
L-0005,2026-09-12,session,,text lost: rx7.py log wrote only id and date until 2026-09-21 (fixed that day) - see git log for this date
L-0006,2026-09-13,session,,text lost: rx7.py log wrote only id and date until 2026-09-21 (fixed that day) - see git log for this date
L-0007,2026-09-21,session,D-356,Blocks renumbered per project (<project>.<n>); BLOCKS.md grouped under project headers; rx7.py and CLAUDE.md updated; 26 retired rows for the old BLK- ids
L-0008,2026-09-21,answers,D-357 00.18 00.19,00.18 applied as D-357 (MOTOR_BUS conditional retry); block 00.19 opened for the DCU mirror lines; DV52 deleted; mirror cavities relabelled for luxury D-359
L-0009,2026-09-21,answers,D-360 00.19 A8,00.19 applied as D-360: one shared clutch line; L3-S3 5-8 carry the DCU mirror lines to L4-S2; A8 done; P028 target changed
L-0010,2026-09-21,session,D-361 01.08,"D-361: cad/PCB-AND-3D-GUIDE.md written; layout lifted from the cad fence; luxury 01.08, V-100, V-101 opened; V-083 / SN16 / LP14 corrected"
L-0018,2026-09-21,repair,N24 N38 N55 N59 N68 N73-N83 L4-S 4 L3-S2 7 L4-M 3 L4-M 4 B2 B6 G24 K5-K8 A2 A3 A9 C2 C3 C4 D1-D4 E1 E2 F1 F4 G13 Q-014 Q-110 Q-115 V-055 V-081 V-088 P028 P030 P036 P068 P070 P071 P075 P097 P107 P123 P124 P125 P129 P130 P136 CK02 CK03 CK04 DV42 DV44 IC16 pins-2 pins-4 pins-24 pins-38 F13 RT11 label_ends gaps_est_usd,"Audit repair: node_conductors brought to D-318/D-346/D-350/D-352 (N73-N83 added, N24/N55/N59/N38/N68 fixed); stale D-245/D-237/D-256/D-079/D-331 remnants cited with closers; parts recounted without the retired receptacles (P028/P030/P036/P123-P125/P129/P130) and P068/P070/P071/P075; cables/grounds gain note=confirm (R11); O10 est_a to LD15; buy-side work gated behind A1/phase:SOURCING; prose gates to C1 and 01-luxury:F-012; v2 document refs replaced; stored D/Q/C ranges removed; C4, E2, A9 added"
L-0019,2026-09-21,repair,D-363 D-364 D-208 D-210 00.20 00.21 00.22 00.23 00.24 00.25 CAR.01 CAR.02,"Full-folder scan 2026-09-21: rx7.py fixed (log, block parser, gates, exit codes, new checks); D-363 window relays; D-208/D-210 supersede links; blocks 00.20-00.25, CAR.01-02 opened"
L-0020,2026-09-21,answers,D-365 D-366 D-367 D-368 D-369 D-370 D-371 D-372,"CAR.01-02 and 00.20-00.25 applied: D-365 Type F, D-366 premix (00-CAR gains a decisions table), D-367 limp-home on K13 30, D-368 47k baselines (A10, CK12), D-369 DCU high-side mirror heat, D-370 K3/K4 release select, D-371 eval board exempt from D-323, D-372 install steps as work rows (E3, luxury X-008)"
L-0021,2026-09-21,session,E3 E4-E34 E1 A10 F3 A6 D-372 D-368,"E3 done: the archived install procedure is work rows E4-E34, updated to every ruling since v2; E1 folded; rules label-format and device-end added; every 'install §' cite repointed; F3 gated on F2, A6 on phase:SOURCING; A10 records that D-368's baseline breaks the v2 wake-stage values"
L-0022,2026-09-21,session,D-373,D-373: rx7.py todo writes a read-only TODO.md per project from its work table; CLAUDE.md and README updated
L-0023,2026-09-21,session,A10 CK12 00.26 D-368 D-248,A10 worked: the v2 wake stage could never drive pin 7; any held stage contradicts D-248; block 00.26 opened (pulse or held); CK12 given three bench facts; TODO.md regenerated after A3/A4/A5/A9 were already carried
L-0024,2026-09-22,answers,D-374 F5 F6 E26 E17 F4 DV54 DV53 P142-P157 P070 SN11-SN27,"D-374: the ICU's remainder and the whole DCU moved in from luxury - work, parts, dcu_channels, modules, CAN map, params, bring-up log, firmware; DP-DCU live from E26; F5/F6 added; cad/dcu-carrier started"
L-0025,2026-09-22,repair,E24 F4 F-012 F-013 F-015 X-007 00.27,"One machine (Fedora, /home/crash/docs/storage/Rx7): Windows scripts ported - firmware run.sh, icu_sim build.sh + sim_sdl.cpp (Win32 host retired), manuals fetch.sh; hook path anchored, pre-commit executable and enabled; CLAUDE.md, cad docs, firmware README re-pointed; kicad-cli flags verified and ICU ERC clean here; all 483 firmware assertions green in a podman container; F4 dropped; block 00.27 opened (PMU client on Fedora), E24 gated on it"
L-0026,2026-09-22,answers,D-375 D-376 D-377 P158 P072 A10 E24 F1 F2 F3 F7-F12 IC01-IC24 full_push_ms,"00.26 ruled (D-375, pulse wake stages, P158); 00.27 ruled (D-376, PMU client on the Windows laptop); ICU pin map (D-377, guide A1-A2 done); F2 split into F7-F12 - the KiCad steps before and after measurement"
L-0027,2026-09-22,repair,F7 F8 F9 F10 F13,"ICU cad: beginner guide rewritten (menus verified on KiCad 10.0.6 here); J5 got real Teensy pads + its missing VIN/3V3/GND pins (netlist-verified), Teensy41_Socket footprint made; F7 extended, F8-F10 re-scoped to guide steps, F13 added (buck circuit)"
L-0028,2026-09-23,session,D-378 D-379 D-380 D-381 V-065 V-083 V-101 F13 F-012 F-013 F-015 F-016 H-007 A10 X-007 F-009 F14 00.28,"Agent work across the tree: research V-065 (D-378), V-083 (D-379), V-101, F13 (buck drawn on the ICU sheet), done; F-012, F-013, F-015 (battery path, test_radio), F-016 (0x400), H-007 (D-380, panel_ribbon), A10 (D-381, wake_stages), done; render.sh found + fixed the trip page's fake numbers and two diag layout defects (X-007 waits on Camden); F-009 re-owned to Camden; F14 added; block 00.28 opened"
L-0029,2026-09-23,answers,D-382 00.28 DP-DCU-C G36 P153,"00.28 ruled (D-382): fuses 7.5 / 5 / 5 A, DP-DCU-C DT13-08PA with its own two grounds (G36)"
L-0030,2026-09-23,session,D-385 DV01 DV41 RT01 RT21,"Harness drawings (D-385): tools/diagrams.py + rx7.py diagrams write A-pin-ladder and B-route-map for L1-L4 under diagrams/, overlap rule enforced; devices.route and cavities.route added and set where the record names the run; options A-D stored in diagrams/options; CLAUDE.md §1/§3/§6/§9 amended"
L-0031,2026-09-23,session,D-386 00.29 00.30 R1 R2 R3 R4 R5 R6 Z1 Z2 A1 F-009 X-007 W-330b,"D-386: electrical split into 00-design/01-build with two generated TODOs; every path repointed after Camden's move; every build row gated on phase:SOURCING; risk review filed as blocks 00.29 00.30 and rows R1-R6, design review Z1 and freeze Z2"
L-0032,2026-09-23,session,D-387 S1 E35 R7 00.31 00.29 C1 C3 C4 V-102 H-002 E12 E27 E28 E30 E31 E33 Z1,"D-387: the car comes apart once - design Part 1 car whole, S1 strips the interior (wiring left), Part 2 apart + review + freeze; build Part 3 apart, Part 4 from E35 interior back in; E12/E27/E28 run not drive; block 00.31 (factory harness pull vs drive-a-week); 00.29 sharpened"
L-0033,2026-09-24,session,D-398,"D-398: planning open in every project at every phase; CLAUDE.md §1, §6.1, §6.5 updated; no rows changed"
L-0034,2026-09-24,session,D-401,"D-401: the agent commits and pushes, small commits straight to master, no pull requests; CLAUDE.md §2, §6, §6.10, §8"
L-0035,2026-09-24,session,R3 D-408 CK14 CK15 CK16 E26,"R3 done (D-408): fixed ladder windows fail inside E12's limits - A4 CRANK_OK leaves at 0.20 V block offset, A16 START at 11.9 V cranking, A15 HEAD_LO when charging. A4/A5 upward windows, A15/A16 conductance decode; inputs.decode, rules ladder-decode, CK14-CK16, E26 note"
L-0036,2026-09-24,session,R4 D-409,"R4 done (D-409): a surprise takes no PMU channel - inputs via ICU + CAN (IC07, then DP-ICU-B 9), switches via the DCU panel, outputs share a channel behind a DCU select; V-081 and Q-115 need none; O4, O13/O14 and a second PMU are his rulings. rules spare-capacity extended"
L-0037,2026-09-24,answers,00.30 D-410 00.32 R2 F23 N29 N87,"00.30 (a) applied as D-410: F23 wake supply, N87, dead-feed reads FAULT, IGNITION/FUEL_PUMP/HEAD_*/TAIL_PARK hold on fault; light switch feed raised as block 00.32; R2 gated on it"
L-0038,2026-09-24,answers,00.31 D-411 E30,"00.31 (a) applied as D-411: factory harness pulled while apart after E29, boxed until shakedown; E30 rewritten"
L-0039,2026-09-24,answers,F2 F8 P117,"F2 done (BT817 eval board ordered, P117 status ordered) and F8 done (KiCad steps 1-3), from the desktop"
L-0040,2026-09-24,answers,00.29 00.33 R1 00-CAR:K-025,"00.29 came back as a fact, not a ruling: the car does not start (00-CAR K-025). Replaced by plainer block 00.33 carrying his words; R1 regated"
L-0041,2026-09-24,session,R7 D-411,R7 done: D-411 already applied block 00.31 to E30; E35 unchanged
