id,name,system,zone,factory,maker,part_no,factory_code,bought,link,support,cad,photo,note,model_at_mm,model_from,oem_no,catalogue,applies,parent
PT041,A/C belt,climate,engine_bay,no,,,,PH039,https://www.rockauto.com/en/moreinfo.php?pk=3972&cc=1192250&pt=8900&jsn=483,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,,,,0000-68-110-00,1580A-1 EC-049-01; 6142AB-1 BI-087-05,,PT040
PT042,Front rotor hubs,brakes,corners,no,,,,PH031,https://www.atkinsrotary.com/Brake-System/Brake-Rotors/79-85-Rx7-Brake-Rotor-Discs/,"Atkins Rotary 360-832-1990, Dan@Atkinsrotary.com (https://www.atkinsrotary.com/contact-us/)",,,,-710 0 295; 710 0 295,"specs: wheel centres from SP-131, SP-132, SP-128, front",8871-33-251A,3300A-1 EC-097-08,,PT056
PT043,Front wheel bearings,brakes,corners,no,,,,PH032,"https://www.rockauto.com/en/catalog/mazda,1982,rx-7,1.1l+r2,1192250,brake+&+wheel+hub","Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,,-710 0 295; 710 0 295,"specs: wheel centres from SP-131, SP-132, SP-128, front",8545-33-047 (inner); B002-33-075 (outer),3300A-1 EC-097-03 EC-097-07,,PT042
PT044,Front wheel seals,brakes,corners,no,,,,PH033,"https://www.rockauto.com/en/catalog/mazda,1982,rx-7,1.1l+r2,1192250,brake+&+wheel+hub","Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,,-710 0 295; 710 0 295,"specs: wheel centres from SP-131, SP-132, SP-128, front",1312-33-065,3300A-1 EC-097-05,,PT042
PT045,Front brake pads,brakes,corners,no,,,,PH034,"https://www.rockauto.com/en/catalog/mazda,1982,rx-7,1.1l+r2,1192250,brake+&+wheel+hub","Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,,-710 0 295; 710 0 295,"specs: wheel centres from SP-131, SP-132, SP-128, front",8871-49-280A,3300A-1 EC-097-21,,PT050
PT046,Rear brake shoes,brakes,corners,no,,,,PH035,"https://www.rockauto.com/en/catalog/mazda,1982,rx-7,1.1l+r2,1192250,brake+&+wheel+hub","Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,,-700 -2420 295; 700 -2420 295,"specs: wheel centres from SP-131, SP-132, SP-128, rear",FA01-26-38Z,2610A-1 EC-087-07,,PT445
PT047,Rear brake drums,brakes,corners,no,,,,PH036,"https://www.rockauto.com/en/catalog/mazda,1982,rx-7,1.1l+r2,1192250,brake+&+wheel+hub","Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,,-700 -2420 295; 700 -2420 295,"specs: wheel centres from SP-131, SP-132, SP-128, rear",FA01-26-251,2610A-1 EC-087-02,,PT430
PT048,Rear wheel bearings,brakes,corners,no,,,,PH037,"https://www.rockauto.com/en/catalog/mazda,1982,rx-7,1.1l+r2,1192250,brake+&+wheel+hub","Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,,-700 -2420 295; 700 -2420 295,"specs: wheel centres from SP-131, SP-132, SP-128, rear",8871-26-151A,2600A-1 EC-086-07,,PT430
PT049,Rear wheel cylinders,brakes,corners,no,,,,PH038,"https://www.rockauto.com/en/catalog/mazda,1982,rx-7,1.1l+r2,1192250,brake+&+wheel+hub","Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,,-700 -2420 295; 700 -2420 295,"specs: wheel centres from SP-131, SP-132, SP-128, rear",FA01-26-610A (R); FA01-26-710A (L),2610A-1 EC-087-13 EC-087-14 EC-087-15 EC-087-16 EC-087-26,,PT445
PT050,Front calipers,brakes,corners,yes,Mazda,,,,"https://www.rockauto.com/en/catalog/mazda,1982,rx-7,1.1l+r2,1192250,brake+&+wheel+hub","Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,,-710 0 295; 710 0 295,"specs: wheel centres from SP-131, SP-132, SP-128, front",FA57-33-980 (R); FA57-33-990 (L),3300A-1 EC-097-16 EC-097-17,,PT496
PT051,Brake master cylinder,brakes,engine_bay,yes,Mazda,,,,"https://www.rockauto.com/en/catalog/mazda,1982,rx-7,1.1l+r2,1192250,brake+&+wheel+hub","Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,,,,FA07-43-400,4340A-1 EC-110-12 EC-110-01,,PT052
PT052,Brake booster,brakes,engine_bay,yes,Mazda,,,,,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,,,,FA16-43-800,4340A-1 EC-110-08 EC-110-07,,
PT053,Steering gear box,steering,engine_bay,yes,Mazda,,,,,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,"Pre-1983: the sector shaft is not hardened, a known wear point",,,FA24-32-110B,3210A-1 EC-094-06,,
PT054,Automatic transmission,transmission,underbody,yes,JATCO,3N71B,,,,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,,,,8872-19-090B,1910A-1 EC-062-09,,
PT055,Rear axle and differential,driveline,underbody,yes,Mazda,,,,,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,,0 -2420 295,"specs: the rear axle line, SP-131",8051-27-100C,2700A-1 EC-089-07,,
PT056,Front struts and coil springs,suspension,corners,yes,Mazda,,,,"https://www.rockauto.com/en/catalog/mazda,1982,rx-7,1.1l+r2,1192250,suspension","Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,Bushings age-degraded,-710 0 295; 710 0 295,"specs: wheel centres from SP-131, SP-132, SP-128, front",FA01-34-910B,3400A-1 EC-098-19,,
PT057,Rear coil springs and shock absorbers,suspension,corners,yes,Mazda,,,,"https://www.rockauto.com/en/catalog/mazda,1982,rx-7,1.1l+r2,1192250,suspension","Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,Bushings age-degraded,-700 -2420 295; 700 -2420 295,"specs: wheel centres from SP-131, SP-132, SP-128, rear",8871-28-011B,2800A-1 EC-091-01,,
PT058,Air filter,fuel,engine_bay,no,K&N,,,PH040,,,,,On the Weber 45 DCOE. K&N part number not recorded,,,,,,
PT059,Engine overhaul gasket set,engine,engine_bay,yes,Mazda,,,,,,,,"Rebuild kit, '81-'82 Qty on the car: 1.",,,N201-99-100,1000A-1 EC-025-01,,PT001
PT060,Engine overhaul O-ring set,engine,engine_bay,yes,Mazda,,,,,,,,"Rebuild kit, sold apart from the gasket set: rotor-housing coolant and oil O-rings Qty on the car: 1.",,,1757-23-040B,1000A-1 EC-025-03,,PT001
PT061,Rotor housings,engine,engine_bay,yes,Mazda,,,,,,,,"Seals in the housing joints: EC-026-04, EC-026-05, EC-026-06, EC-027-01. Fasteners: EC-026-02, EC-026-03 Qty on the car: 2.",,,N201-10-100,1030A-1 EC-026-01,,PT001
PT062,Intermediate housing,engine,engine_bay,yes,Mazda,,,,,,,,Qty on the car: 1.,,,8341-10-400,1030A-1 EC-026-09,,PT001
PT063,Front housing,engine,engine_bay,yes,Mazda,,,,,,,,"8981-10-200B needs washer 9995-21-200. Fasteners and plugs: EC-027-04, EC-027-05, EC-027-06, EC-027-07, EC-027-08, EC-027-09 Qty on the car: 1.",,,8981-10-200 8981-10-200B,1040A-1 EC-027-02 EC-027-03,,PT001
PT064,Rear housing,engine,engine_bay,yes,Mazda,,,,,,,,1481-10-305 is an A/T line under the rear housing with no description in the catalogue. Fasteners: EC-027-14 Qty on the car: 1.,,,N201-10-300A 1481-10-305,1040A-1 EC-027-10 EC-027-13,,PT001
PT065,Oil control plunger valve,engine,engine_bay,yes,Mazda,,,,,,,,"Control plunger, spring and plug, listed under the rear housing Qty on the car: 1.",,,0839-14-115 0839-14-273A 0839-14-274,1040A-1 EC-027-38; 1040A-2 EC-028-02 EC-028-03,,PT064
PT066,Front stationary gear,engine,engine_bay,yes,Mazda,,,,,,,,Qty on the car: 1.,,,3743-10-500,1030A-1 EC-026-13,,PT063
PT067,Rear stationary gear,engine,engine_bay,yes,Mazda,,,,,,,,O-ring: EC-026-16 Qty on the car: 1.,,,3743-10-550A,1030A-1 EC-026-15,,PT064
PT068,"Main bearing, front",engine,engine_bay,yes,Mazda,,,,,,,,Pressed into the front stationary gear; same part as the rear Qty on the car: 1.,,,0820-10-502B,1030A-1 EC-026-14,,PT066
PT069,"Main bearing, rear",engine,engine_bay,yes,Mazda,,,,,,,,Pressed into the rear stationary gear; same part as the front Qty on the car: 1.,,,0820-10-502B,1030A-1 EC-026-14,,PT067
PT070,Rear oil seal,engine,engine_bay,yes,Mazda,,,,,,,,Qty on the car: 1.,,,1668-10-556A,1030A-1 EC-026-17,,PT064
PT071,Front cover,engine,engine_bay,yes,Mazda,,,,,,,,"Gasket and fittings: EC-027-31, EC-027-32, EC-027-33, EC-027-35 Qty on the car: 1.",,,1480-10-600A,1040A-1 EC-027-30,,PT001
PT072,Front oil seal,engine,engine_bay,yes,Mazda,,,,,,,,Qty on the car: 1.,,,0820-10-605,1040A-1 EC-027-29,,PT071
PT073,Timing top indicator pin,engine,engine_bay,yes,Mazda,,,,,,,,Qty on the car: 1.,,,8871-10-631A,1040A-1 EC-027-28,,PT071
PT074,Oil filler pipe,engine,engine_bay,yes,Mazda,,,,,,,,Pipe joint: EC-026-11 Qty on the car: 1.,,,3565-10-410A,1030A-1 EC-026-10,,PT001
PT075,Oil filler cap,engine,engine_bay,yes,Mazda,,,,,,,,Cap gasket: EC-026-08 Qty on the car: 1.,,,8871-10-250A,1030A-1 EC-026-07,,PT074
PT076,Oil dipstick,engine,engine_bay,yes,Mazda,,,,,,,,Qty on the car: 1.,,,N201-10-830,1030A-1 EC-026-12,,PT001
PT077,Oil pan,engine,engine_bay,yes,Mazda,,,,,,,,"confirm: N201-10-700A is California, N203-10-700 Federal; which the car was built as is not recorded (emission label under the hood). Pan gasket: EC-027-24 Qty on the car: 1.",,,N201-10-700A N203-10-700,1040A-1 EC-027-19 EC-027-20,,PT001
PT078,Oil drain plug,engine,engine_bay,yes,Mazda,,,,,,,,"HE03-10-404 is the alternative number. Sealing washer, renew at each oil change: EC-027-23 (9956-41-400) Qty on the car: 1.",,,9951-11-400 HE03-10-404,1040A-1 EC-027-21 EC-027-22,,PT077
PT079,Eccentric shaft,engine,engine_bay,yes,Mazda,,,,,,,,"The A/T line under 11 400; the catalogue row carries no description. End plug: confirm which is fitted, O-ring EC-029-05 (to Dec '81, serial to 629394) or blind plug EC-029-08 ('82, from 629394); VIN serial not recorded. Key: EC-029-27 Qty on the car: 1.",,,1883-11-400A,1100A-1 EC-029-04,,PT001
PT080,Eccentric shaft oil jets,engine,engine_bay,yes,Mazda,,,,,,,,Each a jet plug with a steel ball (9961-12-000) and spring (0839-11-412) Qty on the car: 2.,,,0839-11-411A,1100A-1 EC-029-09 EC-029-10 EC-029-11,,PT079
PT081,Eccentric shaft thrust needle bearings,engine,engine_bay,yes,Mazda,,,,,,,,"With thrust plate 1011-11-504 (EC-029-21), thrust washer 1011-11-507 (EC-029-23) and plate 1011-11-501 (EC-029-14) Qty on the car: 2.",,,0813-11-505B,1100A-1 EC-029-22,,PT079
PT082,Eccentric shaft end-play spacer,engine,engine_bay,yes,Mazda,,,,,,,,"Selective fit, length 8.00, 8.02, 8.04, 8.06, 8.08 mm in that order; confirm which is in the engine (only by measuring on teardown) Qty on the car: 1.",,,0839-11-509 0839-11-502 0839-11-508 8519-11-517 0839-11-506,1100A-1 EC-029-16 EC-029-17 EC-029-18 EC-029-19 EC-029-20,,PT079
PT083,Front balance weight,engine,engine_bay,yes,Mazda,,,,,,,,"A/T, from serial 500076; the catalogue row carries no description, the name is read from its position in the figure - confirm Qty on the car: 1.",,,1881-11-511,1100A-1 EC-029-25,,PT079
PT084,Distributor drive gear,engine,engine_bay,yes,Mazda,,,,,,,,Qty on the car: 1.,,,0839-11-531,1100A-1 EC-029-28,,PT079
PT085,Oil pump drive sprocket,engine,engine_bay,yes,Mazda,,,,,,,,Qty on the car: 1.,,,0839-11-551A,1100A-1 EC-029-29,,PT079
PT086,Eccentric shaft pulley,engine,engine_bay,yes,Mazda,,,,,,,,Pulley bolt: EC-029-02 Qty on the car: 1.,,,8649-11-600,1100A-1 EC-029-01,,PT079
PT087,Flywheel,engine,engine_bay,yes,Mazda,,,,,,,,"With the A/T control weight 1883-11-751A (EC-029-32). Key and lock nut: EC-029-30, EC-029-31 Qty on the car: 1.",,,N201-11-700,1100A-1 EC-029-12,,PT079
PT088,"Rotors, front and rear",engine,engine_bay,yes,Mazda,,,,,,,,"1480-23-103 front, 1480-23-113 rear Qty on the car: 2.",,,1480-23-103 1480-23-113,1110A-1 EC-030-18 EC-030-20,,PT079
PT089,Rotor bearings,engine,engine_bay,yes,Mazda,,,,,,,,One in each rotor Qty on the car: 2.,,,1011-11-111,1110A-1 EC-030-01,,PT088
PT090,Apex seals,engine,engine_bay,yes,Mazda,,,,,,,,Qty on the car: 6.,,,N201-11-300A,1110A-1 EC-030-02,,PT088
PT091,Apex seal side pieces,engine,engine_bay,yes,Mazda,,,,,,,,Qty on the car: 6.,,,N201-11-302A,1110A-1 EC-030-03,,PT090
PT092,Apex seal springs,engine,engine_bay,yes,Mazda,,,,,,,,Qty on the car: 6.,,,1011-11-304B,1110A-1 EC-030-04,,PT090
PT093,Side seals,engine,engine_bay,yes,Mazda,,,,,,,,Qty on the car: 12.,,,1011-23-151A,1110A-1 EC-030-22,,PT088
PT094,Side seal springs,engine,engine_bay,yes,Mazda,,,,,,,,Qty on the car: 12.,,,0820-11-317,1110A-1 EC-030-05,,PT093
PT095,Corner seals,engine,engine_bay,yes,Mazda,,,,,,,,Qty on the car: 12.,,,1202-11-321,1110A-1 EC-030-06,,PT088
PT096,Corner seal plugs,engine,engine_bay,yes,Mazda,,,,,,,,Qty on the car: 12.,,,N201-11-322,1110A-1 EC-030-08,,PT095
PT097,Corner seal springs,engine,engine_bay,yes,Mazda,,,,,,,,Qty on the car: 12.,,,1202-11-323A,1110A-1 EC-030-09,,PT095
PT098,Rotor oil seal sets,engine,engine_bay,yes,Mazda,,,,,,,,"O-rings, inner and outer: EC-030-10, EC-030-11 Qty on the car: 4.",,,8871-23-180,1110A-1 EC-030-23,,PT088
PT099,Rotor oil seal springs,engine,engine_bay,yes,Mazda,,,,,,,,"Front inner, front outer, rear inner, rear outer; two of each Qty on the car: 8.",,,1011-11-351 1011-11-353A 1011-11-361 1011-11-363A,1110A-1 EC-030-12 EC-030-14 EC-030-15 EC-030-17,,PT098
PT100,Intake manifold (factory),fuel,engine_bay,yes,Mazda,,,,,,,,"The side-draft Weber sits on the Pierce K678 manifold (PT006), so the factory 4-barrel manifold, with its valve and shaft (1480-13-120A, N201-13-121), is off - confirm. Gasket and O-rings: EC-031-02, EC-031-03 Qty on the car: 1.",,,N201-13 100A,1300A-1 EC-031-01 EC-031-04 EC-031-05,replaced,PT001
PT101,Exhaust manifold,engine,engine_bay,yes,Mazda,,,,,,,,"Gaskets, manifold and pipe: EC-032-09, EC-032-11. Fasteners: EC-032-06, EC-032-07, EC-032-08, EC-032-10 Qty on the car: 1.",,,1480-13-600B,1310A-1 EC-032-05,,PT001
PT102,Exhaust manifold heat insulator,engine,engine_bay,yes,Mazda,,,,,,,,With absorber plate 1480-13-380A (EC-032-02) and its bracket 3565-13-390 (EC-032-04) Qty on the car: 1.,,,1480-13-370,1310A-1 EC-032-01,,PT101
