id,part,terminal,function,inside,wire,to,source,page,note,checked
PT307-B,PT307,B,ground,pole 2 common,B,X-13 ground,S-001,24,"from S-001 G-01 (pin row: top LR R LY B, bottom LG L - LR); energised contact positions read from a coarse scan and the 1985 motor test; confirm on the car",
PT307-LG,PT307,LG,coil ground,coil end,LG,radio G-04 (grounds it when radio is on) or power antenna switch G-13 (cars without radio) via X-02,S-001,24,"from S-001 G-01 (pin row: top LR R LY B, bottom LG L - LR); energised contact positions read from a coarse scan and the 1985 motor test; confirm on the car",
PT307-bottom_3,PT307,(bottom 3),not used,,,,S-001,24,"from S-001 G-01 (pin row: top LR R LY B, bottom LG L - LR); energised contact positions read from a coarse scan and the 1985 motor test; confirm on the car",
PT308-LW_contact,PT308,LW (contact),feed,normally-open contact,LW,"0.5 sq fusible link A-02 at the starter's battery terminal, through X-10",S-001,10,from S-001; confirm on the car,
PT308-GR,PT308,GR,output,normally-open contact,GR,A-04 hot start motor,S-001,10,from S-001; confirm on the car,
PT308-LW_coil,PT308,LW (coil),coil feed,coil,LW,No.1 water temp switch B-12 (section B) via X-01,S-001,"10, 14",from S-001; confirm on the car,
PT308-B,PT308,B,coil ground,coil,B,X-13 ground,S-001,10,from S-001; confirm on the car,
PT317-in,PT317,in,battery +,1.25 sq black link,,battery +,S-001,30,from S-001; confirm on the car,
PT317-out,PT317,out,main,1.25 sq black link,WR,constant bus: ignition switch X-08 and fuse block X-04,S-001,"10, 30",from S-001; confirm on the car,
PT316-RETRACTOR,PT316,RETRACTOR,out,0.3 sq brown link,WR,retractable headlight motor circuit (section E),S-001,30,from S-001; confirm on the car,
PT316-HEAD,PT316,HEAD,out,0.3 sq brown link,WG,headlight circuit (section E),S-001,30,from S-001; confirm on the car,
PT310-20A-LO,PT310,20A-LO,20 A fuse fed from L (ACC),fuse,LO,blower motor,S-001,30,from S-001 X-04 (feed and rating); 'to' from S-001 p10-28 and OEM-RECORD; confirm on the car,
PT310-15A-Y,PT310,15A-Y,15 A fuse fed from L (ACC),fuse,Y,rear window defroster switch,S-001,30,from S-001 X-04 (feed and rating); 'to' from S-001 p10-28 and OEM-RECORD; confirm on the car,
PT310-20A-LR,PT310,20A-LR,20 A fuse fed from L (ACC),fuse,LR,"radio, stereo, power antenna",S-001,30,from S-001 X-04 (feed and rating); 'to' from S-001 p10-28 and OEM-RECORD; confirm on the car,
PT310-10A-LB,PT310,10A-LB,10 A fuse fed from L (ACC),fuse,LB,front wiper & washer,S-001,30,from S-001 X-04 (feed and rating); 'to' from S-001 p10-28 and OEM-RECORD; confirm on the car,
PT310-10A-L,PT310,10A-L,10 A fuse fed from L (ACC),fuse,L,rear wiper & washer,S-001,30,from S-001 X-04 (feed and rating); 'to' from S-001 p10-28 and OEM-RECORD; confirm on the car,
PT310-30A-BL,PT310,30A-BL,30 A fuse fed from BW (IG),fuse,BL,power windows,S-001,30,from S-001 X-04 (feed and rating); 'to' from S-001 p10-28 and OEM-RECORD; confirm on the car,
PT310-10A-Br,PT310,10A-Br,10 A fuse fed from BW (IG),fuse,Br,"cruise control: stop, clutch and main switches",S-001,30,from S-001 X-04 (feed and rating); 'to' from S-001 p10-28 and OEM-RECORD; confirm on the car,
PT310-10A-BLg,PT310,10A-BLg,10 A fuse fed from BW (IG),fuse,BLg,fuel pump,S-001,30,from S-001 X-04 (feed and rating); 'to' from S-001 p10-28 and OEM-RECORD; confirm on the car,
PT310-20A-LR-2,PT310,20A-LR,20 A fuse fed from WR (battery),fuse,LR,"hatch release, fuel-door release",S-001,30,from S-001 X-04 (feed and rating); 'to' from S-001 p10-28 and OEM-RECORD; confirm on the car,
PT310-15A-GW,PT310,15A-GW,15 A fuse fed from WR (battery),fuse,GW,horn relay and stop light switch,S-001,30,from S-001 X-04 (feed and rating); 'to' from S-001 p10-28 and OEM-RECORD; confirm on the car,
PT310-15A-LY,PT310,15A-LY,15 A fuse fed from WR (battery),fuse,LY,"interior, spot, lighter, clock, luggage, key light",S-001,30,from S-001 X-04 (feed and rating); 'to' from S-001 p10-28 and OEM-RECORD; confirm on the car,
PT310-10A-WG,PT310,10A-WG,10 A fuse fed from WR (battery),fuse,WG,"hazard flasher, remote mirrors",S-001,30,from S-001 X-04 (feed and rating); 'to' from S-001 p10-28 and OEM-RECORD; confirm on the car,
PT310-10A-R,PT310,10A-R,10 A fuse fed from WR (battery),fuse,R,"light switch: tail, park, marker, licence",S-001,30,from S-001 X-04 (feed and rating); 'to' from S-001 p10-28 and OEM-RECORD; confirm on the car,
PT310-10A-GY,PT310,10A-GY,10 A fuse fed from BY (IG),fuse,GY,"turn, back-up, meters",S-001,30,from S-001 X-04 (feed and rating); 'to' from S-001 p10-28 and OEM-RECORD; confirm on the car,
PT310-15A-BW,PT310,15A-BW,15 A fuse fed from BY (IG),fuse,BW,"alternator excitation, ignition coils, igniter, emission and choke parts",S-001,30,from S-001 X-04 (feed and rating); 'to' from S-001 p10-28 and OEM-RECORD; confirm on the car,
PT318-X-03_top_1,PT318,X-03 top 1,"through-connection, circuit not decoded here",conductor,RY,front harness at X-03,S-001,"22,24,30",from S-001; confirm on the car,
PT318-X-03_top_2,PT318,X-03 top 2,back-up lamp output to rear combination lamps,conductor,RW,front harness at X-03,S-001,"22,24,30",from S-001; confirm on the car,
PT318-X-03_top_3,PT318,X-03 top 3,"through-connection, circuit not decoded here",conductor,G,front harness at X-03,S-001,"22,24,30",from S-001; confirm on the car,
PT318-X-03_top_4,PT318,X-03 top 4,"through-connection, circuit not decoded here",conductor,GO,front harness at X-03,S-001,"22,24,30",from S-001; confirm on the car,
PT318-X-03_top_5,PT318,X-03 top 5,"through-connection, circuit not decoded here",conductor,R,front harness at X-03,S-001,"22,24,30",from S-001; confirm on the car,
PT318-X-03_top_6,PT318,X-03 top 6,"through-connection, circuit not decoded here",conductor,GR,front harness at X-03,S-001,"22,24,30",from S-001; confirm on the car,
PT318-X-03_top_7,PT318,X-03 top 7,"through-connection, circuit not decoded here",conductor,LY,front harness at X-03,S-001,"22,24,30",from S-001; confirm on the car,
PT318-X-03_top_8,PT318,X-03 top 8,"through-connection, circuit not decoded here",conductor,BLg,front harness at X-03,S-001,"22,24,30",from S-001; confirm on the car,
PT318-X-03_top_9,PT318,X-03 top 9,"through-connection, circuit not decoded here",conductor,GB,front harness at X-03,S-001,"22,24,30",from S-001; confirm on the car,
PT318-X-03_top_10,PT318,X-03 top 10,"through-connection, circuit not decoded here",conductor,L,front harness at X-03,S-001,"22,24,30",from S-001; confirm on the car,
PT318-X-03_top_11,PT318,X-03 top 11,"through-connection, circuit not decoded here",conductor,RY,front harness at X-03,S-001,"22,24,30",from S-001; confirm on the car,
PT318-X-03_bottom_1,PT318,X-03 bottom 1,"through-connection, circuit not decoded here",conductor,BLg,front harness at X-03,S-001,"22,24,30",from S-001; confirm on the car,
PT318-X-03_bottom_2,PT318,X-03 bottom 2,"through-connection, circuit not decoded here",conductor,RG,front harness at X-03,S-001,"22,24,30",from S-001; confirm on the car,
PT318-X-03_bottom_3,PT318,X-03 bottom 3,"through-connection, circuit not decoded here",conductor,Y,front harness at X-03,S-001,"22,24,30",from S-001; confirm on the car,
PT318-X-03_bottom_4,PT318,X-03 bottom 4,"through-connection, circuit not decoded here",conductor,GR,front harness at X-03,S-001,"22,24,30",from S-001; confirm on the car,
PT318-X-03_bottom_5,PT318,X-03 bottom 5,rear window defroster grid feed,conductor,LG,front harness at X-03,S-001,"22,24,30",from S-001; confirm on the car,
PT318-X-03_bottom_6,PT318,X-03 bottom 6,"through-connection, circuit not decoded here",conductor,L,front harness at X-03,S-001,"22,24,30",from S-001; confirm on the car,
PT318-X-03_bottom_7,PT318,X-03 bottom 7,"through-connection, circuit not decoded here",conductor,LY,front harness at X-03,S-001,"22,24,30",from S-001; confirm on the car,
PT318-X-03_bottom_9,PT318,X-03 bottom 9,"through-connection, circuit not decoded here",conductor,LB,front harness at X-03,S-001,"22,24,30",from S-001; confirm on the car,
PT318-X-03_bottom_10,PT318,X-03 bottom 10,"through-connection, circuit not decoded here",conductor,BG,front harness at X-03,S-001,"22,24,30",from S-001; confirm on the car,
PT318-X-03_bottom_11,PT318,X-03 bottom 11,"through-connection, circuit not decoded here",conductor,LB,front harness at X-03,S-001,"22,24,30",from S-001; confirm on the car,
PT319-X-18_a,PT319,X-18 a,grid ground return,conductor,B,defroster grid G-25 (B) to X-18 and on to ground X-15,S-001,"24,30",from S-001; confirm on the car,
PT319-X-18_b,PT319,X-18 b,grid ground return,conductor,B,ground X-15,S-001,"24,30",from S-001; confirm on the car,
PT321-X-01_top_1,PT321,X-01 top 1,"alternator regulator feed (IG, 15 A fuse at X-04, BW) to A-08",conductor,BW,front harness at X-01,S-001,"10,30",from S-001; confirm on the car,
PT321-X-01_top_2,PT321,X-01 top 2,"through-connection, circuit not decoded here",conductor,LB,front harness at X-01,S-001,30,from S-001; confirm on the car,
PT321-X-01_top_3,PT321,X-01 top 3,switching solenoid valve B-08 from emission control unit F,conductor,Lg,front harness at X-01,S-001,30,from S-001; confirm on the car; front-harness side colour BLb,
PT321-X-01_top_4,PT321,X-01 top 4,starter ST signal,conductor,BY,front harness at X-01,S-001,30,from S-001; confirm on the car,
PT321-X-01_top_5,PT321,X-01 top 5,"through-connection, circuit not decoded here",conductor,YW,front harness at X-01,S-001,30,from S-001; confirm on the car,
PT321-X-01_top_6,PT321,X-01 top 6,"through-connection, circuit not decoded here",conductor,GW,front harness at X-01,S-001,30,from S-001; confirm on the car,
PT321-X-01_top_7,PT321,X-01 top 7,"through-connection, circuit not decoded here",conductor,BrW,front harness at X-01,S-001,30,from S-001; confirm on the car,
PT321-X-01_top_8,PT321,X-01 top 8,"through-connection, circuit not decoded here",conductor,GY,front harness at X-01,S-001,30,from S-001; confirm on the car,
PT321-X-01_top_9,PT321,X-01 top 9,"through-connection, circuit not decoded here",conductor,BG,front harness at X-01,S-001,30,from S-001; confirm on the car; front-harness side colour YR,
PT321-X-01_top_11,PT321,X-01 top 11,emission control unit terminal V to short connector B-09,conductor,GB,front harness at X-01,S-001,30,from S-001; confirm on the car,
PT321-X-01_bottom_1,PT321,X-01 bottom 1,sub-zero sensor line (section A),conductor,BLg,front harness at X-01,S-001,30,from S-001; confirm on the car,
PT321-X-01_bottom_2,PT321,X-01 bottom 2,"through-connection, circuit not decoded here",conductor,Br,front harness at X-01,S-001,30,from S-001; confirm on the car; front-harness side colour BR,
PT321-X-01_bottom_3,PT321,X-01 bottom 3,"through-connection, circuit not decoded here",conductor,O,front harness at X-01,S-001,30,from S-001; confirm on the car,
PT321-X-01_bottom_4,PT321,X-01 bottom 4,"through-connection, circuit not decoded here",conductor,GR,front harness at X-01,S-001,30,from S-001; confirm on the car,
PT321-X-01_bottom_5,PT321,X-01 bottom 5,"through-connection, circuit not decoded here",conductor,BR,front harness at X-01,S-001,30,from S-001; confirm on the car,
PT321-X-01_bottom_6,PT321,X-01 bottom 6,"through-connection, circuit not decoded here",conductor,LgY,front harness at X-01,S-001,30,from S-001; confirm on the car; front-harness side colour BrR,
PT321-X-01_bottom_8,PT321,X-01 bottom 8,hot start line,conductor,LW,front harness at X-01,S-001,30,from S-001; confirm on the car,
PT321-X-01_bottom_9,PT321,X-01 bottom 9,"through-connection, circuit not decoded here",conductor,BrY,front harness at X-01,S-001,30,from S-001; confirm on the car,
PT321-X-01_bottom_10,PT321,X-01 bottom 10,"through-connection, circuit not decoded here",conductor,G,front harness at X-01,S-001,30,from S-001; confirm on the car,
PT321-X-01_bottom_11,PT321,X-01 bottom 11,alternator charge sense to choke and check relay,conductor,WB,front harness at X-01,S-001,30,from S-001; confirm on the car,
PT322-ring,PT322,ring,battery feed,fusible element 0.5 sq to the LW connector,,"starting motor battery (B) terminal, shared with the battery cable",S-001,10,from S-001; confirm on the car,
PT322-LW,PT322,LW,protected output,fusible element to the ring terminal,LW,"X-10, then hot start relay A-03 and No.1 water temp switch (section B)",S-001,10,from S-001; confirm on the car,
PT323-X-10_top_1,PT323,X-10 top 1,starter solenoid feed from inhibitor switch (A/T),conductor,BW,inhibitor switch A-06 to starting motor A-01; also sub-zero motor BW,S-001,"10,22,30",from S-001; confirm on the car,
PT323-X-10_top_2,PT323,X-10 top 2,back-up lamp feed (IG 10 A GY bus),conductor,GY,fuse X-04 to inhibitor switch A-06,S-001,"10,22,30",from S-001; confirm on the car,
PT323-X-10_top_3,PT323,X-10 top 3,"inhibitor switch circuit, not decoded",conductor,BR,inhibitor switch A-06; confirm,S-001,"10,22,30",from S-001; confirm on the car,
PT323-X-10_bottom_1,PT323,X-10 bottom 1,hot start feed from fusible link A-02,conductor,LW,fusible link A-02 at the starter to hot start relay A-03,S-001,"10,22,30",from S-001; confirm on the car,
PT323-X-10_bottom_2,PT323,X-10 bottom 2,back-up lamp output,conductor,RW,inhibitor switch A-06 to rear combination lamps via X-03,S-001,"10,22,30",from S-001; confirm on the car,
PT323-X-10_bottom_3,PT323,X-10 bottom 3,start signal to inhibitor switch,conductor,BY,ignition switch ST to inhibitor switch A-06,S-001,"10,22,30",from S-001; confirm on the car,
PT323-X-17_1,PT323,X-17 1,"1-pin, circuit not decoded",conductor,BL,not decoded; confirm,S-001,30,from S-001; confirm on the car,
PT323-X-17_2,PT323,X-17 2,"1-pin, circuit not decoded",conductor,BY,not decoded; confirm,S-001,30,from S-001; confirm on the car,
PT324-BY,PT324,BY,bridge side 1,shorted to GB by the plug,BY,"starter ST signal line (ignition switch ST, emission control unit terminal H)",S-001,12,from S-001; confirm on the car,
PT324-GB,PT324,GB,bridge side 2,shorted to BY by the plug,GB,"X-01, then emission control unit terminal V",S-001,12,from S-001; confirm on the car,
PT325-X-02_bottom_1,PT325,X-02 bottom 1,"through-connection, circuit not decoded here",conductor,WG,front harness at X-02,S-001,"24,30","from S-001; confirm on the car; rows as in the dot (terminal) view, top row LY..LgB",
PT325-X-02_bottom_2,PT325,X-02 bottom 2,"through-connection, circuit not decoded here",conductor,RW,front harness at X-02,S-001,"24,30","from S-001; confirm on the car; rows as in the dot (terminal) view, top row LY..LgB",
PT325-X-02_bottom_3,PT325,X-02 bottom 3,"through-connection, circuit not decoded here",conductor,RY,front harness at X-02,S-001,"24,30","from S-001; confirm on the car; rows as in the dot (terminal) view, top row LY..LgB",
PT325-X-02_bottom_4,PT325,X-02 bottom 4,"through-connection, circuit not decoded here",conductor,RL,front harness at X-02,S-001,"24,30","from S-001; confirm on the car; rows as in the dot (terminal) view, top row LY..LgB",
PT325-X-02_bottom_5,PT325,X-02 bottom 5,"through-connection, circuit not decoded here",conductor,Br,front harness at X-02,S-001,"24,30","from S-001; confirm on the car; rows as in the dot (terminal) view, top row LY..LgB",
PT325-X-02_bottom_6,PT325,X-02 bottom 6,"rear window defroster switch feed (ACC, 15 A fuse at X-04)",conductor,Y,front harness at X-02,S-001,"24,30","from S-001; confirm on the car; rows as in the dot (terminal) view, top row LY..LgB",
PT325-X-02_bottom_7,PT325,X-02 bottom 7,ground (power antenna switch G-13 via X-02 to X-13),conductor,B,front harness at X-02,S-001,"24,30","from S-001; confirm on the car; rows as in the dot (terminal) view, top row LY..LgB",
PT325-X-02_bottom_8,PT325,X-02 bottom 8,"blower motor feed (ACC, 20 A fuse at X-04)",conductor,LO,front harness at X-02,S-001,"24,30","from S-001; confirm on the car; rows as in the dot (terminal) view, top row LY..LgB",
PT325-X-02_bottom_9,PT325,X-02 bottom 9,"through-connection, circuit not decoded here",conductor,LW,front harness at X-02,S-001,"24,30","from S-001; confirm on the car; rows as in the dot (terminal) view, top row LY..LgB",
PT325-X-02_bottom_10,PT325,X-02 bottom 10,"through-connection, circuit not decoded here",conductor,LgY,front harness at X-02,S-001,"24,30","from S-001; confirm on the car; rows as in the dot (terminal) view, top row LY..LgB",
PT325-X-02_bottom_11,PT325,X-02 bottom 11,"through-connection, circuit not decoded here",conductor,Lg,front harness at X-02,S-001,"24,30","from S-001; confirm on the car; rows as in the dot (terminal) view, top row LY..LgB",
PT325-X-02_top_1,PT325,X-02 top 1,"through-connection, circuit not decoded here",conductor,LY,front harness at X-02,S-001,"24,30","from S-001; confirm on the car; rows as in the dot (terminal) view, top row LY..LgB",
PT325-X-02_top_2,PT325,X-02 top 2,"through-connection, circuit not decoded here",conductor,R,front harness at X-02,S-001,"24,30","from S-001; confirm on the car; rows as in the dot (terminal) view, top row LY..LgB",
PT325-X-02_top_3,PT325,X-02 top 3,"through-connection, circuit not decoded here",conductor,RG,front harness at X-02,S-001,"24,30","from S-001; confirm on the car; rows as in the dot (terminal) view, top row LY..LgB",
PT325-X-02_top_4,PT325,X-02 top 4,"through-connection, circuit not decoded here",conductor,BR,front harness at X-02,S-001,"24,30","from S-001; confirm on the car; rows as in the dot (terminal) view, top row LY..LgB",
PT325-X-02_top_5,PT325,X-02 top 5,"through-connection, circuit not decoded here",conductor,BrW,front harness at X-02,S-001,"24,30","from S-001; confirm on the car; rows as in the dot (terminal) view, top row LY..LgB",
PT325-X-02_top_6,PT325,X-02 top 6,"through-connection, circuit not decoded here",conductor,LG,front harness at X-02,S-001,"24,30","from S-001; confirm on the car; rows as in the dot (terminal) view, top row LY..LgB",
PT325-X-02_top_7,PT325,X-02 top 7,"through-connection, circuit not decoded here",conductor,LR,front harness at X-02,S-001,"24,30","from S-001; confirm on the car; rows as in the dot (terminal) view, top row LY..LgB",
PT325-X-02_top_8,PT325,X-02 top 8,"through-connection, circuit not decoded here",conductor,GR,front harness at X-02,S-001,"24,30","from S-001; confirm on the car; rows as in the dot (terminal) view, top row LY..LgB",
PT325-X-02_top_9,PT325,X-02 top 9,"through-connection, circuit not decoded here",conductor,LG,front harness at X-02,S-001,"24,30","from S-001; confirm on the car; rows as in the dot (terminal) view, top row LY..LgB",
PT325-X-02_top_10,PT325,X-02 top 10,"through-connection, circuit not decoded here",conductor,LG,front harness at X-02,S-001,"24,30","from S-001; confirm on the car; rows as in the dot (terminal) view, top row LY..LgB",
PT325-X-02_top_11,PT325,X-02 top 11,"through-connection, circuit not decoded here",conductor,LgB,front harness at X-02,S-001,"24,30","from S-001; confirm on the car; rows as in the dot (terminal) view, top row LY..LgB",
PT325-X-12_top_1,PT325,X-12 top 1,"through-connection, circuit not decoded here",conductor,Br,front harness at X-12,S-001,30,"from S-001; confirm on the car; positions read from the left (male) drawing, the mating view is mirrored",
PT325-X-12_top_2,PT325,X-12 top 2,"through-connection, circuit not decoded here",conductor,GY,front harness at X-12,S-001,30,"from S-001; confirm on the car; positions read from the left (male) drawing, the mating view is mirrored",
PT325-X-12_top_3,PT325,X-12 top 3,"through-connection, circuit not decoded here",conductor,BG,front harness at X-12,S-001,30,"from S-001; confirm on the car; positions read from the left (male) drawing, the mating view is mirrored",
PT325-X-12_top_4,PT325,X-12 top 4,"through-connection, circuit not decoded here",conductor,LR,front harness at X-12,S-001,30,"from S-001; confirm on the car; positions read from the left (male) drawing, the mating view is mirrored",
PT325-X-12_top_5,PT325,X-12 top 5,"through-connection, circuit not decoded here",conductor,LY,front harness at X-12,S-001,30,"from S-001; confirm on the car; positions read from the left (male) drawing, the mating view is mirrored",
PT325-X-12_bottom_1,PT325,X-12 bottom 1,"through-connection, circuit not decoded here",conductor,BrB,front harness at X-12,S-001,30,"from S-001; confirm on the car; positions read from the left (male) drawing, the mating view is mirrored",
PT325-X-12_bottom_2,PT325,X-12 bottom 2,"through-connection, circuit not decoded here",conductor,WG,front harness at X-12,S-001,30,"from S-001; confirm on the car; positions read from the left (male) drawing, the mating view is mirrored",
PT325-X-12_bottom_3,PT325,X-12 bottom 3,"through-connection, circuit not decoded here",conductor,L,front harness at X-12,S-001,30,"from S-001; confirm on the car; positions read from the left (male) drawing, the mating view is mirrored",
PT325-X-12_bottom_4,PT325,X-12 bottom 4,"through-connection, circuit not decoded here",conductor,GB,front harness at X-12,S-001,30,"from S-001; confirm on the car; positions read from the left (male) drawing, the mating view is mirrored",
PT325-X-12_bottom_5,PT325,X-12 bottom 5,"through-connection, circuit not decoded here",conductor,BL,front harness at X-12,S-001,30,"from S-001; confirm on the car; positions read from the left (male) drawing, the mating view is mirrored",
PT325-X-12_2-pin_a,PT325,X-12 2-pin a,through-connection,conductor,RL,front harness at X-12,S-001,30,from S-001; confirm on the car,
PT325-X-12_2-pin_b,PT325,X-12 2-pin b,through-connection,conductor,GL,front harness at X-12,S-001,30,from S-001; confirm on the car,
PT301-X-16_A,PT301,X-16 A,wiper park (auto-stop) line,common of the intermittent wiper relay contact,LB,front wiper motor D-02 park switch (LB),S-001,18; 30,"letter from the 1985 CPU table (S-002 p15-12), which has the same colours in the same X-16 positions; from S-001; confirm on the car",
PT301-X-16_B,PT301,X-16 B,INT request,intermittent timer input; grounded by the wiper switch in INT,LO,combination switch D-03 (LO),S-001,18; 30,"letter from the 1985 CPU table (S-002 p15-12), which has the same colours in the same X-16 positions; from S-001; confirm on the car",
PT301-X-16_C,PT301,X-16 C,ignition feed,powers the oscillator/timer circuits,GY,"X-04 10 A meter fuse, GY bus",S-001,26; 30,"letter from the 1985 CPU table (S-002 p15-12), which has the same colours in the same X-16 positions; from S-001; confirm on the car",
PT301-X-16_D,PT301,X-16 D,seat belt switch,seat belt timer input,Br,seat belt switch H-04 via X-11/X-02,S-001,26; 30,"letter from the 1985 CPU table (S-002 p15-12), which has the same colours in the same X-16 positions; from S-001; confirm on the car",
PT301-X-16_E,PT301,X-16 E,ignition key light,ignition switch light timer output (ground side of the lamp),GL,ignition switch light H-05 (3.4 W),S-001,26; 30,"letter from the 1985 CPU table (S-002 p15-12), which has the same colours in the same X-16 positions; from S-001; confirm on the car",
