id,status,group,part,source,usd,link,note
PH014,installed,November 2025 · Weber conversion · Intake,**Weber 45 DCOE kit**,Pierce Manifolds,**900**,[K678](https://www.piercemanifolds.com/Mazada_2A_Weber_Conversion_K678_p/k678.htm),
PH015,installed,November 2025 · Weber conversion · Intake,Pump jets,Pegasus,28,[76801](https://www.pegasusautoracing.com/productselection.asp?Product=76801),
PH016,installed,November 2025 · Weber conversion · Intake,Air correctors,Pegasus,14,[77401](https://www.pegasusautoracing.com/productselection.asp?Product=77401),
PH017,installed,November 2025 · Weber conversion · Intake,Emulsion tubes,Pegasus,44,[61450](https://www.pegasusautoracing.com/productselection.asp?Product=61450),
PH018,installed,November 2025 · Weber conversion · Intake,Main jets,Pegasus,16,[73401](https://www.pegasusautoracing.com/productselection.asp?Product=73401),
PH019,installed,November 2025 · Weber conversion · Intake,Needle valve,Pegasus,32,[1498](https://www.pegasusautoracing.com/productselection.asp?Product=1498),
PH020,installed,November 2025 · Weber conversion · Intake,Idle jet,Pegasus,14,[74822](https://www.pegasusautoracing.com/productselection.asp?Product=74822),
PH021,installed,November 2025 · Weber conversion · Intake,Vacuum lines,Amazon,18,[B08CT3YDDL](https://www.amazon.com/dp/B08CT3YDDL),
PH022,installed,November 2025 · Weber conversion · Intake,Brake boost fitting,Amazon,25,[B07K7KKPTF](https://www.amazon.com/dp/B07K7KKPTF),
PH023,installed,November 2025 · Weber conversion · Intake,Transmission fitting,Amazon,15,[B07DR69WQ5](https://www.amazon.com/dp/B07DR69WQ5),
PH024,installed,November 2025 · Weber conversion · Fuel system,"3/8"" line",Amazon,20,[B0CNCN5P1N](https://www.amazon.com/dp/B0CNCN5P1N),
PH025,installed,November 2025 · Weber conversion · Fuel system,**Fuel pump**,Pegasus,145,[RecId 8118](https://www.pegasusautoracing.com/productdetails.asp?RecId=8118),
PH026,installed,November 2025 · Weber conversion · Fuel system,Pump fittings,Amazon,40,[B07DR92SYT](https://www.amazon.com/dp/B07DR92SYT),
PH027,installed,November 2025 · Weber conversion · Fuel system,**Regulator**,Pegasus,50,[1135](https://www.pegasusautoracing.com/productselection.asp?Product=1135),
PH028,installed,November 2025 · Weber conversion · Fuel system,Regulator fittings,Amazon,15,[B07ZC84WZK](https://www.amazon.com/dp/B07ZC84WZK),
PH029,installed,November 2025 · Weber conversion · Fuel system,Fuel filter,AutoZone,7,[Duralast FF3429DL](https://www.autozone.com/filters-and-pcv/fuel-filter/p/duralast-fuel-filter-ff3429dl/830817_0_0),
PH030,installed,November 2025 · Weber conversion · Fuel system,Fuel cut off,Amazon,15,[B0C2QJ1518](https://www.amazon.com/dp/B0C2QJ1518),
PH031,installed,"July 2026 · Full brake overhaul + A/C belt + oil change — at 150,000 miles · Front",Rotor hubs,—,—,—,
PH032,installed,"July 2026 · Full brake overhaul + A/C belt + oil change — at 150,000 miles · Front",Wheel bearings,—,—,—,
PH033,installed,"July 2026 · Full brake overhaul + A/C belt + oil change — at 150,000 miles · Front",Wheel seals,—,—,—,
PH034,installed,"July 2026 · Full brake overhaul + A/C belt + oil change — at 150,000 miles · Front",Brake pads,—,—,—,
PH035,installed,"July 2026 · Full brake overhaul + A/C belt + oil change — at 150,000 miles · Rear",Brake shoes,—,—,—,
PH036,installed,"July 2026 · Full brake overhaul + A/C belt + oil change — at 150,000 miles · Rear",Drums,—,—,—,
PH037,installed,"July 2026 · Full brake overhaul + A/C belt + oil change — at 150,000 miles · Rear",Wheel bearings,—,—,—,
PH038,installed,"July 2026 · Full brake overhaul + A/C belt + oil change — at 150,000 miles · Rear",Wheel cylinders,—,—,—,
PH039,installed,"July 2026 · Full brake overhaul + A/C belt + oil change — at 150,000 miles · Belts",A/C belt,RockAuto,—,[pk 3972](https://www.rockauto.com/en/moreinfo.php?pk=3972&cc=1192250&pt=8900&jsn=483),
PH040,not done,Engine,Air filter,—,,—,
PH041,not done,Exhaust — nothing done,Exhaust head gasket,Racing Beat,,[16305](https://www.racingbeat.com/RX7-1975-1985/Exhaust-Gaskets/16305.html),
PH042,not done,Exhaust — nothing done,Pre-silencer gaskets ×2,Racing Beat,,[16315.1](https://www.racingbeat.com/RX7-1975-1985/Exhaust-Gaskets/16315.1.html),
PH043,not done,Exhaust — nothing done,Muffler gasket,Racing Beat,,[16314](https://www.racingbeat.com/RX7-1975-1985/Exhaust-Gaskets/16314.html),
PH044,not done,Exhaust — nothing done,Muffler mounts,Racing Beat,,—,
PH045,not done,Transmission — nothing done,ATF — Valvoline Dexron VI / Mercon LV,Walmart,,[link](https://www.walmart.com/ip/Valvoline-Dexron-VI-Mercon-LV-Full-Synthetic-Automatic-Transmission-Fluid-ATF-1-QT/153429990),
PH046,not done,Transmission — nothing done,Pan gasket,RockAuto,,[pk 5047248](https://www.rockauto.com/en/moreinfo.php?pk=5047248&cc=1192250&pt=8612),
PH047,not done,Transmission — nothing done,Fill plug gasket,—,,—,
PH048,not done,Transmission — nothing done,Drain plug gasket,—,,—,
PH049,not done,Transmission — nothing done,Filter,RockAuto,,[pk 4843812](https://www.rockauto.com/en/moreinfo.php?pk=4843812&cc=1192250&pt=8600&jsn=604),
PH050,not done,Sensors — nothing done,**Water temp sender**,Mazdatrix,,"[rear housing, new](https://mazdatrix.com/product/sender-water-temp-all-new-rear-hsg/)",**Feeds the ICU** — see [`DCU-CLUSTER.md`](../02-PROJECTS/electrical-pmu/03-MODULES/DCU-CLUSTER.md) §6
PH051,not done,Sensors — nothing done,**Oil pressure sender**,—,,—,**Feeds the ICU.** Not yet sourced
PH052,not done,Rear subframe,Gear oil — Valvoline 75W-90,Walmart,,[link](https://www.walmart.com/ip/Valvoline-Flex-Fill-75W-90-Full-Synthetic-Gear-Oil-1-QT-Squeeze-Pouch/329480316),
