id,kind,ref,feature,role,expect,note
PV57,cavity,D1 7,FT23,"mirror heat — RESERVED at the sill: pinned on the node side, the door harness is this project's (electrical D-274)",RESERVED,
PV58,cavity,D2 7,FT23,"mirror heat — RESERVED at the sill: pinned on the node side, the door harness is this project's (electrical D-274)",RESERVED,
PV59,cavity,L4-S2 1,FT23,"DCU mirror line - motor common, both mirrors: from DP-DCU-B 5 / L3-S3 5, linked at the post, capped there; spliced at the sill to D1 4 and D2 4",CAPPED,electrical D-255 / D-360
PV60,cavity,L4-S2 2,FT23,"DCU mirror line - LEFT motor: from DP-DCU-B 6 / L3-S3 6, linked at the post, capped there; sill → D1 5",CAPPED,electrical D-255 / D-360
PV61,cavity,L4-S2 3,FT23,"DCU mirror line - LEFT clutch coil: from DP-DCU-B 8 / L3-S3 8, spliced at the post, capped there; sill → D1 6",CAPPED,electrical D-255 / D-360
PV62,cavity,L4-S2 4,FT23,"DCU mirror line - RIGHT motor: from DP-DCU-B 7 / L3-S3 7, linked at the post, capped there; sill → D2 5",CAPPED,electrical D-255 / D-360
PV63,cavity,L4-S2 5,FT23,"DCU mirror line - RIGHT clutch coil: from DP-DCU-B 8 / L3-S3 8, spliced at the post, capped there; sill → D2 6",CAPPED,electrical D-255 / D-360
PV64,housing,L4-S2,FT23,DT-8 - the DCU's mirror lines at the post (D-360),,
PV65,cavity,L3-S2 3,FT24,"Window DRV up command - terminates in DP-DCU-B 1, the DCU's DT06-12S plug at the centre stack (D-362); the DCU drives it from the panel key (D-355). The L3-WIN console receptacle is deleted",CAPPED,electrical D-350 / D-362
PV66,cavity,L3-S2 4,FT24,"Window DRV down command - terminates in DP-DCU-B 2, the DCU's DT06-12S plug at the centre stack (D-362); the DCU drives it from the panel key (D-355). The L3-WIN console receptacle is deleted",CAPPED,electrical D-350 / D-362
PV67,cavity,L3-S2 5,FT24,"Window PASS up command - terminates in DP-DCU-B 3, the DCU's DT06-12S plug at the centre stack (D-362); the DCU drives it from the panel key (D-355). The L3-WIN console receptacle is deleted",CAPPED,electrical D-350 / D-362
PV68,cavity,L3-S2 6,FT24,"Window PASS down command - terminates in DP-DCU-B 4, the DCU's DT06-12S plug at the centre stack (D-362); the DCU drives it from the panel key (D-355). The L3-WIN console receptacle is deleted",CAPPED,electrical D-350 / D-362
PV69,cavity,L4-M 9,FT24,"window command → K5–K8 coil sockets at the sill, landed in the empty socket (electrical D-274)",CAPPED,
PV70,cavity,L4-M 10,FT24,"window command → K5–K8 coil sockets at the sill, landed in the empty socket (electrical D-274)",CAPPED,
PV71,cavity,L4-M 11,FT24,"window command → K5–K8 coil sockets at the sill, landed in the empty socket (electrical D-274)",CAPPED,
PV72,cavity,L4-M 12,FT24,"window command → K5–K8 coil sockets at the sill, landed in the empty socket (electrical D-274)",CAPPED,
PV73,cavity,L4-P 3,FT24,window motor bus feed (O1) → K5–K8 commons,CAPPED,
PV74,cavity,D1 1,FT24,"window motor leg — RESERVED at the sill: pinned on the node side, the door harness is this project's (electrical D-274)",RESERVED,
PV75,cavity,D1 2,FT24,"window motor leg — RESERVED at the sill: pinned on the node side, the door harness is this project's (electrical D-274)",RESERVED,
PV76,cavity,D2 1,FT24,"window motor leg — RESERVED at the sill: pinned on the node side, the door harness is this project's (electrical D-274)",RESERVED,
PV77,cavity,D2 2,FT24,"window motor leg — RESERVED at the sill: pinned on the node side, the door harness is this project's (electrical D-274)",RESERVED,
PV78,relay,K5,FT24,"window relay socket at the sill, fitted empty",,
PV79,relay,K6,FT24,"window relay socket at the sill, fitted empty",,
PV80,relay,K7,FT24,"window relay socket at the sill, fitted empty",,
PV81,relay,K8,FT24,"window relay socket at the sill, fitted empty",,
PV82,fuse,F8,FT24,window branch fuse position at the sill,,
PV83,fuse,F9,FT24,window branch fuse position at the sill,,
PV84,cavity,L3-S3 1,FT28,dash ↔ hatch pass-through — ends in the L3-RDR receptacle (electrical D-274),CAPPED,
PV85,cavity,L3-S3 2,FT28,dash ↔ hatch pass-through — ends in the L3-RDR receptacle (electrical D-274),CAPPED,
PV86,cavity,L3-S3 3,FT28,dash ↔ hatch pass-through — ends in the L3-RDR receptacle (electrical D-274),CAPPED,
PV87,cavity,L4-S 5,FT28,dash ↔ hatch pass-through — ends in the L4-RDR receptacle (electrical D-274),CAPPED,
PV88,cavity,L4-S 6,FT28,dash ↔ hatch pass-through — ends in the L4-RDR receptacle (electrical D-274),CAPPED,
PV89,cavity,L4-S 7,FT28,dash ↔ hatch pass-through — ends in the L4-RDR receptacle (electrical D-274),CAPPED,
PV90,cavity,L3-S2 7,FT32,future module +12 V switched — ends in the L3-MOD receptacle (electrical D-274),CAPPED,
PV91,cavity,L3-S2 8,FT32,future module ground — ends in the L3-MOD receptacle (electrical D-274),CAPPED,
PV92,cavity,L3-M 1,FT29,head unit ACC + USB-C,LIVE,
PV93,cavity,L3-M 2,FT29,head unit memory constant (F1),LIVE,
PV94,cavity,L3-S1 8,FT29,illumination bus — the head unit's dimmer wire,LIVE,
PV95,cavity,L3-S2 11,FT30,parking-brake switch → the brake-warning node,LIVE,
PV96,pin,CAN2H,FT31,"the vehicle bus, 500 kbps — software termination at the PMU, 120 Ω at the engine-bay drop; the DCU and the panel are its next nodes",LIVE,
PV97,pin,CAN2L,FT31,the vehicle bus,LIVE,
PV99,cavity,L2-OAT 1,FT15,Outside-air thermistor — signal — the branch-end receptacle this project plugs into (electrical D-274),CAPPED,
PV100,cavity,L3-CMF 1,FT31,O15 comfort bus — the branch-end receptacle this project plugs into (electrical D-274),CAPPED,
PV106,cavity,L3-MOD 1,FT32,Future module +12 V switched — the branch-end receptacle this project plugs into (electrical D-274),CAPPED,
PV107,cavity,L3-MOD 2,FT32,Future module ground — the branch-end receptacle this project plugs into (electrical D-274),CAPPED,
PV108,cavity,L3-RDR 1,FT28,Radar pass-through A — the branch-end receptacle this project plugs into (electrical D-274),CAPPED,
PV109,cavity,L3-RDR 2,FT28,Radar pass-through B — the branch-end receptacle this project plugs into (electrical D-274),CAPPED,
PV110,cavity,L3-RDR 3,FT28,Radar pass-through C — the branch-end receptacle this project plugs into (electrical D-274),CAPPED,
PV111,cavity,L4-RDR 1,FT28,Radar pass-through A — the branch-end receptacle this project plugs into (electrical D-274),CAPPED,
PV112,cavity,L4-RDR 2,FT28,Radar pass-through B — the branch-end receptacle this project plugs into (electrical D-274),CAPPED,
PV113,cavity,L4-RDR 3,FT28,Radar pass-through C — the branch-end receptacle this project plugs into (electrical D-274),CAPPED,
PV123,cavity,L3-S3 5,FT23,"Mirror motor common, both mirrors - linked at the post to L4-S2 1; the dash leg ends in DP-DCU-B 5 at the DCU",CAPPED,"D-359, electrical D-360"
PV124,cavity,L3-S3 6,FT23,Mirror LEFT motor - linked at the post to L4-S2 2; the dash leg ends in DP-DCU-B 6 at the DCU,CAPPED,"D-359, electrical D-360"
PV125,cavity,L3-S3 7,FT23,Mirror RIGHT motor - linked at the post to L4-S2 4; the dash leg ends in DP-DCU-B 7 at the DCU,CAPPED,"D-359, electrical D-360"
PV126,cavity,L3-S3 8,FT23,"Mirror clutch coils, both mirrors - spliced at the post to L4-S2 3 and L4-S2 5; the dash leg ends in DP-DCU-B 8 at the DCU",CAPPED,"D-359, electrical D-360"
