id,part,round,rank,product,maker_pn,vendor,url,usd,qty,meets,why,drawbacks,confidence,confirm,recommend,verdict,said,decided,decision
PK011,LP31,1,primary,"Build: Delta centrifugal blowers, 2 per seat, over a 3D spacer-mesh layer under the cover","Delta BFB0712HH-A (x4) + 10 mm polyester spacer mesh, about 1 square metre",DigiKey / Mouser (blowers); airmeshsupply.com or Amazon (mesh),https://www.delta-fan.com/products/BFB0712HH-A.html,13,4,"Each blower 76 x 76 x 25 mm, 12 V, 0.34 A, 15.3 CFM - two per seat is about 0.7 A, far under the 2.5 A design and 5 A fuse; brushless, so PWM or reduced voltage slows it","No reputable seat-ventilation kit exists at this budget - the branded one (LeatherSeats SANCTUM) is $350 a seat and a Peltier unit far over the 2.5 A. This build uses datasheet-grade parts with a known current, about $70-90 all in","You design the ducting: pockets cut in the foam for the blowers, channels up to the mesh. 51 dBA at full speed, so it runs at a reduced duty. 25 mm deep, which has to fit under the FB cushion. The FB's cloth covers pass air; leather would need perforating",medium,Depth available under the seat pan; the blower location; mesh price,,vetoed,"no for now, i want to first look for seats with heating/cooling and likely electric controls",2026-09-23,D-392
PK012,LP31,1,runner-up,"Generic universal seat ventilation retrofit kit, one per seat",generic (eBay),eBay,https://www.ebay.com/itm/386015618313,83,2,"Typically 4 fans, mesh and air sponges, control unit and 7.5 A fuse per seat (from search summaries, not a verified listing)",An integrated ducting pad - less design work than the build,"No maker, no stated fan current, noise or durability; the control unit is thrown away; about $150-180 for two",low,Everything - a listing read in full,,unused,,2026-09-23,
PK013,LP33,1,primary,Three-layer set: Noico 80 mil butyl CLD 36 sq ft + Noico Red 150 mil closed-cell foam x2 (72 sq ft) + Trademark Soundproofing 1 lb MLV 4 x 15 ft (60 sq ft),Noico SNL1; Noico Red 36 sq ft; Trademark 1 lb MLV,"Amazon (B00URUIKAK, B07TKXMPH7, B0F19G3L4Y)",https://noico.info/products/noico-80-mil-2-mm-36-sqft-3-4-sqm/,345,1,"CLD: butyl with foil, 2 mm, 0.7 lb/sq ft - about 30 % coverage of the ~80 sq ft of floor, tunnel, firewall, cargo floor, arches, quarters and door skins. CCF: closed-cell PE, 4 mm, self-adhesive, to 190 F, full coverage under the MLV and on the door inner skins. MLV: 1 lb/sq ft, 1/8 in, STC 26-27, over the CCF on floor, tunnel, firewall, cargo floor and arches","All three layers, butyl not asphalt, closed-cell not open-cell, inside the $150-400 budget (about $320-370)","Noico does not publish its foil thickness; the CCF comes in small sheets (lots of seams); the MLV has no adhesive and is laid loose, about 60 lb of it. Keep MLV off the hot tunnel over the exhaust, or check the temperature there. The areas are estimates for an FB, not measured",medium,"The area per zone, with the carpet up (it rides on the S4 carpet-up event); two prices not confirmed",,accepted,yes reference heat must be examened later,2026-09-23,D-391
PK014,LP33,1,runner-up,Premium set: ResoNix CLD Squares + Second Skin OverKill Pro + an MLV,ResoNix CLD Squares 40 sq ft pack; Second Skin OverKill Pro,ResoNix / Second Skin,https://resonixsoundsolutions.com/products/resonix-cld-squares-sound-deadening-material,,1,"ResoNix: 120 mil butyl, 4 mil foil (published), 1 lb/sq ft, loss factor 0.6 at 200 Hz",The best-published specs of anything found,Pushes the total over $400; with Luxury Liner Pro as the MLV it is $800+,medium,Prices,,unused,,2026-09-23,
PK015,LP41,1,primary,"Grote LED sealed-beam headlamp, 4x6, high and low beam in one unit",Grote 94401-5,Drivetrain America,https://www.drivetrainamerica.com/grote-94401-5-high-low-beam-4-x-6-rectangular-led-headlight-910-1150-lumen/,279,2,"FMVSS 108 type 2E1 (the H4656 dual-beam type), ""DOT compliant and legal for all 4x6 systems""; 1.35 A low / 1.63 A high at 13.5 V (the channels allow 13 A); 910 / 1150 lm; H4 3-pin plus a 2E1 adapter; IP67, die-cast aluminium, 3-year warranty; 2.875 in (73 mm) deep, 105 x 165 mm face - the shallowest found","A real dual-beam DOT unit from a major lighting maker, with the lowest current and the shallowest body of every candidate, which matters in the pop-up bucket","OVER BUDGET: about $558 for the pair at this seller against $120-300 - no reputable dual-beam DOT 4x6 LED fits that budget (a search snippet showed $144 each elsewhere, unverified). Modest output: a reflector lamp, not a projector. Plain black truck-lamp styling. Turn-on time (the wink) and inrush are unpublished",medium,Price and stock at the seller you use; that 73 mm clears the bucket with the adapter plate (V-066); whether low stays lit with high on,"(a) if the look is worth about $560 a pair; veto it if not, and I will search for a cheaper unit and bring it back with its trade-offs.",accepted,yes like them,2026-09-23,D-391
PK016,LP41,1,runner-up,"Holley RetroBright 4x6 LED, 3000 K Classic White",Holley LFRB120-1,Steeda / SS396,https://www.steeda.com/holley-LFRB120-1-retrobright-classic-white-4x6-headlight,222,2,"One unit for both beams, replaces H4656; H4 3-pin; about 1.5-1.9 A low, 2.2-2.6 A high (from wattage); replaceable LED cartridge",Built for classic cars and looks period-correct at 3000 K,Also over budget (about $444 a pair); depth not published; seller power figures disagree; no FMVSS type code on any listing,medium,Depth from Holley; the DOT marking on the lens,,unused,,2026-09-23,
PK017,LP51,1,primary,"Song Chuan 871 micro ISO relay, SPDT, 12 V, coil diode",Song Chuan 871-1C-C-D1-12VDC,Waytek (75725) / Mouser,https://songchuanusa.com/all-relays/871-automotive-35a-plug-in-iso-micro-relay/,5,2,"Standard micro ISO blades (fits the Waytek 75290 sockets the electrical build fits - an ""ISO 280"" relay would not); NO 35 A / NC 20 A at 14 V; 1N4007 across the coil with its anode on 85, so 86 is positive - which is how K3/K4 are wired (86 on the O10 release branch, 85 switched low by the DCU)","The same family as the electrical build's own relays (P003), with the diode the DCU's low-side switch needs, in the right polarity","Flux-tight, not sealed - fine behind the dash",high,,,accepted,yes,2026-09-23,D-391
PK018,LP51,1,runner-up,"TE Micro Relay A, SPDT, 12 V, coil diode",TE V23074-A2001-A403,DigiKey / Mouser,https://www.te.com,,2,"Micro ISO, IP54; NO 30 A / NC 20 A at 23 C","A top-tier maker, sealed to IP54",Price unconfirmed; which printed terminal carries 86 must be checked against the diode drawing,medium,Price; the 86 marking,,unused,,2026-09-23,
PK019,LP37,1,primary,"Song Chuan 871 micro ISO relay, SPDT, 12 V, coil resistor (x4) - plus two blade fuses for F8 / F9",Song Chuan 871-1C-C-R1-12VDC,Waytek / distributors,https://songchuanusa.com/all-relays/871-automotive-35a-plug-in-iso-micro-relay/,6,4,"Fits the sill sockets; NO 35 A makes and breaks the window feed, NC 20 A carries the motor's ground return and the braking short; 680 ohm coil resistor, no polarity to get wrong; -40 to 125 C","The same family as every other relay in the car. A resistor, not a diode, because a coil diode slows the release and shortens contact life when breaking motor current (both TE and Song Chuan warn of this)","The NC contact's 20 A resistive rating is marginal against a window motor's 15-20 A stall - the window motors (LP36) are not chosen yet, so this is confirmed when they are",high,Window motor stall current against 20 A NC (LP36),,accepted,yes,2026-09-23,D-391
PK020,LP37,1,runner-up,"TE Micro Relay A, SPDT, 12 V, coil resistor (x4)",TE V23074-A1001-A403,DigiKey / Mouser,https://www.te.com,,4,"Micro ISO, IP54; NO 30 A / NC 20 A at 23 C, 15 A at 85 C; NC breaks 10 A inductive","Sealed, top-tier maker","Lower NC ratings hot, marginal for a window stall; price unconfirmed",medium,Price,,unused,,2026-09-23,
