id,system,title,date,status,supersedes,superseded_by,closes,also,body
D-303,Modules — DCU and ICU,Three Teensy 4.1 are in hand with headers; availability is not a…,2026-09-03,standing,,,V-059,,"**D-303 — Three Teensy 4.1 are in hand with headers; availability is not a project risk and the carriers may commit to the part.** Camden, 2026-09-03 — also transistors with headers, none soldered up. Closes `V-059`; the Adafruit → SparkFun distribution change no longer matters to this project. `V-057` (the TCAN suffix) is still open and is now the only part-availability item ahead of layout."
D-087,Modules — DCU and ICU,A private DCU ↔ ICU CAN-FD pair was planned; the electrical build did…,,inherited,,,,,**D-087 — A private DCU ↔ ICU CAN-FD pair was planned; the electrical build did not run it (D-215).** Both modules sit behind the same bezel — run it there if it is ever wanted.
D-106,Modules — DCU and ICU,"CAN byte layouts: 8-byte messages, little-endian, byte 7 a rolling…",,inherited,,,,,"**D-106 — CAN byte layouts: 8-byte messages, little-endian, byte 7 a rolling counter, explicit timeout per message, a receiver blanks a field rather than holding the last value.** Bus load ~1.5 %. The PMU's own export format (`V-065`) still has to be reconciled."
D-082,Modules — DCU and ICU,The tach input gets opto-isolation or a comparator at the ICU,,inherited,,,,,**D-082 — The tach input gets opto-isolation or a comparator at the ICU.** Coil-primary spikes run well above 12 V.
D-304,Modules — DCU and ICU,"The tach signal is 2 pulses per crankshaft revolution, taken from the…",2026-09-03,standing,,,V-067,,"**D-304 — The tach signal is 2 pulses per crankshaft revolution, taken from the NEGATIVE (primary) side of the TRAILING coil.** Camden, 2026-09-03. The 2 ppr assumption is confirmed, so no RPM scaling constant changes. The *source* is corrected: `01-DESIGN/ICU-CARRIER.md` describes the front end against the **leading** coil, and the electrical build's shielded conductor (L1-S1 6 → DP-CLU 4, tapped to DP-ICU 9) is already drawn from the trailing coil — the design and the car agree, the carrier document does not. Consequence for layout: the H11L1 / LM393 front end must be specified against a trailing-coil primary waveform, which is the inductive-kick side and needs the clamp ahead of the opto, not a clean logic-level input. Closes `V-067`; `01-DESIGN/ICU-CARRIER.md` needs the wording and the front-end spec corrected before layout."
D-090,Modules — DCU and ICU,No hardwired oil-pressure lamp; oil pressure is shown by the ICU only,,inherited,,,,,"**D-090 — No hardwired oil-pressure lamp; oil pressure is shown by the ICU only.** The factory cluster stays live through ICU development (D-094), which covers the window when the ICU is least trustworthy. Reopen if the car's use changes."
D-191,Modules — DCU and ICU,The DCU restores climate memory from SD on wake — no constant keep-alive,,inherited,,,,,**D-191 — The DCU restores climate memory from SD on wake — no constant keep-alive.** F13 at the dash node therefore goes to the radar feed when that subsystem exists.
D-183,Modules — DCU and ICU,"Once the ICU (or an engine ECU) puts rpm on CAN, the fuel-pump and…",,inherited,,,,,"**D-183 — Once the ICU (or an engine ECU) puts rpm on CAN, the fuel-pump and start-relay rules gain their rpm terms.** Until then the PMU runs the interim rules."
D-150,The cluster,"One wide display, instant-on (no OS, no boot sequence — key on, display…",,inherited,,,,D-192 D-193,"**D-150 / D-192 / D-193 — One wide display, instant-on (no OS, no boot sequence — key on, display on): a 12.3″ bar panel on a 1280 × 480 canvas driven by a BT817 EVE over QSPI from the Teensy.** Two bridge chains, decided by `V-085`: RGB → LVDS into 1280 × 480 cluster glass (only if the binnacle brow shades a 330-nit panel), or RGB → HDMI into a 900–1000-nit 1920 × 720 bar panel's scaler board (the default if the brow does not convince)."
D-168,The cluster,Dirty-rectangle rendering from a RAM framebuffer (built and proven…,,inherited,,,,D-170,"**D-168 / D-170 — Dirty-rectangle rendering from a RAM framebuffer (built and proven, 415-assertion suite); 8 MB PSRAM fitted to the Teensy pads before the board is installed.**"
D-151,The cluster,D-158 — Rendering rules,,inherited,,,,,"**D-151 – D-158 — Rendering rules:** emerald `#009155` is the single lit colour, unlit is a 4:1 dimmer green · imperial at the display layer only, everything stored metric · a missing sensor never renders as a real zero (open = amber dashes, short = red dashes, stale = dim dashes, out of range = red) · contiguous bar segments · symbols not words in the gauge column · four named axes · three items in the left column · digit fields re-centre."
D-159,The cluster,The display does not cross the harness; the page-cycle button is a…,,inherited,,,,D-169,**D-159 / D-169 — The display does not cross the harness; the page-cycle button is a small momentary wired directly to the Teensy.**
D-109,The cluster,"An IMU on the ICU carrier (MPU-6050 / ICM-20948 class, I²C); axis…",,inherited,,,,D-161,"**D-109 / D-161 — An IMU on the ICU carrier (MPU-6050 / ICM-20948 class, I²C); axis convention: lateral positive right, longitudinal positive under acceleration, pitch positive nose-up.** Mounting orientation must match (`V-073`)."
D-160,The cluster,"`stats.h` thresholds (redline 7000 rpm, hot water 105 °C, low oil 1.0…",,inherited,,,,D-162 D-163,"**D-160 / D-162 / D-163 — `stats.h` thresholds (redline 7000 rpm, hot water 105 °C, low oil 1.0 bar, tank 15.9 gal — all to confirm, `V-070`–`V-072`) · volatile-only until SD persistence exists (probably write on key-off) · the firmware owns automated figures, hand logs own config and firmware versions.**"
D-300,The cluster,The three assumed `stats.h` figures are confirmed as assumed: redline…,2026-09-03,superseded,,D-328,V-072 V-070 V-071,,"**D-300 — The three assumed `stats.h` figures are confirmed as assumed: redline 7000 rpm, minimum idle oil pressure 1.0 bar, tank 15.9 gal.** Camden, 2026-09-03. The tach red zone, the over-rev counter, the low-oil warning band and the range calculation all stand as written — no firmware change. Closes `V-070`, `V-071`, `V-072`. Water temp 105 °C was never in doubt and is untouched."
D-048,"Comfort, mirrors, windows, seats",Cooled seats are in scope (fans and ducting on the comfort bus); seat…,,inherited,,,,D-074 D-058 D-073,"**D-048 / D-074 / D-058 / D-073 — Cooled seats are in scope (fans and ducting on the comfort bus); seat products stay estimates (2 × 4 A heat, 2 × 1.5–2.5 A fans); the heat/cool interlock and comfort-bus switching are the DCU's job, downstream of the dumb O15 feed.**"
D-049,"Comfort, mirrors, windows, seats","Remote mirror motors kept, plus heated mirrors, with independent wiring…",,inherited,,,,D-093,"**D-049 / D-093 — Remote mirror motors kept, plus heated mirrors, with independent wiring per side — slightly larger mirrors with integrated heat and digital controls, new switch.** The door connector budget is exactly 8 conductors per door."
D-305,"Comfort, mirrors, windows, seats","Mirrors do adjustment and heat, and nothing else",2026-09-03,standing,,,T-031,,"**D-305 — Mirrors do adjustment and heat, and nothing else.** Camden, 2026-09-03: no power fold, no turn-signal repeaters, no puddle lamps, no blind-spot indicators, no memory positions. This settles the conductor budget that `V-060` had left open and that the electrical build was about to commit housings to: three motor conductors, one heat feed and the door ground fit D1/D2's eight cavities exactly as D-092/D-093 allocated them, with the window pair and the door pin, and the spare untouched. **The electrical build needs no change and its door housings stay DT-8.** What remains is sourcing (`Q-300`): the mirror must be a conventional 3-wire motor pair (common + X + Y) with a resistive heat element — not a 5-wire, LIN-bus or module-driven mirror, which would need conductors the doors do not have. Closes `V-060`; `T-031` continues as a sourcing task."
D-131,"Comfort, mirrors, windows, seats",Power windows are a luxury item; the electrical build provisioned…,,inherited,,,,,"**D-131 — Power windows are a luxury item; the electrical build provisioned everything (see the table above).** Adding them: fit the regulators and motors, plug in D1/D2, populate K5–K8, fit F8/F9, uncap the commands, enable the logic."
D-180,"Comfort, mirrors, windows, seats",Hatch and fuel-door solenoids on O10 branches with their own fuses…,,inherited,,,,D-181,"**D-180 / D-181 — Hatch and fuel-door solenoids on O10 branches with their own fuses, pulsed by the panel → PMU; mirror heat through F14 at the sill.** Part choice is `T-032` / `T-033`."
D-096,"Comfort, mirrors, windows, seats","Radar is a custom subsystem, not a commercial unit",,inherited,,,,,"**D-096 — Radar is a custom subsystem, not a commercial unit:** DCU-managed, displayed on the cluster, concealed sensors front and rear. The rear link is the L3-S3 ↔ L4-S pass-through; the front sensor is wired locally to the module (`V-061` designs it)."
D-128,Head unit and audio,A CarPlay head unit does maps and audio; the ICU keeps gauges only,,inherited,,,,D-129 D-130 D-149,"**D-128 / D-129 / D-130 / D-149 — A CarPlay head unit does maps and audio; the ICU keeps gauges only.** Head-unit criteria: double-DIN, physical buttons, button colour set to green, wireless CarPlay, and **full-range unprocessed pre-outs** feeding the external amp (the hard requirement — many units band-limit or EQ their pre-outs). The harness side (L3-M 1/2, illumination, ground, amplifier feed) is already in the electrical build."
D-201,Lighting — the second pass,Lighting starts only after the electrical rebuild is shaken down…,,inherited,,,,L-004,"**D-201 / L-004 — Lighting starts only after the electrical rebuild is shaken down: factory harness out, car driving on the PMU with stock bulbs and soft fuses set from measurement.**"
D-107,Lighting — the second pass,Custom tail lights: a thin LED strip per side in the stock aperture…,2026-08-31,inherited,,,,L-001 D-111,"**D-107 / L-001 / D-111 — Custom tail lights: a thin LED strip per side in the stock aperture, red for tail/brake/turn with a 5 cm white reverse section inboard; 2.2 cm strip height gives 55 cm² of red (FMVSS 108 wants 50 cm² for stop and rear turn); a driver PCB per housing takes tail, brake, turn and reverse as logic inputs and handles intensity, constant-current drive and turn override locally.** Design notes: `../../99-ARCHIVE/Electrical/2026-08-31_lighting-body/TAIL-LIGHTS.md`."
D-110,Lighting — the second pass,The pop-ups stay; the headlamp becomes a DOT-compliant sealed unit…,,inherited,,,,L-002,**D-110 / L-002 — The pop-ups stay; the headlamp becomes a DOT-compliant sealed unit inside the existing bucket (a strip of LEDs cannot make a beam cutoff).** Which unit is `Q-048`.
D-122,Lighting — the second pass,Every soft fuse is re-set after any bulb change,,inherited,,,,L-003,**D-122 / L-003 — Every soft fuse is re-set after any bulb change.** A limit set for a filament does not protect an LED.
D-309,The record itself,"The luxury record is data, rendered — the same workflow as the…",2026-09-07,superseded,,D-364,,,"**D-309 — The luxury record is data, rendered — the same workflow as the electrical build (electrical D-233), on the same three-step skeleton.** Camden's instruction, 2026-09-07: one set of true data, every display reading it, nothing stale against the wiring build. `data/` holds modules, stages, features, provisions, sensors, CAN messages and fields, parts, work, params and the bring-up log; `templates/` the prose; `views.py` the derivations and checks; `python tools/rx7.py -p luxury-package build` renders README, DESIGN, CAN-MESSAGES, ICU-CARRIER, DCU-CARRIER, SHOPPING-LIST, INSTALL, BRING-UP and `VIEW.html`. **The boundary is derived, not typed:** every provision this project consumes is joined live to `../electrical-build/data` at build time, and a cavity that changes state or disappears there refuses this project's build — the mechanism that makes ""no stale information"" a property rather than a promise. The four hand-written design documents (`DCU-CLUSTER.md`, `CLUSTER-DESIGN.md`, `BENCH-BRINGUP.md`, `FORWARD-WORK.md`) are archived under `99-ARCHIVE/Luxury/2026-09-07_prose-before-data/`; their still-true content lives in the templates and `data/work.csv`. `firmware/` stays a source of truth in its own right (R6) and is not rendered — except `pmu_sim/channels.h` (D-311)."
D-310,The record itself,Every ICU sender input is a high-Z observer of a gauge-driven node…,2026-09-07,standing,,,,,"**D-310 — Every ICU sender input is a high-Z observer of a gauge-driven node, never a divider that loads it; and there is one BRAKE tell-tale.** 2026-09-07, from the Q-301 finding. The old carrier draft read water temperature through a 1 kΩ pull-up to 3V3 and oil pressure through 330 Ω — either would have moved the factory needle the driver is still looking at. The front end is now 1 MΩ series → 330 kΩ to ground (×0.248: 12 V reads 2.98 V, 20 V clamps), 100 nF at the ADC pin, BAT54S to 3V3 / GND, calibrated in the car against the gauge (D-142 / electrical D-249) and averaged in firmware if the M-6 scope trace shows a pulsing regulator (Q-301a). Each observer carries a **DNP 100 Ω 1 W pull-up to +5 V behind a jumper** — the local excitation fitted only at S3, when the factory cluster leaves, never while the gauge still drives the node. Fuel joins the same pattern on `DP-ICU-B 3`. The tach front end is specified against the **trailing** coil's negative primary (D-304): 2 × 100 kΩ series, 5.1 V zener + Schottky clamp, comparator with hysteresis, input capture. The brake-warning tap carries fluid level and parking brake on one node, as the factory lamp did, so the cluster shows one BRAKE tell-tale (D-209(b)'s parking-brake sense is answered this way, not with a new input). Values are `data/sensors.csv`'s."
D-311,The record itself,`firmware/pmu_sim/channels.h` is rendered by this project's build from…,2026-09-07,superseded,,D-364,,,"**D-311 — `firmware/pmu_sim/channels.h` is rendered by this project's build from the electrical build's `data/pins.csv`.** 2026-09-07. The file's banner claimed a generator and a CSV that no longer exist, and its limits were two rulings behind (O2 / O3 at 13.0 A, electrical D-243). The structure — `ChannelSpec`, the `CH[24]` table, the channel enum, `estimatedChannelCount()` — is unchanged so nothing that includes it needs to change; only the numbers now follow the electrical record. Opens F-013: re-run the test suite against the regenerated file on a machine with g++."
D-312,The record itself,"The install plan is nine stages, S0 bench → S1 ICU headless → S2…",2026-09-07,standing,,,,,"**D-312 — The install plan is nine stages, S0 bench → S1 ICU headless → S2 climate (panel, DCU, blower) → S3 cluster display → S4 comfort loads → S5 mirrors → S6 windows → S7 lighting → S8 radar, each plugging into capped receptacles and reversible before dark.** 2026-09-07. Ordered by dependency and by dash-plastics events done once each: the centre stack for S2, the binnacle for S3, the door cards for S5 + S6 together, the carpet for S4 with sound deadening. Climate is placed before the display because the car has no heater airflow until the blower returns (electrical D-253) and the headless ICU already works behind the factory cluster; that ordering is `Q-306`, Camden's to flip. Rows in `data/stages.csv`; per-stage provisions and parts print from the data."
D-315,The record itself,The release solenoids exist and the harness reaches them; every other…,2026-09-08,standing,,,,,"**D-315 — The release solenoids exist and the harness reaches them; every other provision this project plugs into ends in a dust-capped receptacle where it leaves its leg; the door harness is this project's, so `D1` / `D2` are RESERVED at the sill.** 2026-09-08, mirroring electrical D-274 (Camden's `Q-132` answer). Both factory solenoids are on the car and believed working — `LP23` / `LP25` drop to nothing to buy; `T-032` / `T-033` are the trigger (D-180, through the K3 / K4 sockets) and the broken latch switch (`LP24`). The receptacles this project's stages plug into: `L2-NZL` (nozzles, S4), `L2-OAT` (outside air, S2), `L3-CMF` (the O15 block, S2), `L3-WIN` (the window switch pack, S6 — its common on cavity 5), `L3-MOD` (the future module), `L3-RDR` / `L4-RDR` (radar, S8), besides `L3-BLW` (D-253); the door cards' harnesses (S5 + S6) start at the sill receptacles, whose door plugs hold sealing plugs until then. The DCU's two bucks follow electrical D-273 — a 60 V-input part (`LP08`). Data: `provisions` (expectations and sixteen new rows), `features` FT15 / FT17 / FT18 / FT21 / FT23 / FT24 / FT28 / FT31 / FT32, `parts` LP08 / LP23 / LP25."
D-326,"Comfort, mirrors, windows, seats",The mirrors move on a mechanical switch in the panel; the DCU does mirror heat and nothing else,2026-09-11,superseded,,D-359,01.01,,"**D-326 — The mirrors move on a mechanical switch in the panel; the DCU does mirror heat and nothing else.** Camden's call, 2026-09-11, answering `01.01`: ""follow recommendations"" — option (a).

`L4-S2` carries the five command conductors to the sill either way, so this is a choice about what sits at the dash end. A mechanical mirror switch — joystick plus L/R selector — wired straight to `L4-S2` at the post means **zero electronics**, and the mirrors still move with the DCU off or absent. The alternative put six half-bridges on carrier H-002 and sent the joystick over CAN, which buys a knob-free panel at the cost of firmware, board area, and mirrors that cannot move when the DCU is down.

**In the data.** `sensors` `SN17` is settled: nothing on the carrier, no half-bridges, no CAN message for mirror position. The DCU keeps mirror **heat** on its comfort FET set (`SN16`) through F14. The control panel's layout must now find room for a mechanical mirror control — that is the flip condition, and it is a panel-design constraint rather than an open question. `S5`'s prerequisite is resolved. H-002 can be laid out."
D-327,The record itself,Stage order stands: climate (S2) before the display bezel (S3),2026-09-11,standing,,,01.02,,"**D-327 — Stage order stands: climate (S2) before the display bezel (S3).** Camden's call, 2026-09-11, answering `01.02`: ""follow recommendations"" — yes.

The plan puts `S2` (control panel, DCU, blower — the centre-stack plastics) ahead of `S3` (the binnacle plastics around the display), because the car has **no heater airflow at all** until the blower returns (electrical D-253), while the display is already in the car and working on its plain plate (electrical D-268). A bare plate is cosmetic; a winter without heat is not. The flip condition — the bare plate bothering him more than the cold — is declined.

Costs nothing either way: the two plastics events are independent, and S3 needs nothing at the harness or at the ICU. Confirms `D-312`'s nine-stage order without changing it."
