id,stage,stage_title,item,owner,state,gate,note,reply,choices,unit
DS01,00,00 Design - every choice made on paper before money is spent,"Accessory drive for the FB: alternator, water pump and A/C compressor positions that clear the FB's frame rails and hood",agent,open,,"Truck drives are tall and wide. Compare F-body, Corvette and compact aftermarket brackets; the 1982 GS has no power steering, so the pump is deleted. Feeds the alternator choice (H-001) and the A/C compressor (HO13)",,,
DS02,00,00 Design - every choice made on paper before money is spent,Oil pan and pickup that clear the FB's steering linkage and crossmember,agent,open,,"Every FB LS build found notched a truck pan or used another pan (options OP50). Candidates: F-body pan, Holley 302-2 swap pan, a notched truck pan. Needs FB front-end measurements",,,
DS03,00,00 Design - every choice made on paper before money is spent,"Headers and exhaust routing for the FB, and the catalytic converters if K2 requires them",agent,open,K2,No FB LS header was found off the shelf; builders made their own and fought starter clearance. Look for FC-kit headers that could be adapted,,,
DS04,00,00 Design - every choice made on paper before money is spent,"Cooling system for an LS in the FB: radiator size, electric fan and its draw against O14's 25 A, steam-port routing, overflow",agent,open,,HO02: the fan is on O14 (25 A). A fan drawing more needs a relay-driven or brushless fan,,,
DS05,00,00 Design - every choice made on paper before money is spent,"Fuel system for the LS: in-tank pump, returnless 58 psi with a filter-regulator, lines and fittings; the O5 soft fuse re-set",agent,open,,"HO12 and V-040 (Aeromotive Phantom 340 ~12.2 A at 58 psi is the candidate). Today's Weber carb setup (Carter P4070, Holley regulator) goes",,,
DS06,00,00 Design - every choice made on paper before money is spent,"Clutch pedal and hydraulics - the car is an automatic today: pedal box, clutch master, line, and the CD009's slave",agent,open,,"An FB manual pedal box and master is the likely route; the CD009 uses an external slave (confirm with the Sikky kit, OP20)",,,
DS07,00,00 Design - every choice made on paper before money is spent,"Engine and transmission mounts and the crossmember - where the engine sits (set back to the firewall), and the driveshaft length that follows",agent,open,J4,"No bolt-in FB kit (OP50): SBC-pattern FB mounts plus LS adapter plates, or custom. The driveshaft is measured once the mounts are set",,,
DS08,00,00 Design - every choice made on paper before money is spent,"Rear axle for LS torque, and its brakes (D-113)",agent,open,,"Stock FB axle will not survive (OP40). Options: Drifting Dad Ford 9 bolt-in ($3,500, 6+ months), a shortened Ford 8.8, a Toyota 8. D-113 already plans rear discs",,,
DS09,00,00 Design - every choice made on paper before money is spent,Front springs and alignment for the weight change: a dressed aluminum LS is about 500 lb against the 12A's (confirm both weights),agent,open,,Spring rates and ride height re-chosen from the measured front corner weights,,,
DS10,00,00 Design - every choice made on paper before money is spent,"The swap budget - a query over options, parts and this plan, never a typed total",agent,open,DS01 DS02 DS03 DS04 DS05 DS06 DS07 DS08,So the money is known before anything but the engine is bought,,,
DS11,00,00 Design - every choice made on paper before money is spent,"Freeze the swap design - rule it complete, so buying the rest can start",camden,open,DS10 K1 K2 K3 J4 H-001 DS09,The same freeze the electrical project uses: nothing past the engine is bought before this,,,
BR01,01,"01 Buy and retrieve - the engine, the transmission and the parts","Buy the stands and tools: two engine stands (engine and transmission), a hoist or a hoist rental, a torque wrench to 100 ft-lb, LS balancer puller and installer, compression gauge",camden,open,,Before the yard trip - the compression gauge goes to the yard,,,
BR02,01,"01 Buy and retrieve - the engine, the transmission and the parts","At the yard: compression test if allowed, photos, read the VIN's 8th digit and the odometer, then pull the whole package",camden,open,J1 BR01,"Take: engine with every accessory, complete engine harness, ECU, accelerator pedal, MAF, throttle body, fuel rails and injectors, coils, oil pan, valve covers, the flexplate bolts. Bag and label everything. Avoid 706 heads (cracks)",,,
BR03,01,"01 Buy and retrieve - the engine, the transmission and the parts","Buy the CD009 - a 2005+ unit with a readable tag, its shifter and ideally the clutch fork, slave and hard line",camden,open,J4 DS11,GL-4 fluid only (OP10). Not before the tunnel is measured (J4) and the design frozen,,,
BR04,01,"01 Buy and retrieve - the engine, the transmission and the parts","Buy the adapter kit and clutch - Sikky LS to CD00x plus ARP flywheel bolts, and a 350Z clutch and pressure plate",camden,open,BR03,OP20,,,
BR05,01,"01 Buy and retrieve - the engine, the transmission and the parts","Buy the rebuild parts from the breakdown's findings: gasket and seal set, AFM delete kit (LH6 / LC9), timing set, oil pump, water pump, thermostat, knock sensors, plugs, head bolts if the heads come off",camden,open,BD08,The list is written at BD08 from what the engine actually needs,,,
BR06,01,"01 Buy and retrieve - the engine, the transmission and the parts","Buy the car-prep parts on the frozen design: mounts, oil pan, headers, radiator and fan, fuel pump and lines, pedal parts, driveshaft, axle",camden,open,DS11,Each from its design row DS01-DS09,,,
BD01,02,"02 Breakdown - engine and transmission on stands: strip, inspect, measure","Engine on the stand: record the VIN code, casting numbers of the block and heads, and the odometer; compression test if the yard did not allow one",camden,open,BR02,,,,
BD02,02,"02 Breakdown - engine and transmission on stands: strip, inspect, measure","Drain every fluid and look at it: oil (milky means coolant, glitter means metal), coolant (oil in it), and cut the oil filter open",camden,open,BD01,,,,
BD03,02,"02 Breakdown - engine and transmission on stands: strip, inspect, measure","Strip the accessories, harness, intake, coils, injectors and rails - photograph, bag and label every part and bolt",camden,open,BD02,Keep the donor harness intact - it is the reference for the new leg's pin letters (K4),,,
BD04,02,"02 Breakdown - engine and transmission on stands: strip, inspect, measure","Heads off (needed for the AFM delete on an LH6 / LC9): inspect the cylinder walls, measure the bores, check the lifters and cam lobes, check the heads for cracks",camden,open,BD03,On an L33 the heads may stay on if compression and leak-down were good - decided at BD08,,,
BD05,02,"02 Breakdown - engine and transmission on stands: strip, inspect, measure","Oil pan off: inspect the pickup, one main and one rod bearing, the timing chain and oil pump",camden,open,BD03,,,,
BD06,02,"02 Breakdown - engine and transmission on stands: strip, inspect, measure","The CD009 on its stand: tag, fluid, shift feel through every gear, input shaft play, and remove the Nissan flywheel and clutch",camden,open,BR03,,,,
BD07,02,"02 Breakdown - engine and transmission on stands: strip, inspect, measure","Rebuild scope from the findings - what is replaced, what is kept, and the parts list for BR05",agent,open,BD04 BD05,"Measurements beat the plan (R11): worn bores or bad bearings turn a reseal into a rebuild, which is Camden's call",,,
BD08,02,"02 Breakdown - engine and transmission on stands: strip, inspect, measure",Rule the rebuild scope,camden,open,BD07,"Reseal only, reseal plus AFM delete, or a full rebuild",,,
PO01,03,"03 Polish - degrease, derust, surface prep","Degrease the block, heads, intake, covers and brackets - a parts washer or hot tank; every opening plugged or taped first",camden,open,BD08,,,,
PO02,03,"03 Polish - degrease, derust, surface prep","Derust the steel parts - brackets, the oil pan if steel, bolts, the flexplate-side hardware: wire wheel, media blast or electrolysis",camden,open,PO01,,,,
PO03,03,"03 Polish - degrease, derust, surface prep","Surface prep for paint: scuff, clean, and mask every machined face, gasket surface, bore, thread and sensor port",camden,open,PO02,Nothing that seals or measures gets paint,,,
PO04,03,"03 Polish - degrease, derust, surface prep",Clean the CD009 case and the adapter parts,camden,open,BD06,,,,
PA01,04,"04 Paint - engine, brackets and the parts that show","Choose the colours - block, heads, valve covers, brackets and the engine bay (they are seen together)",camden,open,,Taste: his call alone,,,
PA02,04,"04 Paint - engine, brackets and the parts that show","Prime and paint the block and heads with a high-temperature engine enamel, then the valve covers, brackets and pan; let it cure fully",camden,open,PO03 PA01,,,,
PA03,04,"04 Paint - engine, brackets and the parts that show",Paint or powder-coat the small parts and hardware,camden,open,PO03 PA01,,,,
RB01,05,"05 Rebuild - reseal, AFM delete, service parts, assemble, prime","AFM delete (LH6 / LC9): non-AFM lifters and trays, valley cover, cam; AFM switched off in the tune later",camden,open,PA02 BR05,Skipped on an L33 or LM4 (no AFM),,,
RB02,05,"05 Rebuild - reseal, AFM delete, service parts, assemble, prime","Timing set, oil pump and front cover seal; degree the cam if it was changed",camden,open,RB01,,,,
RB03,05,"05 Rebuild - reseal, AFM delete, service parts, assemble, prime","Heads back on with new gaskets and new head bolts (the factory bolts are torque-to-yield, single-use)",camden,open,RB02,,,,
RB04,05,"05 Rebuild - reseal, AFM delete, service parts, assemble, prime","Rear main seal, oil pan with its pickup and O-ring (the FB-clearance pan from DS02), windage tray",camden,open,RB03,,,,
RB05,05,"05 Rebuild - reseal, AFM delete, service parts, assemble, prime","Water pump, thermostat, knock sensors, plugs; injectors cleaned and flow-tested; coils checked",camden,open,RB04,,,,
RB06,05,"05 Rebuild - reseal, AFM delete, service parts, assemble, prime","Intake and valve-cover gaskets, PCV routing, sensors refitted",camden,open,RB05,,,,
RB07,05,"05 Rebuild - reseal, AFM delete, service parts, assemble, prime","Adapter plate, Sikky flywheel on ARP bolts at spec, clutch and pilot; mate the CD009 and fill it with GL-4",camden,open,RB06 BR04 PO04,,,,
RB08,05,"05 Rebuild - reseal, AFM delete, service parts, assemble, prime",Pre-lube the oil system on the stand and turn the engine over by hand,camden,open,RB07,,,,
CP01,06,"06 Car prep - the 12A out, the bay and tunnel, mounts, fuel, cooling, exhaust, axle, pedals, the new leg","The 12A, its automatic, the Weber and the exhaust come out - photographed, then boxed or sold",camden,open,DS11,The 12A's engine leg is cut at the firewall grommet here (D-211),,,
CP02,06,"06 Car prep - the 12A out, the bay and tunnel, mounts, fuel, cooling, exhaust, axle, pedals, the new leg","The bay: strip brackets nothing needs, clean, derust, seam-seal and paint - as clean a bay as D-325 wants",camden,open,CP01 PA01,,,,
CP03,06,"06 Car prep - the 12A out, the bay and tunnel, mounts, fuel, cooling, exhaust, axle, pedals, the new leg",Tunnel work and the shifter opening for the CD009,camden,open,CP01 J4,,,,
CP04,06,"06 Car prep - the 12A out, the bay and tunnel, mounts, fuel, cooling, exhaust, axle, pedals, the new leg",Fabricate and fit the mounts and crossmember; trial-fit the engine and transmission,camden,open,CP02 CP03 BR06,,,,
CP05,06,"06 Car prep - the 12A out, the bay and tunnel, mounts, fuel, cooling, exhaust, axle, pedals, the new leg","Manual pedal box, clutch master and line",camden,open,CP01 BR06,,,,
CP06,06,"06 Car prep - the 12A out, the bay and tunnel, mounts, fuel, cooling, exhaust, axle, pedals, the new leg","Fuel system: in-tank pump, lines, filter-regulator; the O5 soft fuse re-set from the pump",camden,open,CP01 BR06,HO12,,,
CP07,06,"06 Car prep - the 12A out, the bay and tunnel, mounts, fuel, cooling, exhaust, axle, pedals, the new leg","Cooling: radiator, fan, hoses, overflow",camden,open,CP04,,,,
CP08,06,"06 Car prep - the 12A out, the bay and tunnel, mounts, fuel, cooling, exhaust, axle, pedals, the new leg",Rear axle and driveshaft,camden,open,CP04 BR06,D-113,,,
CP09,06,"06 Car prep - the 12A out, the bay and tunnel, mounts, fuel, cooling, exhaust, axle, pedals, the new leg",Build the new engine leg on the cavity plan (K3) and fit the ECU and pedal at the dash,camden,open,K3 BR06,,,,
CP10,06,"06 Car prep - the 12A out, the bay and tunnel, mounts, fuel, cooling, exhaust, axle, pedals, the new leg",Front springs and ride height for the new weight,camden,open,CP04 BR06,DS09,,,
IN01,07,"07 Install - in the car, connected, fluids, first start","Engine and transmission into the car, mounts torqued, driveshaft in",camden,open,RB08 CP04 CP08,,,,
IN02,07,"07 Install - in the car, connected, fluids, first start","Plumbing: fuel, cooling, exhaust and headers, A/C lines, clutch hydraulics",camden,open,IN01 CP05 CP06 CP07,,,,
IN03,07,"07 Install - in the car, connected, fluids, first start","Electrical: plug in the new leg, grounds (block strap B6, cranking return B7), battery cable to the starter, K9",camden,open,IN01 CP09,,,,
IN04,07,"07 Install - in the car, connected, fluids, first start","Fluids: oil, coolant with the steam ports bled, clutch fluid; check the CD009's level",camden,open,IN02,,,,
IN05,07,"07 Install - in the car, connected, fluids, first start","Before the first start: oil pressure on the pre-lube, fuel pressure with no leaks, crank and cam signals seen by the ECU, a base map loaded",camden,open,IN03 IN04,,,,
IN06,07,"07 Install - in the car, connected, fluids, first start","First start and first run: watch oil pressure, leaks, temperature and charging",camden,open,IN05,,,,
TU01,08,"08 Fine-tune - the tune, the shakedown, emissions, the record","Base tune: idle, fuelling on the wideband, timing, AFM off, VVT set or locked",camden,open,IN06,,,,
TU02,08,"08 Fine-tune - the tune, the shakedown, emissions, the record","CAN integration: the ECU's frames at 0x500+ to the ICU (tach, coolant, road speed), the PMU's rpm terms (D-183), the soft-fuse limits for O12, O13 and O14 from measured currents",agent,open,IN06,"Handover HO03, HO05, HO06, HO15",,,
TU03,08,"08 Fine-tune - the tune, the shakedown, emissions, the record",Road test with logging: a hot-day cooling check and a charging check with every comfort load on (H-001),camden,open,TU01,,,,
TU04,08,"08 Fine-tune - the tune, the shakedown, emissions, the record",A professional or dyno tune,camden,open,TU03,,,,
TU05,08,"08 Fine-tune - the tune, the shakedown, emissions, the record",Alignment and corner balance,camden,open,TU03,,,,
TU06,08,"08 Fine-tune - the tune, the shakedown, emissions, the record","Emissions test and registration, per K2",camden,open,TU04,,,,
TU07,08,"08 Fine-tune - the tune, the shakedown, emissions, the record",The as-built into 00-CAR and the swap's process to the archive (CLAUDE.md 6.6),agent,open,TU06 TU05,,,,
