id,block,block_title,item,owner,state,gate,note
A11,A,"Done by the agent alone, 2026-09-07",The ICU handed to the electrical build,agent,done,,"(D-313, 2026-09-07c) — its features, sensor rows, parts, work items, carrier template and six questions moved with their numbers; `S1` stays as the prerequisite that project delivers; `Q-301` closed as moot and `Q-302` on the F16 backlight feed."
A10,A,"Done by the agent alone, 2026-09-07",The tool learned the new names,agent,done,,"— `DP-ICU-A`, `DP-ICU-B`, `L3-BLW`, `L4-S2` now cross-link in `VIEW.html` and pass the electrical cavity check."
B1,B,"Still agent-side, gated on something other than the owner",F-012 / F-013,agent,open,,"— bump `can_map.h` and re-run the suites. Needs a machine with g++ (w64devkit); this one has neither g++ nor arduino-cli, so the change is specified, not made."
B2,B,"Still agent-side, gated on something other than the owner",F-007 / F-010,agent,open,,— SD persistence and config-as-data. Needs a microSD card (LP04) in a board.
B3,B,"Still agent-side, gated on something other than the owner",H-002 carrier layout,agent,open,,— everything is specified; the layout waits on `V-083` and `Q-305` below (H-001 is the electrical build's).
B4,B,"Still agent-side, gated on something other than the owner",Z-002 radar design,agent,open,,— after `V-061`.
C1,C,The owner's calls,"§1 below, easiest first. Answer one by writing under it or saying it in a session.",camden,open,,
B5,X,,Tach capture against tach_simulator,agent,done,,*(agent)* ±3 % 500–8000 rpm; zero reads 0
B6,X,,SD card — config-as-data with a safe-mode path,agent,open,,*(agent)* — gate: microSD (LP04) F-010; a corrupt file must still boot
B7,X,,Datalogging skeleton and power-loss test,agent,open,,*(agent)* — gate: microSD (LP04)
B8,X,,"Two boards on a real bus, PMU simulator live",agent,open,,"*(agent)* — gate: 120 Ω ×4, headers soldered the spare Teensy is the PMU until V-065"
F-001,X,,DCU firmware skeleton — dcu.ino + climate.h,agent,done,,33 assertions
F-003,X,,Sensor conditioning schematic — the ICU's inputs,agent,dropped,,electrical build — data/icu_channels.csv → ICU-CARRIER.md (D-259); the observer values of D-310 are archived
F-004,X,,Tach front end for a trailing-coil primary,agent,dropped,,electrical build — channel IC04
F-005,X,,Cluster page framework,agent,done,,
F-006,X,,Diagnostics page,agent,done,,against the PMU simulator; real numbers after V-065
F-007,X,,"Odometer and stats persistence — Teensy EEPROM emulation (wear-levelled, every 0.1 mi) as the authoritative odometer copy + microSD as the log, write on key-off",agent,open,B6,"write frequency per D-162; a CUTOVER GATE for the electrical build's display (electrical D-268, D-269) — the odometer must survive a power cycle, card present or not, before MG22"
F-008,X,,BT817 driver,agent,done,V-084 timings,35 assertions; the three pushDirtyTiles() calls are finished against the BT817 eval board at the electrical build's install §1.22 (D-314)
F-009,X,,Reconcile can_map.h 0x100–0x130 against the PMU's real export,agent,blocked,V-065,electrical install §5.5
F-010,X,,Config-as-data,agent,open,B6,
F-011,X,,Full 1280 × 480 render,agent,done,,2026-08-31
F-012,X,,"Bump can_map.h for the 2026-09-07 map: add icu_body_t 0x218 (fuel_pct u16, fuel_valid u8, rsv[4], counter); pmu_outputs_t fuel_pct → _rsv[2]; dcu_climate_t blower → duty %, _rsv[0] → outside_c; ID_ICU_BODY 0x218, TMO_ICU_BODY 3000; SENS_FUEL bit 5; copy to the three test-sketch folders; bump ICU_FW_VERSION and DCU_FW_VERSION; run tests/run.bat",agent,open,a machine with g++ (w64devkit) — not this one,the data is ahead of the header until this lands; the BRING-UP drift table shows exactly what differs
F-013,X,,pmu_sim: consume the regenerated channels.h and re-run the suite,agent,open,F-012's machine,channels.h is now rendered by this project's build from the electrical pin table (D-311)
F-014,X,,"Per-signal source arbitration — local input when its channel is configured, else the ECU's CAN frame (0x500+), else dashes (D-153); the source is named in the config file, not the code",agent,open,F-010,"electrical D-262 — at the engine swap most engine signals move to the ECU's frames and the ICU's own inputs go quiet by file, not by board"
F-015,X,,"icu_batt_t 0x220 + the UART bridge protocol from the ESP32-C3 (line-based text, 2 Hz, checksum) + the decoder on the C3 for whichever source Q-128 picks",agent,open,electrical Q-128 (source); a machine with g++ for the header,"electrical D-267; the C3's own firmware is a small separate sketch in firmware/icu_radio/ — the BMS / shunt decoder, nothing else"
H-001,X,,ICU carrier layout,agent,dropped,,"electrical build — install §1.20; its questions were ruled there (D-265), V-082 is checked at layout, Q-126 is the last in front of it"
H-002,X,,DCU carrier layout,agent,open,"V-083, Q-305","blower PWM output, ambient input, optional mirror bridges"
H-006,X,,"Display bezel mould — foam plug over the binnacle plate, fibreglass skin, finish",agent,open,M-1 aperture measurements; electrical Q-130,FT34; the plate and the display are the electrical build's (D-268)
X-006,X,,Failure-mode table,agent,done,,DESIGN §9
X-007,X,,"Archived render of the agreed cluster — icu_sim/sim.exe, +, screenshot",agent,open,Camden,
Z-002,X,,Radar subsystem,agent,open,V-061,
Z-004,X,,"Cold-weather behaviour — battery heater draw, winter parasitic budget",agent,open,electrical V-052,
X-003,X,,Troubleshooting guide,agent,dropped,,electrical build's install plan
X-004,X,,Commissioning test card,agent,dropped,,electrical build's install plan
H-003,X,,Panel 1:1 drawing,agent,done,,no plate — electrical D-214
H-004,X,,Sill plate drawing,agent,dropped,,electrical build
H-005,X,,Dash post bracket layout,agent,dropped,,electrical build
Z-001,X,,LS swap electrical plan,agent,dropped,,engine-swap project
Z-003,X,,Mirror control protocol,agent,done,,D-305 + electrical D-255
