id,kind,ref,feature,role,expect,note
PV57,cavity,D1 7,FT23,"mirror heat — RESERVED at the sill: pinned on the node side, the door harness is this project's (electrical D-274)",RESERVED,
PV58,cavity,D2 7,FT23,"mirror heat — RESERVED at the sill: pinned on the node side, the door harness is this project's (electrical D-274)",RESERVED,
PV59,cavity,L4-S2 1,FT23,"mirror-adjust command, dash post → sill node",CAPPED,electrical D-255
PV60,cavity,L4-S2 2,FT23,"mirror-adjust command, dash post → sill node",CAPPED,electrical D-255
PV61,cavity,L4-S2 3,FT23,"mirror-adjust command, dash post → sill node",CAPPED,electrical D-255
PV62,cavity,L4-S2 4,FT23,"mirror-adjust command, dash post → sill node",CAPPED,electrical D-255
PV63,cavity,L4-S2 5,FT23,"mirror-adjust command, dash post → sill node",CAPPED,electrical D-255
PV64,housing,L4-S2,FT23,DT-8 — the mirror-command housing,,
PV65,cavity,L3-S2 3,FT24,window command from the console switches — ends in the L3-WIN receptacle (electrical D-274),CAPPED,
PV66,cavity,L3-S2 4,FT24,window command from the console switches — ends in the L3-WIN receptacle (electrical D-274),CAPPED,
PV67,cavity,L3-S2 5,FT24,window command from the console switches — ends in the L3-WIN receptacle (electrical D-274),CAPPED,
PV68,cavity,L3-S2 6,FT24,window command from the console switches — ends in the L3-WIN receptacle (electrical D-274),CAPPED,
PV69,cavity,L4-M 9,FT24,"window command → K5–K8 coil sockets at the sill, landed in the empty socket (electrical D-274)",CAPPED,
PV70,cavity,L4-M 10,FT24,"window command → K5–K8 coil sockets at the sill, landed in the empty socket (electrical D-274)",CAPPED,
PV71,cavity,L4-M 11,FT24,"window command → K5–K8 coil sockets at the sill, landed in the empty socket (electrical D-274)",CAPPED,
PV72,cavity,L4-M 12,FT24,"window command → K5–K8 coil sockets at the sill, landed in the empty socket (electrical D-274)",CAPPED,
PV73,cavity,L4-P 3,FT24,window motor bus feed (O1) → K5–K8 commons,CAPPED,
PV74,cavity,D1 1,FT24,"window motor leg — RESERVED at the sill: pinned on the node side, the door harness is this project's (electrical D-274)",RESERVED,
PV75,cavity,D1 2,FT24,"window motor leg — RESERVED at the sill: pinned on the node side, the door harness is this project's (electrical D-274)",RESERVED,
PV76,cavity,D2 1,FT24,"window motor leg — RESERVED at the sill: pinned on the node side, the door harness is this project's (electrical D-274)",RESERVED,
PV77,cavity,D2 2,FT24,"window motor leg — RESERVED at the sill: pinned on the node side, the door harness is this project's (electrical D-274)",RESERVED,
PV78,relay,K5,FT24,"window relay socket at the sill, fitted empty",,
PV79,relay,K6,FT24,"window relay socket at the sill, fitted empty",,
PV80,relay,K7,FT24,"window relay socket at the sill, fitted empty",,
PV81,relay,K8,FT24,"window relay socket at the sill, fitted empty",,
PV82,fuse,F8,FT24,window branch fuse position at the sill,,
PV83,fuse,F9,FT24,window branch fuse position at the sill,,
PV84,cavity,L3-S3 1,FT28,dash ↔ hatch pass-through — ends in the L3-RDR receptacle (electrical D-274),CAPPED,
PV85,cavity,L3-S3 2,FT28,dash ↔ hatch pass-through — ends in the L3-RDR receptacle (electrical D-274),CAPPED,
PV86,cavity,L3-S3 3,FT28,dash ↔ hatch pass-through — ends in the L3-RDR receptacle (electrical D-274),CAPPED,
PV87,cavity,L4-S 5,FT28,dash ↔ hatch pass-through — ends in the L4-RDR receptacle (electrical D-274),CAPPED,
PV88,cavity,L4-S 6,FT28,dash ↔ hatch pass-through — ends in the L4-RDR receptacle (electrical D-274),CAPPED,
PV89,cavity,L4-S 7,FT28,dash ↔ hatch pass-through — ends in the L4-RDR receptacle (electrical D-274),CAPPED,
PV90,cavity,L3-S2 7,FT32,future module +12 V switched — ends in the L3-MOD receptacle (electrical D-274),CAPPED,
PV91,cavity,L3-S2 8,FT32,future module ground — ends in the L3-MOD receptacle (electrical D-274),CAPPED,
PV92,cavity,L3-M 1,FT29,head unit ACC + USB-C,LIVE,
PV93,cavity,L3-M 2,FT29,head unit memory constant (F1),LIVE,
PV94,cavity,L3-S1 8,FT29,illumination bus — the head unit's dimmer wire,LIVE,
PV95,cavity,L3-S2 11,FT30,parking-brake switch → the brake-warning node,LIVE,
PV96,pin,CAN2H,FT31,"the vehicle bus, 500 kbps — software termination at the PMU, 120 Ω at the engine-bay drop; the DCU and the panel are its next nodes",LIVE,
PV97,pin,CAN2L,FT31,the vehicle bus,LIVE,
PV98,cavity,L2-NZL 1,FT21,Heated-nozzle / de-icer feed — the branch-end receptacle this project plugs into (electrical D-274),CAPPED,
PV99,cavity,L2-OAT 1,FT15,Outside-air thermistor — signal — the branch-end receptacle this project plugs into (electrical D-274),CAPPED,
PV100,cavity,L3-CMF 1,FT31,O15 comfort bus — the branch-end receptacle this project plugs into (electrical D-274),CAPPED,
PV101,cavity,L3-WIN 1,FT24,Window DRV up command — the branch-end receptacle this project plugs into (electrical D-274),CAPPED,
PV102,cavity,L3-WIN 2,FT24,Window DRV down command — the branch-end receptacle this project plugs into (electrical D-274),CAPPED,
PV103,cavity,L3-WIN 3,FT24,Window PASS up command — the branch-end receptacle this project plugs into (electrical D-274),CAPPED,
PV104,cavity,L3-WIN 4,FT24,Window PASS down command — the branch-end receptacle this project plugs into (electrical D-274),CAPPED,
PV105,cavity,L3-WIN 5,FT24,Window switches — common feed +12 V — the branch-end receptacle this project plugs into (electrical D-274),CAPPED,
PV106,cavity,L3-MOD 1,FT32,Future module +12 V switched — the branch-end receptacle this project plugs into (electrical D-274),CAPPED,
PV107,cavity,L3-MOD 2,FT32,Future module ground — the branch-end receptacle this project plugs into (electrical D-274),CAPPED,
PV108,cavity,L3-RDR 1,FT28,Radar pass-through A — the branch-end receptacle this project plugs into (electrical D-274),CAPPED,
PV109,cavity,L3-RDR 2,FT28,Radar pass-through B — the branch-end receptacle this project plugs into (electrical D-274),CAPPED,
PV110,cavity,L3-RDR 3,FT28,Radar pass-through C — the branch-end receptacle this project plugs into (electrical D-274),CAPPED,
PV111,cavity,L4-RDR 1,FT28,Radar pass-through A — the branch-end receptacle this project plugs into (electrical D-274),CAPPED,
PV112,cavity,L4-RDR 2,FT28,Radar pass-through B — the branch-end receptacle this project plugs into (electrical D-274),CAPPED,
PV113,cavity,L4-RDR 3,FT28,Radar pass-through C — the branch-end receptacle this project plugs into (electrical D-274),CAPPED,
