id,stage,stage_title,item,owner,state,gate,note,reply,choices,unit,result,settles
P07,P1,"Audit plan, phase 1","rx7.py apply [-p AREA]: mechanical application of wordless work, drive and choice answers, with a settles column; Claude only for blocks, picks and words",agent,done,P06,"D-405 carrying D-399: scripts do everything with one right answer, Claude is called only for judgement. Today four ""not fitted"" ticks need a full run.",,,,,
P08,P1,"Audit plan, phase 1",Auto-apply: add to tried only when the run ends done; retry with backoff on failure; a persistent failure line; one run for all areas with fresh answers,agent,done,P07,"autoapply.svelte.ts marked A1-A4 tried before the 19:20 run, which failed on the session limit; they waited two hours with no retry and no message.",,,,,
P09,P1,"Audit plan, phase 1","The run prompt carries the facts the app holds: inbox ids, his words, the target rows, the allowed command forms; the shell pulls before spawning",agent,done,P08,"Every short run spent 3-5 turns on git pull, status, inbox and get, and lost its first turn to echo rc=$? (the harness refuses $?, $VAR, cd &&).",,,,,
P10,P1,"Audit plan, phase 1",git.rs: one mutex around every git call; never rebase a dirty tree (fetch and report); abort a failed rebase; one push per quiet period,agent,done,P09,"Four answers in five seconds spawned four commit threads and four pull-and-push threads with nothing serialising them. Done 2026-09-26: one mutex around every git call, never rebase a dirty tree, abort a failed rebase. Not done: one commit per quiet period - each answer still commits on its own (D-401's 'Camden answered X' history); batching is a taste call for later.",,,,,
P11,P1,"Audit plan, phase 1","CI: concurrency with cancel-in-progress, sparse checkout of tools and every */data and 99-ARCHIVE, timeout-minutes 5, permissions contents read, Python 3.14, drop the pull_request trigger",agent,done,P10,Each push checks out 279 MB (240 MB of PDFs) for a 1 s verdict that needs 15 MB; 78 pushes in three days.,,,,,
P12,P1,"Audit plan, phase 1","Pre-commit checks the index, not the working tree; delete the --no-verify advice from its text",agent,done,P11,Three invalid commits reached master on 2026-09-25 (ead4560 says why).,,,,,
P13,P1,"Audit plan, phase 1","Chat mode: accept python and python3 in READ_TOOLS, add export/cites/selftest, --no-session-persistence for Explain, send the block text once, cache Explain output per block",agent,done,P12,"CLAUDE.md types python; READ_TOOLS allowed only python3. Done 2026-09-26: both spellings, export --out/cites/selftest added, persist option plumbed to claude.rs. Left for P41: cache Explain output per block and stop sending the block text twice.",,,,,
P14,P2,"Audit plan, phase 2","rx7.py: bounded, cached areas() - the two globs CLAUDE.md defines instead of an rglob over the whole tree",agent,done,P13,"areas() walks 46k directory entries (the 18 GB build dir included), 6x per check and 38x per export; the bounded glob returns the same 8 areas in 0.17 ms.",,,,,
P15,P2,"Audit plan, phase 2","rx7.py: one memoised CSV loader shared by check, status, export and tree_index; check -p checks one area",agent,done,P14,Every CSV is read 3-17 times per command; decisions.csv 17x per export.,,,,,
P16,P2,"Audit plan, phase 2",rx7.py: delete next from export and from the app Snapshot type,agent,done,P15,8 next_block_id derivations (about 2 s) per export for a key nothing reads.,,,,,
P17,P2,"Audit plan, phase 2","rx7.py: write-time validation in set and add (types, enums, required, refs, identical messages, rc 1, nothing written); del refuses an unclosed block or an inbox row whose words are saved nowhere",agent,done,P16,set/add validate column names only; a bad value costs a full extra round trip and can sit in the tree for a run.,,,,,
P18,P2,"Audit plan, phase 2","rx7.py answer never overwrites: refuse an existing, different answer file unless --replace, and carry the earlier choice, text and at into context; the phone path the same; selftest it",agent,done,P17,A second answer to the same target from the same device replaces the file (R3: the worst failure).,,,,,
P19,P2,"Audit plan, phase 2","rx7.py: named refusals instead of crashes - decode and csv errors rc 1 with file and line, csv strict, iterative gate_cycles, newline="""" on read and write, fsync on inbox writes, temp files outside inbox/",agent,done,P18,"One non-UTF-8 byte makes check/status/export/inbox exit 3 and the hook then commits; a 1,200-row gate chain overflows the recursive walk.",,,,,
P20,P2,"Audit plan, phase 2","rx7.py check: the three meta tables, closes and superseded_by tokens, recommend naming an option, folder-table cell counts, refs to non-key columns, inherited decisions with no owner row; natural sort for READY",agent,done,P19,A duplicate phase key in _project.csv silently flips an area; a typo in closes closes a phantom id and opens every gate on it; A10 sorts before A2.,,,,,
P21,P2,"Audit plan, phase 2",rx7.py: fixed prefix VER for 00-verify; blocks_closed scoped by the closing decision area for ids issued after 2026-09-25,agent,done,P20,"00-verify would otherwise issue 00.34, electrical old prefix; a gate on 00.04 in verify is met by an electrical decision.",,,,,
P22,P2,"Audit plan, phase 2","rx7.py agent-shaped outputs: status -p and a brief default, find snippets --word --limit, get column picks and - for the area of a D- id, sql --all, cites grouped and resolving the archive, export requiring --out or --stdout, log with several refs, body=- from stdin, quiet selftest",agent,done,P21,status prints 8.9 KB of which 6 KB the agent never acts on; export with no --out pours 3.9 MB into a context; 126 dangling cites all resolve in the archive.,,,,,
P23,P2,"Audit plan, phase 2","rx7.py selftest: a fixture tree asserting one refusal per class of check, next ids over closes+retired+archive, tree_index rules, work_view order, manual_view, the reader newline and encoding behaviour",agent,done,P22,"75 expectations pass but the checker itself, the index builder and the id deriver have no test (R7).",,,,,
P24,P3,"Audit plan, phase 3","CLAUDE.md core of about 3,400 tokens; playbooks and the Manual/two-track rules behind rx7.py playbook and rx7.py doc; names replace section numbers in the app and rx7.py",agent,open,P23,10.8k tokens on every turn of every session and run; a run needs one playbook of eight.,,,,,
P25,P3,"Audit plan, phase 3","Rewrite section 7 as batching; add the harness rules (no $?, $VAR, cd; if the pull is refused by changes that are not yours, leave them, never autostash)",agent,open,P24,Each extra call re-reads the whole context; short runs lost turns to $? and dirty-tree pulls.,,,,,
P26,P3,"Audit plan, phase 3","Keep the memory directory current (token profile, Camden profile, the audit pointer seeded 2026-09-26)",agent,open,P25,Nothing was carried between sessions before.,,,,,
P27,P3,"Audit plan, phase 3","Delete the rx7-system-v2 skill from your claude.ai account (Settings, skills)",camden,open,P26,"It names Windows paths, ANSWERS.md and /rx7-* skills that no longer exist and is listed in every session. Only the account owner can remove it.",,,,,
P28,P3,"Audit plan, phase 3","One housekeeping decision superseding D-026, D-141, D-194, D-202, D-222, D-275, D-276 by their successors; restore or point the ten blanked bodies; check warns above 2,000 chars of body",agent,open,P27,Seven standing decisions are contradicted by later standing ones without supersession.,,,,,
P29,P4,"Audit plan, phase 4",Collapse the verify list: VIN serial and trim colour value rows settle 88 rows; drop or defer the 80 W rows; gate stage I and the dash rows; one row per part,agent,open,P28,Waits on his ruling whether a fits=yes catalogue row on an unmodified system counts as backed (about 200 taps).,,,,,
P30,P4,"Audit plan, phase 4",Verify rows answerable from the screen: PT ids link to a one-line part card; S- and block ids link like D-###,agent,open,P29,The largest queue in the record shows no description of the part it asks about.,,,,,
P31,P4,"Audit plan, phase 4","Answer in one tap: up to four choices as segmented buttons that save on tap, auto-advance, same-as-last, 44 px targets, one coalesced toast",agent,open,P30,160 choice rows cost 3-4 taps and a native select each.,,,,,
P32,P4,"Audit plan, phase 4","Save without waiting: overlay the answer locally, clear the draft at once, refresh in the background; a cached desktop snapshot",agent,open,P31,Each save blocks the row for a full export (about 5 s); 290 rows is 21 minutes of spinner.,,,,,
P33,P4,"Audit plan, phase 4","Do C01, C06, C07 before re-raising 04.02, 04.06, 04.07 with the findings in why; fold 04.04 into 04.01; decide-later options become gated rows; drop verify I15",agent,open,P32,Three beauty blocks ask him to weigh lists the agent has not produced; I15 repeats CAR.03.,,,,,
P34,P4,"Audit plan, phase 4","A budgeted plan-everything-ready run for the READY agent rows nothing triggers (verify 16, engine 12, beauty 3, luxury 1)",agent,open,P33,Design work waits on a button press per project. The budget is his: block.,,,,,
P35,P4,"Audit plan, phase 4",Raise the schedule block: under D-323 and D-387 the interior is out for the whole procurement and PCB lead time,agent,open,P34,Nothing shows him this; S1 own note assumes the opposite.,,,,,
P36,P5,"Audit plan, phase 5","Drafts before the screen, merging drafts, Withdraw keeps the words, list Done reads the focus-page draft",agent,open,P35,Typing on the phone during the first sync overwrites every stored draft; Withdraw is one un-confirmed tap.,,,,,
P37,P5,"Audit plan, phase 5","Split the phone store (answers atomic, cache separate); refuse to start on an unparsable answers file; area name in the outbox",agent,open,P36,"One JSON store rewritten whole and non-atomically on every keystroke holds the outbox, token, cache and snapshot.",,,,,
P38,P5,"Audit plan, phase 5",One export per sync; skip when HEAD and data mtimes are unchanged; lazy Pyodide; the phone polls the head sha,agent,open,P37,Every sync exports twice; Pyodide compiles at every launch.,,,,,
P39,P5,"Audit plan, phase 5","Where the phone reads from: CI-published export.json, or Pyodide as designed",agent,open,P38,His ruling: block.,,,,,
P40,P5,"Audit plan, phase 5","Terminals in the Manual source-tagged, or stop researching them; held parts get a page; search lands on Manual pages",agent,open,P39,426 researched terminals are a counter in the app; his ruling on showing them: block.,,,,,
P41,P5,"Audit plan, phase 5","Diagrams show the legs and boards; part pages show photo, model position and catalogue page; a cross-project waiting-for-you page; run queue and cost visible; invalid-record banner",agent,open,P40,Ideas I-017..I-028 and D-406 asked for these.,,,,,
P42,P5,"Audit plan, phase 5","Ship-shape: CSP on, signed release APK, allowBackup false, Pyodide only in the Android build, fixture out of public/, git allowlist narrowed to the eight verbs",agent,open,P41,"csp null, a 200 MB debug APK, 13 MB Pyodide in the desktop RPM, Bash(git:*).",,,,,
P43,P5,"Audit plan, phase 5","Tests: autoapply with fake timers, the stream machine, drafts, github.ts, three Rust tests; desktop e2e seeds its own block; app CI",agent,open,P42,"desktop.mjs names block 01.29, which no longer exists; the shell has no tests.",,,,,
P44,P6,"Audit plan, phase 6","Columns for prose facts: parts.qty, also: rows into parts.catalogue, a suppliers table, factory_code filled",agent,open,P43,609 notes say Qty on the car: N.,,,,,
P45,P6,"Audit plan, phase 6","Money that adds up: electrical parts qty and unit_usd numeric and filled; carts, kits, plugs, holders, heavy cable derived; wire footage confirm until M-2; an A0 row that pays the carts",agent,open,P44,Typed kit targets are one 8-way kit and two holders short; 65 lines have no price.,,,,,
P46,P6,"Audit plan, phase 6","Area-qualified ref type in _schema for parts.catalogue, specs.source, circuits.systems, service.items; one source-reference format; a unit enum",agent,open,P45,The most valuable links in the record are prose to check.,,,,,
P47,P6,"Audit plan, phase 6","Terminals: ids as part-label, to split into part and terminal refs, a verified flag instead of 426 identical notes",agent,open,P46,248 of 426 ids break their own pattern.,,,,,
P48,P6,"Audit plan, phase 6","Research that survives: track the batch JSON, idempotent merge, OCR the four image-only scans once, regenerate batches from parts, rerun the five lost wave-2 batches; the confirm-to-check rewrite becomes a decision or stops",agent,open,P47,Five wave-2 batches are already lost; a rerun of the merge would add 426 duplicate terminals. The vocabulary is his: block.,,,,,
P49,P6,"Audit plan, phase 6",rx7.py canmap generates can_map.h and channels.h; diagram legs derived from housings so the six Drop housings get a pin ladder,agent,open,P48,Four hand-synced copies today; 45 live pins on no sheet.,,,,,
P50,P6,"Audit plan, phase 6",Other-car specs out of 00-CAR; vehicle.mileage deleted after Set odo; specs.system and oem_no derived,agent,open,P49,172 other-car specs sit in the car table; two homes for the odometer.,,,,,
P51,P7,"Audit plan, phase 7","The 240 MB of copyrighted manuals in a public repo: private repo, or out of git going forward",agent,open,P50,His ruling: block. History rewrite only on his word.,,,,,
P52,P7,"Audit plan, phase 7","LICENSE or explicit reservation, third-party list, personal emails out of public cells, the token off raw fetches",agent,open,P51,A public repo redistributing OFL/MPL/MIT code with no licence.,,,,,
P53,P7,"Audit plan, phase 7","A second home for the 3.4 GB model library, the research JSON and the signing key",agent,open,P52,Each exists on one disk.,,,,,
P54,P7,"Audit plan, phase 7","Dead weight: cargo clean of debug and android targets, options and superseded sketches to the archive, the schematic SVG out of every revision, the archive README rewritten, font subsets, three.js out of the APK",agent,open,P53,13 GB of rebuildable output; a 6 MB SVG per revision.,,,,,
