id,stage,stage_title,item,owner,state,gate,note,reply,choices,unit,result,settles
B6,B,B In the engine bay,Is the Charcoal canister (PT124) on the car as described?,camden,open,,"What is uncertain: Recall campaign 21605 may apply - confirm whether it was done. Mazda number N201-20-610A; catalogue 1320A-1 EC-033-21. Answering covers 2 held part(s) inside it: PT125, PT163",choice,"yes, as described|not on the car|different part",,,
B7,B,B In the engine bay,Is the Air pump (PT149) on the car as described?,camden,open,,What is uncertain: Confirm it is still fitted: the Weber manifold may have dropped the air injection. Mazda number 1757-13-710B; catalogue 1371A-1 EC-040-12. Answering covers 1 held part(s) inside it: PT151,choice,"yes, as described|not on the car|different part",,,
B8,B,B In the engine bay,Is the Air control valve (PT152) on the car as described?,camden,open,,"What is uncertain: confirm which, and confirm it is still fitted: the Weber manifold may have dropped the air injection. Mazda number N201-13-720 N203-13-720; catalogue 1371A-1 EC-040-05 EC-040-06.",choice,"yes, as described|not on the car|different part",,,
B9,B,B In the engine bay,Is the Shutter valve actuator (diaphragm) (PT155) on the car as described?,camden,open,,What is uncertain: confirm it is still fitted: the Weber manifold may have dropped the air injection. Mazda number 1480-13-130A; catalogue 1380A-1 EC-041-04.,choice,"yes, as described|not on the car|different part",,,
B10,B,B In the engine bay,Is the Three-way solenoid valves (vacuum switching) (PT156) on the car as described?,camden,open,,What is uncertain: confirm fitted and which are still wired. Mazda number 1481-13-240A 1482-13-240A; catalogue 1380A-1 EC-041-11 EC-041-12.,choice,"yes, as described|not on the car|different part",,,
B11,B,B In the engine bay,Is the Emission vacuum pipe assembly (PT157) on the car as described?,camden,open,,What is uncertain: Confirm fitted Mazda number N201-13-650A; catalogue 1380A-1 EC-041-19. Answering covers 1 held part(s) inside it: PT158,choice,"yes, as described|not on the car|different part",,,
B12,B,B In the engine bay,Is the Vacuum actuator (PT159) on the car as described?,camden,open,,What is uncertain: Confirm fitted and what it drives on this car. Mazda number 3648-13-290 8871-13-296B; catalogue 1380A-1 EC-041-17 EC-041-18.,choice,"yes, as described|not on the car|different part",,,
B13,B,B In the engine bay,Is the Anti-afterburn valve (PT160) on the car as described?,camden,open,,What is uncertain: confirm fitted. Mazda number N201-13-750 N201-13-755 N201-13-756; catalogue 1380A-1 EC-041-22 EC-041-24 EC-041-25.,choice,"yes, as described|not on the car|different part",,,
B14,B,B In the engine bay,Is the Vacuum delay valve (PT161) on the car as described?,camden,open,,What is uncertain: Confirm fitted Mazda number N201-13-980A; catalogue 1380A-1 EC-041-28.,choice,"yes, as described|not on the car|different part",,,
B15,B,B In the engine bay,Is the Altitude compensator (PT162) on the car as described?,camden,open,,What is uncertain: it sat on the factory air cleaner - confirm whether it is still fitted. Mazda number N201-20-770A N249-20-770; catalogue 1380A-1 EC-041-29 EC-041-30.,choice,"yes, as described|not on the car|different part",,,
B16,B,B In the engine bay,Is the Accelerator cable (PT166) on the car as described?,camden,open,,What is uncertain: confirm it still works the Weber linkage or was replaced with the kit Mazda number FA01-41-660; catalogue 4160A-1 EC-106-05.,choice,"yes, as described|not on the car|different part",,,
B17,B,B In the engine bay,Is the Water pump baffle plate (PT187) on the car as described?,camden,open,K9,"What is uncertain: confirm: 0118-15-125 up to serial FB331 618134, N201-15-125A from 618135; Mazda number 0118-15-125 N201-15-125A; catalogue 1500A-1 EC-046-24 EC-046-25.",choice,"yes, as described|not on the car|different part",,,
B18,B,B In the engine bay,Is the A/C compressor bracket and strap (factory listing) (PT228) on the car as described?,camden,open,,What is uncertain: confirm: the '82 A/C package lists its own compressor mounting 0000-67-C10A-4A; Mazda number 8562-15-921 8562-15-908; catalogue 1580A-1 EC-049-03 EC-049-02.,choice,"yes, as described|not on the car|different part",,,
B19,B,B In the engine bay,Is the A/C compressor mounting and adjusting arms (PT229) on the car as described?,camden,open,,What is uncertain: Confirm against the factory bracket 8562-15-921 Mazda number 0000-67-C10A-4A 0000-67-C21A-4A 0000-67-C22A-4A 0000-67-C00A-4A; catalogue 6142AB-1 BI-087-02 BI-087-03 BI-087-04 BI-087-01 BI-087-06 BI-087-07 BI-087-08 BI-087-09 BI-087-10 BI-087-11 BI-087-12 BI-087-13 BI-087-14 BI-087-15 BI-087-16 BI-087-17 BI-087-18 BI-087-19.,choice,"yes, as described|not on the car|different part",,,
B20,B,B In the engine bay,Is the A/C receiver-drier (PT240) on the car as described?,camden,open,,What is uncertain: confirm where it is mounted Mazda number 0000-67-0440-53; catalogue 6132AB-1 BI-081-02 BI-081-09 BI-081-10 BI-081-11.,choice,"yes, as described|not on the car|different part",,,
B21,B,B In the engine bay,Is the Resistor on bracket (engine bay) (PT255) on the car as described?,camden,open,,What is uncertain: which circuit it serves is not stated on the figure - confirm on the car Qty on the car: 1. Mazda number 8871-18-195A; catalogue 1800A-1 EC-056-29.,choice,"yes, as described|not on the car|different part",,,
B22,B,B In the engine bay,Is the Distributor pick-up coil set (PT256) on the car as described?,camden,open,,What is uncertain: which is fitted is unknown - confirm Qty on the car: 1. Mazda number 8248-24-314 (alternative N236-24-314); catalogue 1820A-1 EC-057-10 EC-057-11.,choice,"yes, as described|not on the car|different part",,,
B23,B,B In the engine bay,Is the Distributor vacuum units (PT260) on the car as described?,camden,open,,"What is uncertain: With the Weber fitted, whether the vacuum units are still connected is unknown - confirm Qty on the car: 2. Mazda number 1480-24-350 (alternative 1480-24-350A) N201-24-351; catalogue 1820A-1 EC-057-16 EC-057-17 EC-057-18 1800A-1 EC-056-20.",choice,"yes, as described|not on the car|different part",,,
B24,B,B In the engine bay,Is the Distributor contact (PT263) on the car as described?,camden,open,,What is uncertain: confirm on the car. Mazda number 1757-24-302; catalogue 1820A-1 EC-057-22.,choice,"yes, as described|not on the car|different part",,,
B25,B,B In the engine bay,Is the Alternator rectifier (PT268) on the car as described?,camden,open,,What is uncertain: N221-24-510 by its D-code 24 510 - confirm the digit before ordering Qty on the car: 1. Mazda number N221-24-510; catalogue 1830A-1 EC-058-07.,choice,"yes, as described|not on the car|different part",,,
B26,B,B In the engine bay,Is the Coolant level sensor (PT292) on the car as described?,camden,open,,What is uncertain: Parent taken as the radiator (filler neck/top tank) - confirm where it sits Qty on the car: 1. Mazda number 8553-15-610B; catalogue 6600A-1 BI-095-03 BI-095-04.,choice,"yes, as described|not on the car|different part",,,
B27,B,B In the engine bay,Is the Temperature switch (PT294) on the car as described?,camden,open,,What is uncertain: whether it still does anything with the Weber is unknown - confirm Qty on the car: 1. Mazda number 8341-18-880; catalogue 6600A-1 BI-095-09.,choice,"yes, as described|not on the car|different part",,,
B28,B,B In the engine bay,Is the Thermo switch (18 890) (PT295) on the car as described?,camden,open,,What is uncertain: Where each sits and whether still wired with the Weber - confirm Mazda number N201-18-890 ?182-18-970A; catalogue 6600A-1 BI-095-10 BI-095-11.,choice,"yes, as described|not on the car|different part",,,
B29,B,B In the engine bay,Is the Engine harness fusible link (PT322) on the car as described?,camden,open,,What is uncertain: confirm on the car. Mazda number 8341-18-055; catalogue 6701A-1 BI-108-03.,choice,"yes, as described|not on the car|different part",,,
B30,B,B In the engine bay,Is the Short connector (PT324) on the car as described?,camden,open,,What is uncertain: which circuit it bridges - confirm Qty on the car: 1. Mazda number 8342-67-985; catalogue 6701A-1 BI-108-07.,choice,"yes, as described|not on the car|different part",,,
B31,B,B In the engine bay,Is the Steering gear fixing bracket (PT483) on the car as described?,camden,open,,"What is uncertain: Part number partly illegible in the catalogue (FA24-32-?20, likely FA24-32-420) - confirm before ordering Qty on the car: 1. Mazda number FA24-32-?20; catalogue 3210A-1 EC-094-27.",choice,"yes, as described|not on the car|different part",,,
B32,B,B In the engine bay,Is the Air injection check valve (PT544) on the car as described?,camden,open,,"What is uncertain: The Weber conversion may have removed or blocked the factory air injection - confirm what is on the car Qty on the car: 1. Mazda number N201-20-730; catalogue 4000A-1 EC-103-05. Answering covers 2 held part(s) inside it: PT545, PT546",choice,"yes, as described|not on the car|different part",,,
B33,B,B In the engine bay,Is the Pre-air pipe (PT547) on the car as described?,camden,open,,What is uncertain: The Weber conversion may have removed or blocked the factory air injection - confirm what is on the car Qty on the car: 1. Mazda number 1480-40-750; catalogue 4000A-2 EC-104-06.,choice,"yes, as described|not on the car|different part",,,
B34,B,B In the engine bay,Is the Brake booster vacuum hoses and pipes (PT567) on the car as described?,camden,open,,What is uncertain: PT012 records the vacuum lines as renewed - confirm whether any factory hose remains Qty on the car: 4. Mazda number G001-43-640 1480-43-830A 8871-43-836 FA01-43-840; catalogue 4340A-1 EC-110-06 EC-110-09 EC-110-10 EC-110-11.,choice,"yes, as described|not on the car|different part",,,
B35,B,B In the engine bay,"Is the Front splash shields, R and L (PT758) on the car as described?",camden,open,K10,"What is uncertain: fasteners B001-68-032 (colour variants 00 black, 08 white) and rivets (W023-67-056 from FB331 605980-, confirm by VIN serial): fastener B001-68-032 x2 (BI-042-36); Mazda number FA01-56-130 FA01-56-140; catalogue 5310A-1 BI-042-25 BI-042-26.",choice,"yes, as described|not on the car|different part",,,
B36,B,B In the engine bay,Is the Emission control label (PT973) on the car as described?,camden,open,,"What is uncertain: N223-69-036 California '82, N221-69-036 Federal '82 (N233-69-036 California, year not stated) - confirm which. Mazda number N223-69-036 or N221-69-036 or N233-69-036; catalogue 6930A-1 BI-131-12 BI-131-13 BI-131-15.",choice,"yes, as described|not on the car|different part",,,
B37,B,B In the engine bay,Is the Vacuum hose routing label (PT974) on the car as described?,camden,open,,What is uncertain: it may no longer match the car - confirm Qty on the car: 1. Mazda number N221-69-044; catalogue 6930A-1 BI-131-17.,choice,"yes, as described|not on the car|different part",,,
C1,C,C At the front end,Is the Engine oil cooler (PT198) on the car as described?,camden,open,,"What is uncertain: clip 3565-14-662A (oil group, where it holds is not stated - confirm) Mazda number 8871-14-700A; catalogue 1500A-1 EC-046-02 EC-046-01. Answering covers 1 held part(s) inside it: PT199",choice,"yes, as described|not on the car|different part",,,
C2,C,C At the front end,Is the Oscillator unit (PT305) on the car as described?,camden,open,,What is uncertain: function not stated on the figure - confirm Qty on the car: 1. Mazda number FA30-67-690 (alternative FA30-67-690A); catalogue 6630A-1 BI-101-14 BI-101-15.,choice,"yes, as described|not on the car|different part",,,
C3,C,C At the front end,Is the Front harness (PT309) on the car as described?,camden,open,K9,What is uncertain: VIN serial unknown - confirm Qty on the car: 1. Mazda number FA30-67-010D; catalogue 6700A-1 BI-107-22. Answering covers 1 held part(s) inside it: PT311,choice,"yes, as described|not on the car|different part",,,
C4,C,C At the front end,"Is the Headlamp assembly (halogen), R and L (PT589) on the car as described?",camden,open,,What is uncertain: confirm: whether the LED units sit in the factory buckets or replaced them Qty on the car: 2. Mazda number FA02-89-661 (R) FA02-89-666 (L); catalogue 5100A-1 BI-032-03 BI-032-04 BI-032-10 BI-032-06 BI-032-07 BI-032-01. Answering covers 1 held part(s) inside it: PT035,choice,"yes, as described|not on the car|different part",,,
C5,C,C At the front end,Is the Headlamp retractor relay (PT594) on the car as described?,camden,open,,What is uncertain: confirm: where the two relays are mounted Qty on the car: 2. Mazda number 8871-51-939; catalogue 5103A-1 BI-033-29.,choice,"yes, as described|not on the car|different part",,,
D1,D,D At the dash and console,Is the Heater control panel (PT215) on the car as described?,camden,open,K9,"What is uncertain: confirm: FA01-61-190 up to serial FB331 633360 (thru Jan 82), FA01-61-190A from 633361; Mazda number FA01-61-190 FA01-61-190A; catalogue 6100A-1 BI-075-10 BI-075-11; 6115A-1 BI-077-01 BI-077-02 BI-077-05 BI-077-06 BI-077-07 BI-077-09 BI-077-12 BI-077-13 BI-077-14 BI-077-15 BI-077-16 BI-077-17 BI-077-18 BI-077-19 BI-077-20. Answering covers 4 held part(s) inside it: PT216, PT218, PT219, PT220",choice,"yes, as described|not on the car|different part",,,
D2,D,D At the dash and console,Is the Blower fan wheel (PT223) on the car as described?,camden,open,01-electrical:S1 K9,"What is uncertain: read here as the fan wheel on the motor shaft - confirm. held by nut 3794-76-426 and washers 0866-76-475, 0866-76-476, listed up to serial FB331 618727 - confirm Mazda number 8871-76-456; catalogue 6120A-1 BI-078-09 BI-078-22 BI-078-25 BI-078-26.",choice,"yes, as described|not on the car|different part",,,
D3,D,D At the dash and console,Is the Central processing unit (warning and flasher control unit) (PT301) on the car as described?,camden,open,01-electrical:S1,What is uncertain: which the car has - confirm. Mazda number FA03-67-560 FA02-67-560; catalogue 6630A-1 BI-101-04 BI-101-05 BI-101-10 BI-101-08 BI-101-07 BI-101-09 BI-101-16. Answering covers 1 held part(s) inside it: PT303,choice,"yes, as described|not on the car|different part",,,
D4,D,D At the dash and console,Is the Lamp checker relay (PT304) on the car as described?,camden,open,01-electrical:S1,What is uncertain: Listed only for cars without the illuminated key and warning lamp option - confirm it is fitted Qty on the car: 1. Mazda number BE32-67-680A; catalogue 6630A-1 BI-101-13.,choice,"yes, as described|not on the car|different part",,,
D5,D,D At the dash and console,Is the Fuse block cover (PT311) on the car as described?,camden,open,,What is uncertain: read the maker off the block - confirm Qty on the car: 1. Mazda number FA01-66-731B FA01-66-732B; catalogue 6700A-1 BI-107-18 BI-107-19.,choice,"yes, as described|not on the car|different part",,,
D6,D,D At the dash and console,"Is the Steering wheel, 4-spoke (PT469) on the car as described?",camden,open,K10,What is uncertain: a leather wheel 8344-32-980B (00) was a GS option - confirm which is on the car. Mazda number 8180-32-980B (colour variant 00); catalogue 3200A-1 EC-093-16 EC-093-17 EC-093-18 EC-093-19.,choice,"yes, as described|not on the car|different part",,,
D7,D,D At the dash and console,Is the Steering column bushing (PT487) on the car as described?,camden,open,01-electrical:S1 K9,What is uncertain: 652106 on = 1244-32-071A - confirm the VIN serial. Mazda number 8182-32-071 8182-32-071A 1244-32-071A; catalogue 3210A-1 EC-094-01 EC-094-02 EC-094-03.,choice,"yes, as described|not on the car|different part",,,
D8,D,D At the dash and console,Is the Meter bulb socket (1316) (PT628) on the car as described?,camden,open,01-electrical:S1,What is uncertain: confirm: which socket takes which bulb Qty on the car: 9. Mazda number 1316-55-261; catalogue 5540A-1 BI-049-02.,choice,"yes, as described|not on the car|different part",,,
D9,D,D At the dash and console,Is the Meter bulb socket (3625) (PT629) on the car as described?,camden,open,01-electrical:S1,What is uncertain: confirm: which socket takes which bulb Qty on the car: 6. Mazda number 3625-55-261; catalogue 5540A-1 BI-049-03.,choice,"yes, as described|not on the car|different part",,,
D10,D,D At the dash and console,"Is the Radio, Clarion AM/FM full control (PT655) on the car as described?",camden,open,,"What is uncertain: confirm: whether the head unit fitted now is this factory radio S-001 p24 (G-04): switched feed LgW comes through the stereo/deck position G-03 from LR (X-04 20 A, ACC), illumination RG 3.4 W, LG to the power antenna relay; Mazda number 0000-81-481C; catalogue 6680A-1 BI-104-11 BI-104-17 BI-104-18. Answering covers 2 held part(s) inside it: PT657, PT666",choice,"yes, as described|not on the car|different part",,,
D11,D,D At the dash and console,"Is the Main amplifier, Clarion 5 W x 2 (PT660) on the car as described?",camden,open,01-electrical:S1,"What is uncertain: confirm: the factory amplifier behind the head unit is this one S-001 p24 (G-08): power L from connector G-07 (LR, X-04 20 A), outputs LR/LO to rear LH (G-09) and LW/LB to rear RH (G-10); Mazda number 0000-81-142C; catalogue 6680A-2 BI-105-03.",choice,"yes, as described|not on the car|different part",,,
D12,D,D At the dash and console,"Is the Front power amplifier, Clarion 25 W x 2 (PT661) on the car as described?",camden,open,01-electrical:S1,What is uncertain: confirm: the catalogue lists it for GS and GSL with no year and an -83 number; Mazda number 0000-81-0287-83; catalogue 6680A-2 BI-105-09.,choice,"yes, as described|not on the car|different part",,,
D13,D,D At the dash and console,Is the Ignition switch (PT708) on the car as described?,camden,open,K9,"What is uncertain: BA14-66-151A up to serial FB331 642149, BA24-66-155A from 642150: confirm which by the VIN serial Qty on the car: 1. Mazda number BA14-66-151A BA24-66-155A; catalogue 0900A-1 BI-025-11 BI-025-12.",choice,"yes, as described|not on the car|different part",,,
D14,D,D At the dash and console,Is the Dashboard crash pad (padded dash top) (PT823) on the car as described?,camden,open,K10,"What is uncertain: Colour not recorded - confirm on the car Qty on the car: 1. Mazda number FA01-60-350B (colour variants 00, 10, 29, 70, 81); catalogue 5560A-1 BI-051-08 BI-051-09 BI-051-10 BI-051-11 BI-051-12 BI-051-13.",choice,"yes, as described|not on the car|different part",,,
D15,D,D At the dash and console,Is the Dash upper garnish (windscreen base) (PT824) on the car as described?,camden,open,K10,"What is uncertain: Colour not recorded - confirm on the car Qty on the car: 1. Mazda number 8341-60-710A (colour variants 00, 01, 10, 28, 29, 81); catalogue 5560A-1 BI-051-22 BI-051-23 BI-051-24 BI-051-25 BI-051-26 BI-051-27 BI-051-28 BI-051-29 BI-051-30 BI-051-31 BI-051-32 BI-051-33 BI-051-34 BI-051-35 BI-051-36. Answering covers 1 held part(s) inside it: PT825",choice,"yes, as described|not on the car|different part",,,
D16,D,D At the dash and console,"Is the Dash side garnish, right (PT826) on the car as described?",camden,open,K10,"What is uncertain: Colour not recorded - confirm on the car Qty on the car: 1. Mazda number FA01-55-330A (colour variants 00, 10, 29, 70, 81); catalogue 5560A-1 BI-051-37 BI-051-38 BI-051-39 BI-051-40; 5560A-2 BI-052-01 BI-052-02.",choice,"yes, as described|not on the car|different part",,,
D17,D,D At the dash and console,"Is the Dash side garnish, left (PT827) on the car as described?",camden,open,K10,"What is uncertain: Colour not recorded - confirm on the car Qty on the car: 1. Mazda number FA01-55-340A (colour variants 00, 10, 29, 70, 81); catalogue 5560A-2 BI-052-03 BI-052-04 BI-052-05 BI-052-06 BI-052-07 BI-052-08.",choice,"yes, as described|not on the car|different part",,,
D18,D,D At the dash and console,Is the Glove box tray (PT830) on the car as described?,camden,open,K9,"What is uncertain: Also: stay 8871-64-162A, striker 8871-64-101, cushion rubbers x2 (0633-62-879 up to serial 608442, 0259-58-612 from 608443 - confirm by VIN serial) (BI-052-21, BI-052-19, BI-052-09, BI-052-10) Qty on the car: 1. Mazda number 8871-64-161B; catalogue 5560A-2 BI-052-09 BI-052-10 BI-052-19 BI-052-20 BI-052-21. Answering covers 1 held part(s) inside it: PT831",choice,"yes, as described|not on the car|different part",,,
D19,D,D At the dash and console,"Is the Glove side panel (lower dash, right) (PT834) on the car as described?",camden,open,K10,"What is uncertain: Colour not recorded - confirm on the car Qty on the car: 1. Mazda number FA01-55-310 (colour variants 00, 10, 29, 70, 81); catalogue 5500A-1 BI-047-23 BI-047-24 BI-047-25 BI-047-26 BI-047-27 BI-047-28.",choice,"yes, as described|not on the car|different part",,,
D20,D,D At the dash and console,Is the Lower dash switch panel (driver side) (PT835) on the car as described?,camden,open,K10,"What is uncertain: reads as 320A or 340A) - confirm from the part or a dealer lookup Qty on the car: 1. Mazda number FA01-55-3?0A (colour variants 00, 10, 29, 70, 81); catalogue 5500A-1 BI-047-29 BI-047-30 BI-047-31 BI-047-32 BI-047-33; 5500A-2 BI-048-01.",choice,"yes, as described|not on the car|different part",,,
D21,D,D At the dash and console,Is the Dash center panel (radio and heater control surround) (PT837) on the car as described?,camden,open,K10,"What is uncertain: FA01-55-210 is for cars without full control (to serial 633360), FA02-55-210 for cars with full control - confirm which is fitted (what the full-control option is is not stated in the catalogue) and the VIN serial Qty on the car: 1. Mazda number FA01-55-210 (colour variants 01) or FA02-55-210 (colour variants 01); catalogue 5500A-1 BI-047-05 BI-047-06 BI-047-07 BI-047-08.",choice,"yes, as described|not on the car|different part",,,
D22,D,D At the dash and console,Is the Front console (PT853) on the car as described?,camden,open,K10,"What is uncertain: Colour not recorded - confirm on the car Qty on the car: 1. Mazda number FA01-64-320B (colour variants 00, 10, 29, 70, 81); catalogue 5570A-1 BI-053-19 BI-053-20 BI-053-21 BI-053-22 BI-053-23 BI-053-24 BI-053-36 BI-053-37; 5570A-2 BI-054-24 BI-054-25 BI-054-26 BI-054-27 BI-054-28 BI-054-29. Answering covers 5 held part(s) inside it: PT857, PT858, PT859, PT860, PT864",choice,"yes, as described|not on the car|different part",,,
E1,E,E In the cabin,Is the Brake pedal (PT553) on the car as described?,camden,open,,What is uncertain: no 82 A/T GS entry - confirm the pedal on the car. Mazda number FA05-43-030; catalogue 4300A-1 EC-108-18 EC-108-20 EC-108-22 EC-108-25 EC-108-27 EC-108-04. Answering covers 1 held part(s) inside it: PT557,choice,"yes, as described|not on the car|different part",,,
E2,E,E In the cabin,Is the Parking lamp switch (PT645) on the car as described?,camden,open,,What is uncertain: confirm: what this switch senses and where it sits (it may be the parking-brake warning switch at the lever); Mazda number 8871-66-450; catalogue 6620A-1 BI-100-04.,choice,"yes, as described|not on the car|different part",,,
E3,E,E In the cabin,Is the Rear console (large type) (PT861) on the car as described?,camden,open,K10,"What is uncertain: Colour not recorded - confirm on the car Qty on the car: 1. Mazda number FA01-64-410C (colour variants 00, 10, 29, 70, 81); catalogue 5570A-2 BI-054-01 BI-054-02 BI-054-03 BI-054-04 BI-054-05 BI-054-06 BI-054-14; 5570A-1 BI-053-38. Answering covers 2 held part(s) inside it: PT862, PT863",choice,"yes, as described|not on the car|different part",,,
E4,E,E In the cabin,"Is the Seat cushion, right (PT879) on the car as described?",camden,open,K10,"What is uncertain: S & GS: cloth-velour FA07 or vinyl FA08 - confirm cloth-velour or vinyl, and the colour, on the car Qty on the car: 1. Mazda number FA07-88-110 (colour variants 00, 10, 70) or FA08-88-110 (colour variants 00, 70); catalogue 5700A-1 BI-056-15 BI-056-16 BI-056-17 BI-056-18 BI-056-19 BI-056-20 BI-056-21. Answering covers 2 held part(s) inside it: PT880, PT881",choice,"yes, as described|not on the car|different part",,,
E5,E,E In the cabin,"Is the Seat back, right (PT882) on the car as described?",camden,open,K10,"What is uncertain: S & GS: cloth-velour FA07 or vinyl FA08 - confirm cloth-velour or vinyl, and the colour, on the car Qty on the car: 1. Mazda number FA07-88-130 (colour variants 00, 10, 70) or FA08-88-130 (colour variants 00, 70); catalogue 5700A-2 BI-057-14 BI-057-15 BI-057-16 BI-057-17 BI-057-18 BI-057-19 BI-057-20. Answering covers 2 held part(s) inside it: PT883, PT884",choice,"yes, as described|not on the car|different part",,,
E6,E,E In the cabin,"Is the Seat recliner knuckle, right (PT885) on the car as described?",camden,open,,"What is uncertain: First number is used with a knuckle cover, second without - confirm. Mazda number 8183-88-101 or 8531-88-101; catalogue 5700A-1 BI-056-01 BI-056-04 BI-056-05 BI-056-12 BI-056-13; 5700A-2 BI-057-11. Answering covers 2 held part(s) inside it: PT886, PT887",choice,"yes, as described|not on the car|different part",,,
E7,E,E In the cabin,"Is the Seat cushion, left (PT892) on the car as described?",camden,open,K10,"What is uncertain: S & GS: cloth-velour FA07 or vinyl FA08 - confirm cloth-velour or vinyl, and the colour, on the car Qty on the car: 1. Mazda number FA07-88-160 (colour variants 00, 10, 70) or FA08-88-160 (colour variants 00, 70); catalogue 5700A-3 BI-058-10 BI-058-11 BI-058-12 BI-058-13 BI-058-14 BI-058-15 BI-058-16. Answering covers 2 held part(s) inside it: PT893, PT894",choice,"yes, as described|not on the car|different part",,,
E8,E,E In the cabin,"Is the Seat back, left (PT895) on the car as described?",camden,open,K10,"What is uncertain: S & GS: cloth-velour FA07 or vinyl FA08 - confirm cloth-velour or vinyl, and the colour, on the car Qty on the car: 1. Mazda number FA07-88-180 (colour variants 00, 10, 70) or FA08-88-180 (colour variants 00, 70); catalogue 5700A-4 BI-059-09 BI-059-10 BI-059-11 BI-059-12 BI-059-13 BI-059-14 BI-059-15. Answering covers 2 held part(s) inside it: PT896, PT897",choice,"yes, as described|not on the car|different part",,,
E9,E,E In the cabin,"Is the Seat recliner knuckle, left (PT898) on the car as described?",camden,open,,"What is uncertain: First number is used with a knuckle cover, second without - confirm Qty on the car: 1. Mazda number FA09-88-151 or 8532-88-151; catalogue 5700A-3 BI-058-06 BI-058-07. Answering covers 2 held part(s) inside it: PT899, PT900",choice,"yes, as described|not on the car|different part",,,
E10,E,E In the cabin,"Is the Front seat belt assembly, right (PT904) on the car as described?",camden,open,K10,"What is uncertain: colour black, wine/red, brown or tan/black - confirm the colour and VIN serial Qty on the car: 1. Mazda number FA30-57-610 (colour variants 00, 12, 24, 29); catalogue 5790A-1 BI-066-15 BI-066-16 BI-066-17 BI-066-18 BI-066-19. Answering covers 2 held part(s) inside it: PT905, PT906",choice,"yes, as described|not on the car|different part",,,
