id,category,title,subject,fits,site,url,author,licence,format,obtained,login,local_path,size_mm,scale,triangles,quality,detail,note
fb-rx7-cowl-grill-protector-printables-jtso,body,RX-7 cowl grill protector,1981-85 FB windshield cowl trim clip,exact,Printables,https://www.printables.com/model/654390,j_tso,Creative Commons — Public Domain,stl,yes,no,01-REFERENCE/model/library/body/fb-rx7-cowl-grill-protector-printables-jtso,38 x 6 x 12,1:1,160,3,Small clip only.,"""Trim for windshield on 81-85 RX-7s""."
rx7-printables-horyzen1,body,Mazda RX7 (horyzen1),"RX-7 small display model (generation unconfirmed, FB/FC-like profile)",close,Printables,https://www.printables.com/model/1695998,horyzen1,Creative Commons — Attribution — Share Alike,stl,yes,no,01-REFERENCE/model/library/body/rx7-printables-horyzen1,,toy scale,36666,1,Solid toy-car print incl. wheels.,extents as found: 25.211; 10.1088; 7.2111 cm? (tiny print ~25 units long). Generation not stated; profile could be FB or FC. Low value.
fb-rx7-mirror-delete-plate-thingiverse-qwikyking,body,fb/sa22c rx7 mirror delete fill plate,1st-gen door mirror delete fill plate,exact,Thingiverse (via archive.org mirror),https://www.thingiverse.com/thing:2758322,Mark Holden (qwikyking),Creative Commons - Attribution (CC BY 4.0),stl,yes,no,01-REFERENCE/model/library/body/fb-rx7-mirror-delete-plate-thingiverse-qwikyking,80 x 30 x 8,1:1,7104,3,Plate that fills the door-mirror mount on the door.,"""fill plate for fb rx7 door mirror"". File named 1984 -> FB door mirror footprint. Downloaded from https://archive.org/download/thingiverse-2758322/ (Thingiverse itself is JS-only to curl)."
sa-rx7-1980-front-logo-thingiverse-maniaticus,body,Mazda RX-7 1980 Front LOGO,1979-80 SA hood/nose emblem (plaque + pins),close,Thingiverse (via archive.org mirror),https://www.thingiverse.com/thing:3084133,Miguel Rodriguez (Maniaticus),Creative Commons - Attribution - Non-Commercial (CC BY-NC 4.0),stl,yes,no,01-REFERENCE/model/library/body/sa-rx7-1980-front-logo-thingiverse-maniaticus,20 x 183 x 13,1:1,55506,3,Emblem plaque and pins.,SA part; FB nose badge differs. Downloaded from https://archive.org/download/thingiverse-3084133/ (Thingiverse itself is JS-only to curl).
fb-rx7-sleek-headlight-thingiverse-cabentley22,body,mazda rx7 FB sleek head light,"1981-85 FB fixed ""sleek"" headlight conversion panel (custom)",exact,Thingiverse (via archive.org mirror),https://www.thingiverse.com/thing:865886,cabentley22,Creative Commons - Attribution - Share Alike (CC BY-SA 3.0),stl,yes,no,01-REFERENCE/model/library/body/fb-rx7-sleek-headlight-thingiverse-cabentley22,257 x 102 x 447,1:1,7282,2,"Panel with 6 round lamp holes replacing pop-up lids; custom, not factory.","Aftermarket styling idea, not OEM geometry. Downloaded from https://archive.org/download/thingiverse-865886/ (Thingiverse itself is JS-only to curl)."
fb-rx7-1157-side-marker-housing-thingiverse-notapenguin,body,1157 Housing for SA22C/FB Rx-7,1st-gen side-marker(?) lamp housing for 1157 bulb,close,Thingiverse (via archive.org mirror),https://www.thingiverse.com/thing:5589977,Rico Saavedra (Not_A_Penguin),Creative Commons - Attribution (CC BY 4.0),stl,yes,no,01-REFERENCE/model/library/body/fb-rx7-1157-side-marker-housing-thingiverse-notapenguin,125 x 36 x 29,1:1,4964,3,Housing incl. Solid Edge .par source.,Untested by author. Thing 5590016 is an identical re-post. Downloaded from https://archive.org/download/thingiverse-5589977/ (Thingiverse itself is JS-only to curl).
fb-rx7-popup-headlight-bushing-thingiverse-notapenguin,body,SA22C/FB Rx-7 Headlight Bushing,1st-gen pop-up headlight mechanism TPU bushing,exact,Thingiverse (via archive.org mirror),https://www.thingiverse.com/thing:5605912,Rico Saavedra (Not_A_Penguin),Creative Commons - Attribution (CC BY 4.0),stl,yes,no,01-REFERENCE/model/library/body/fb-rx7-popup-headlight-bushing-thingiverse-notapenguin,28 x 27 x 9,1:1,1220,3,"Bushing only, with Solid Edge .par.",Print in TPU. Relevant to pop-up headlight buckets. Downloaded from https://archive.org/download/thingiverse-5605912/ (Thingiverse itself is JS-only to curl).
sa-rx7-sa22c-thingiverse-dendeba,body,Mazda RX-7 SA22C,SA22C first-gen whole car (print model),close,Thingiverse,https://www.thingiverse.com/thing:4892797,DENDEBA (dendeba),Creative Commons - Attribution (CC BY 4.0),"zip (stl, 3.15 MB)",no,no,,,,,,,Free. archive.org mirror https://archive.org/download/thingiverse-4892797/Mazda_RX-7_SA22C_4892797.zip returned HTTP 500 on every try (2026-09-24); retry later or fetch from Thingiverse in a browser. Same author made thing 4892018 (FC) and 4886277 (FD).
sa-rx7-fender-mirrors-thingiverse-kyoshohunters,body,Mazda RX7 Sa22c Fender Mirrors,1st-gen fender mirrors (likely scale-model/Mini-Z size),close,Thingiverse,https://www.thingiverse.com/thing:6082365,kyosho_hunters,unknown (page JS-only),stl,no,no,,,,,,,Not mirrored on archive.org; Thingiverse pages need a browser. Probably RC-scale.
rx7-sketchfab-24d66a52,body,Mazda Rx7 1981,"1981 FB body (whole car, game-ready)",exact,Sketchfab,https://sketchfab.com/3d-models/24d66a52cebf471cac4620c0ff1d4438,L3X,Editorial,sketchfab download (glb/gltf/source),no,yes,,,,19340,3,,"""based on different blueprints available. Optimised for video game, the inside is pretty basic."" Downloadable=true but Sketchfab requires an account to download."
rx7-sketchfab-538895af,body,Mazda RX7 1983 Scale1-65 for 3D-printing,"1983 FB body, watertight STL for printing (1:65)",exact,Sketchfab,https://sketchfab.com/3d-models/538895af2d07452a9a95ca969ff8646e,fishermans,CC Attribution,sketchfab download (glb/gltf/source),no,yes,,,,11418,2,,Converted from an unnamed SketchUp model (probably one of the 3D Warehouse FB models above). Downloadable=true but Sketchfab requires an account to download.
rx7-sketchfab-57bf3d22,body,Mazda_rx7_ Body,1st-gen body shell only (no glass/wheels),close,Sketchfab,https://sketchfab.com/3d-models/57bf3d22b69840438b468041d49fb73c,Dakta.Grower.Nzl,CC Attribution,sketchfab download (glb/gltf/source),no,yes,,,,21402,2,,Thumbnail shows a first-gen shell with open doors area; likely game-derived. Downloadable=true but Sketchfab requires an account to download.
rx7-sketchfab-929bc967,body,Mazda RX7 Low Poly,1st-gen (FB-like) low-poly stylised car,close,Sketchfab,https://sketchfab.com/3d-models/929bc96724084feeb38b7224ddcd3ab1,bloomask,Standard,sketchfab download (glb/gltf/source),no,yes,,,,2567,1,,Stylised vaporwave low-poly. Downloadable=true but Sketchfab requires an account to download.
rx7-sketchfab-ed84a98a,body,Mazda RX7 Series 1,SA Series 1 widebody (game-derived),close,Sketchfab,https://sketchfab.com/3d-models/ed84a98a13a248beb07dd5964512bf3a,DRIVER-FIRE,CC Attribution,sketchfab download (glb/gltf/source),no,yes,,,,264818,2,,Credits Dakta.Grower.Nzl car originally from a GTA model; likely a game conversion - licence doubtful. Downloadable=true but Sketchfab requires an account to download.
rx7-sketchfab-2b774ae2,body,mazda rx7 (voxel),"voxel RX-7, possibly first gen",different,Sketchfab,https://sketchfab.com/3d-models/2b774ae2a174489d814edf7bb434d67a,meat_boze,CC Attribution,sketchfab download (glb/gltf/source),no,yes,,,,24092,1,,Voxel art only. Downloadable=true but Sketchfab requires an account to download.
rx7-1978-sa-sketchfab-rip-359488d2,body,Mazda RX-7 (Mk1)(SA) 1978 re-upload,1978 SA body - re-upload of the paid Hum3D model,close,Sketchfab,https://sketchfab.com/3d-models/359488d255d040969124960d77336dc4,niev,"unclear (labelled CC, but 1,573,078 faces and Hum3D naming = ripped paid model)",sketchfab,no,yes,,,,1573078,4,,"Not downloaded: pirated re-upload of the Hum3D model the owner already bought (01-REFERENCE/model). vecarz states its models are ""sourced from third-party platforms""."
rx7-1978-sa-sketchfab-rip-0ac42a2b,body,Mazda RX-7 (Mk1)(SA) 1978 re-upload,1978 SA body - re-upload of the paid Hum3D model,close,Sketchfab,https://sketchfab.com/3d-models/0ac42a2b5e31470487177f7ee7df56f5,Res1n,"unclear (labelled CC, but 1,573,078 faces and Hum3D naming = ripped paid model)",sketchfab,no,yes,,,,1573078,4,,"Not downloaded: pirated re-upload of the Hum3D model the owner already bought (01-REFERENCE/model). vecarz states its models are ""sourced from third-party platforms""."
rx7-1978-sa-sketchfab-rip-0d6054ce,body,Mazda RX-7 (Mk1)(SA) 1978 re-upload,1978 SA body - re-upload of the paid Hum3D model,close,Sketchfab,https://sketchfab.com/3d-models/0d6054cedb224cdfb5f3ad249cf5f5a9,outpiston,"unclear (labelled CC, but 1,573,078 faces and Hum3D naming = ripped paid model)",sketchfab,no,yes,,,,1573078,4,,"Not downloaded: pirated re-upload of the Hum3D model the owner already bought (01-REFERENCE/model). vecarz states its models are ""sourced from third-party platforms""."
rx7-1978-sa-sketchfab-rip-8c18c159,body,Mazda RX-7 (Mk1)(SA) 1978 re-upload,1978 SA body - re-upload of the paid Hum3D model,close,Sketchfab,https://sketchfab.com/3d-models/8c18c159b1ad47c685178f9e088b00e0,www.vecarz.com | heynic,"unclear (labelled CC, but 1,573,078 faces and Hum3D naming = ripped paid model)",sketchfab,no,yes,,,,1573078,4,,"Not downloaded: pirated re-upload of the Hum3D model the owner already bought (01-REFERENCE/model). vecarz states its models are ""sourced from third-party platforms""."
fb-rx7-assetto-corsa-mods,body,Mazda RX7 FB / FB S1 / FB Race OEM / Excite RX-7 FB (Assetto Corsa),1st-gen RX-7 game-mod car,close,assettoworld.com / assettocorsamods.io / assettohub.com,https://www.assettoworld.com/car/mazda-rx7-fb,various,unclear,game mod (kn5 / jbeam+dae),no,no,,,,,,,"Also https://www.assettoworld.com/car/mazda-rx7-fb-s1-1 , https://www.assettoworld.com/car/mazda-rx7-fb-race-oem , https://assettocorsamods.io/cars/drift/excite_mazda_rx_7_fb/ , https://assettocorsamods.io/cars/street/mazda_rx7_fb/ . AC mods are commonly ripped from other games; no licence visible (sites 403 to fetch). Not downloaded."
sa-rx7-1981-beamng-slavaska,body,"Mazda RX-7 (SA) 1981 (BeamNG, Slavaska)",1st-gen RX-7 game-mod car,close,worldofmods.com,https://www.worldofmods.com/beamng/cars/100628-mazda-rx-7-sa-1981.html,various,unclear,game mod (kn5 / jbeam+dae),no,no,,,,,,,"Also ""Mazda RX-7 SA 1982"" /beamng/cars/105610-mazda-rx-7-sa-1982.html (same author; page describes interior, lights, 19 configs). Licence/origin not stated; likely ported. Not downloaded."
fb-rx7-1985-cults-cardesignlab,body,Mazda RX-7 FB (1985) STL (CarDesignLab),1st-gen RX-7 body (print),close,cults3d.com,https://cults3d.com/en/3d-model/home/mazda-rx-7-fb-1985,,see notes,stl,no,yes,,,,,,,"Paid, STL+3MF, ""real proportions"", wall/display piece. Cults is Cloudflare-blocked to curl."
sa22c-cults-free,body,"Mazda RX-7 SA22C (Cults, free)",1st-gen RX-7 body (print),close,cults3d.com,https://cults3d.com/en/3d-model/game/mazda-rx-7-sa22c,,see notes,stl,no,yes,,,,,,,Listed free (making-of video https://youtu.be/eZ-g8vJYHn4). Needs a Cults account to download; Cloudflare-blocked.
sa22c-cults-print-template,body,"Mazda RX-7 SA22C 3D Print Template (Cults, free)",1st-gen RX-7 body (print),close,cults3d.com,https://cults3d.com/en/tags/sa22c,,see notes,stl,no,yes,,,,,,,Seen via yeggi as free; exact URL not resolvable (Cloudflare).
fb-sa-full-body-kit-cults,body,"Mazda RX-7 Full Body Kit FB3S FA SA22C (Cults, US$550) + Ducktail spoiler (US$65)",1st-gen RX-7 body (print),close,cults3d.com,https://cults3d.com/en/tags/rx7,,see notes,stl,no,yes,,,,,,,Paid 1:1 aero kit; recorded only.
fb-cgtrader-3d-printable,body,Mazda RX-7 FB 3D printable (CGTrader),1st-gen RX-7 body (print),close,www.cgtrader.com,https://www.cgtrader.com/3d-print-models/miniatures/vehicles/mazda-rx-7-fb,,see notes,stl,no,yes,,,,,,,OBJ/FBX/STL/BLEND; price not visible (CGTrader blocks curl). Probably paid.
fb-rx7-blueprint-the-blueprints-83684,body,Mazda RX-7 (FB) blueprint,"1981-85 FB (JDM Savanna, fender mirrors) 4-view: side, top, front, rear",exact,the-blueprints.com,https://www.the-blueprints.com/blueprints/cars/mazda/83684/view/mazda_rx-7_fb/,the-blueprints.com,free to view/download for modelling (site terms),blueprint,yes,no,01-REFERENCE/model/library/body/fb-rx7-blueprint-the-blueprints-83684,,unscaled,,4,"Full-resolution 2483x2546 PNG, 4 views aligned.","extents as found: 2483; 2546 px. Best free orthographic reference for the FB; JDM car (fender mirrors, Savanna badging) so mirrors/plates differ from US GS. Calibrate with wheelbase 2420 mm."
sa-rx7-1980-blueprint-the-blueprints-58281,body,Mazda RX-7 (1980) blueprint,1979-80 SA side view,close,the-blueprints.com,https://www.the-blueprints.com/blueprints/cars/mazda/58281/view/mazda_rx_7__1980_/,the-blueprints.com,free to view,blueprint,yes,no,01-REFERENCE/model/library/body/sa-rx7-1980-blueprint-the-blueprints-58281,,unscaled,,2,"Side view only, low res, halftone.",extents as found: 798; 254 px. 
fb-rx7-vector-the-blueprints-18122,body,Mazda RX-7 FB vector drawing,FB vector drawing (AI/EPS/PDF),exact,the-blueprints.com,https://www.the-blueprints.com/vectordrawings/show/18122/mazda_rx-7_fb/,the-blueprints.com,paid ($25 / 13 credits),drawing,no,no,,,,,,,"1:25 scale vector, colour layers. Paid."
fb-rx7-vectors-getoutlines,body,Mazda RX-7 FB Series 1/2/3 vector blueprints (Outlines),1978-81 S1 / 1981-83 S2 / 1983-85 S3 vector blueprints,exact,getoutlines.com,https://getoutlines.com/vector-drawings/7407/1981-1983-mazda-rx-7-drawings,Outlines,"paid custom order ($24, +$15 top view)",drawing,no,no,,,,,,,"Not ready-made: produced on order, 1:10, mm, AI/EPS/PDF/SVG/DWG/DXF. S1 7406, S2 7407, S3 7408. The free getoutlines ""Mazda RX 7 Coupe blueprints"" (3221) is an FD."
fb-rx7-1985-fsm-body-checking-dimensions,body,1985 RX-7 Workshop Manual 14-24 Body Checking Dimensions,"1981-85 FB underbody datum points (frame holes, suspension pickups) with point-to-point dimensions",exact,"foxed.ca (Mazda factory manual, already on disk)",http://www.foxed.ca/rx7manual/manuals/1985_RX7_FSM/,Mazda Motor Corp.,"factory manual scan, community-hosted",drawing,yes,no,01-REFERENCE/model/library/body/fb-rx7-1985-fsm-body-checking-dimensions,,dimensioned drawing,,5,"Plan + side view of the floor pan: front frame basic hole A, rear frame basic holes B/C, steering-box hole D, lower/upper arm holes E/F; e.g. A-B 1790, A to B diag 2387.2, 3095.6, 2250 A->B longitudinal, 2990.4, 1060/800/1324 widths, heights 220/110/260/345; per-transmission l1 (auto R 897/L 910).",Page 24 of 01-REFERENCE/manuals/1985_RX-7_Workshop_Manual_Section_14_Body.pdf rendered at 300 dpi. The only true factory chassis geometry found: use it to place the harness/LS-swap mounts in the 3D model frame.
sa-rx7-1980-fsm-body-section,body,1980 RX-7 Factory Service Manual Section 14 Body,1979-80 SA body section incl. body checking dimensions (p.14:14 / pdf p.16),close,foxed.ca,http://www.foxed.ca/rx7manual/manuals/1980_RX7_FSM/large/80RX7(14)Body.pdf,Mazda Motor Corp.,"factory manual scan, community-hosted",drawing,yes,no,01-REFERENCE/model/library/body/sa-rx7-1980-fsm-body-section,,dimensioned drawing,,5,Full 16-page body section; last page = body checking dimensions for the SA.,For comparing SA vs FB floor datums.
fb-rx7-dimension-sources,body,First-gen RX-7 overall dimension sources,"1979-85 overall dims, wheelbase, track",exact,multiple,https://www.rx7.org/public/1st-gen.html,various,n/a (facts),drawing,no,no,,,,,,,"1980 FSM Tech Data (on disk 01-REFERENCE/manuals/1980_RX-7_Workshop_Manual_Section_T_Technical_Data.pdf): length 4285, width 1650 (1675 with side protector), height 1260, wheelbase 2420, tread F 1420 / R 1400, wheel-centre to fender line F 364+-20 / R 358+-20, min clearance 160, turning radius 4.8 m. rx7.org 1st-gen page: 81-85 length 170.1 in (4321 mm, 5-mph bumpers), width 65.7 in, height 49.6 in, WB 95.3 in, track 55.9/55.1 in, weight 2350-2512 lb. carsguide.com.au 1981: 4285-4320 x 1670-1675 x 1260, WB 2420, clearance 155, turning circle 9.6 m. conceptcarz 1985: 4293 x 1674 x 1270, WB 2421, 2400 lb. encycarpedia FB pages (403 to fetch): 1981-84 and 1983-85 Turbo, height 1280 for Turbo. Also 1985 FSM Section G/T on foxed.ca."
kicad-soic8-can-transceiver-kicad,electrical,SOIC-8 3.9x4.9mm P1.27mm,SOIC-8 (D) package - TCAN1042/TCAN1051/SN65HVD230 CAN transceiver body,exact,KiCad packages3D (GitLab),https://gitlab.com/kicad/libraries/kicad-packages3D/-/blob/master/Package_SO.3dshapes/SOIC-8_3.9x4.9mm_P1.27mm.step,KiCad library team,CC-BY-SA 4.0 with KiCad library exception (see KICAD-LICENSE.md),step,yes,no,01-REFERENCE/model/library/electrical/kicad-soic8-can-transceiver-kicad,6 x 5 x 2,1:1,1200,5,Generic JEDEC SOIC-8 body+leads; no markings,TI D package (SOIC-8) used by TCAN1042-Q1 / TCAN1051 / SN65HVD230D.
kicad-vson8-can-transceiver-kicad,electrical,"Texas S-PVSON-N8 (DRB, 3x3 VSON-8)",VSON-8 3x3 package (TCAN1042 DRB / TCAN1051 DRB option),close,KiCad packages3D (GitLab),https://gitlab.com/kicad/libraries/kicad-packages3D/-/blob/master/Package_SON.3dshapes/Texas_S-PVSON-N8.step,KiCad library team,CC-BY-SA 4.0 with KiCad library exception (see KICAD-LICENSE.md),step,yes,no,01-REFERENCE/model/library/electrical/kicad-vson8-can-transceiver-kicad,3 x 3 x 1,1:1,712,5,Package body only,Only relevant if leadless CAN transceiver variant chosen; confirm DRB outline vs TI datasheet.
kicad-htqfp64-tfp410-kicad,electrical,HTQFP-64 10x10mm PowerPAD,HTQFP-64 (PAP) package - TI TFP410 DVI transmitter,close,KiCad packages3D (GitLab),https://gitlab.com/kicad/libraries/kicad-packages3D/-/tree/master/Package_QFP.3dshapes,KiCad library team,CC-BY-SA 4.0 with KiCad library exception (see KICAD-LICENSE.md),step,yes,no,01-REFERENCE/model/library/electrical/kicad-htqfp64-tfp410-kicad,12 x 12 x 1,1:1,8744,5,Package bodies,"TFP410PAP is 64-pin HTQFP 10x10 P0.5; EP size confirm against TI datasheet. Other file extents (mm): TQFP-64-1EP_10x10mm_P0.5mm_EP5.305x5.305mm.step: [12.0, 12.0, 1.1]"
kicad-vqfn64-bt817-kicad,electrical,QFN-64 9x9mm P0.5mm (three EP sizes),VQFN-64 9x9 package - Bridgetek BT817Q EVE,close,KiCad packages3D (GitLab),https://gitlab.com/kicad/libraries/kicad-packages3D/-/tree/master/Package_DFN_QFN.3dshapes,KiCad library team,CC-BY-SA 4.0 with KiCad library exception (see KICAD-LICENSE.md),step,yes,no,01-REFERENCE/model/library/electrical/kicad-vqfn64-bt817-kicad,9 x 9 x 1,1:1,1672,4,Package bodies,"BT817Q = 64-VQFN 9x9mm; exposed-pad size confirm from Bridgetek datasheet and pick the matching file. Other file extents (mm): QFN-64-1EP_9x9mm_P0.5mm_EP6x6mm.step: [9.0, 9.0, 0.75]; QFN-64-1EP_9x9mm_P0.5mm_EP7.35x7.35mm.step: [9.0, 9.0, 0.75]"
kicad-pushbuttons-tht-kicad,electrical,"THT tactile pushbuttons (6mm, 12mm, Omron B3F)",generic PCB tactile pushbuttons,close,KiCad packages3D (GitLab),https://gitlab.com/kicad/libraries/kicad-packages3D/-/tree/master/Button_Switch_THT.3dshapes,KiCad library team,CC-BY-SA 4.0 with KiCad library exception (see KICAD-LICENSE.md),step,yes,no,01-REFERENCE/model/library/electrical/kicad-pushbuttons-tht-kicad,7 x 6 x 16,1:1,2160,5,"PCB tactile switches, not panel-mount","Generic stand-ins for ICU/DCU carrier buttons. Other file extents (mm): SW_PUSH_6mm.step: [7.172, 6.0, 7.8]; SW_PUSH-12mm_Wuerth-430476085716.step: [13.94, 12.0, 12.058]; SW_TH_Tactile_Omron_B3F-100x.step: [7.672, 6.0, 7.8]"
kicad-fuseholder-blade-mini-keystone3568-kicad,electrical,Keystone 3568 Mini blade fuse PCB holder,PCB fuse clip holder for mini (ATM) blade fuse,close,KiCad packages3D (GitLab),https://gitlab.com/kicad/libraries/kicad-packages3D/-/blob/master/Fuse.3dshapes/Fuseholder_Blade_Mini_Keystone_3568.step,KiCad library team,CC-BY-SA 4.0 with KiCad library exception (see KICAD-LICENSE.md),step,yes,no,01-REFERENCE/model/library/electrical/kicad-fuseholder-blade-mini-keystone3568-kicad,16 x 7 x 10,1:1,1608,5,"Holder only, no fuse",PCB-mount mini blade holder (not ATC/ATO standard).
