connector,cav,circuit,from_box_side,awg,colour,status,device_end,note
L3-S1,1,Key ladder,A16 (pin 22),16,GRY,LIVE,"Ignition switch: ACC → 33 kΩ · IG → 15 kΩ · ST → 6.8 kΩ, all summed onto this wire",
L3-S1,2,Headlight ladder,A15 (pin 35),16,GRY,LIVE,Light switch E-01: PARK → 33 kΩ · HEAD → 15 kΩ · DIMMER-HI → 8.2 kΩ (fed from the HEAD side) · PASS → 3.3 kΩ,
L3-S1,3,Turn stalk ladder,A1 (pin 29),16,GRY,LIVE,"Stalk F-02: LEFT 1.8 kΩ · RIGHT 10 kΩ · OFF 47 kΩ, contacts to column ground",
L3-S1,4,Wiper stalk ladder,A2 (pin 16),16,GRY,LIVE,Stalk D-03: HIGH 4.7 kΩ · LOW 10 kΩ · INT 18 kΩ · OFF 47 kΩ · WASH 1.8 kΩ + 1N5819 (band toward the contact),
L3-S1,5,Brake pedal switch,A3 (pin 30),16,GRY,LIVE,Pedal switch F-11 through 4.7 kΩ; other terminal → dash ground,
L3-S1,6,Hazard switch,A8 (pin 19),16,GRY,LIVE,Hazard contact through 4.7 kΩ; other terminal → column ground,
L3-S1,7,— empty,—,—,—,PLUG,"Sealing plug, size 16",
L3-S1,8,Illumination bus,O20 (pin 34),16,RED,LIVE,"Dash illumination lamps E-06, E-07, E-10 (RL) + head unit illumination wire",
L3-S1,9,Wink LEFT — NC pole,K2 85 (coil return),16,BLU,LIVE,Wink L switch NC terminal; switch common → dash ground,
L3-S1,10,Wink RIGHT — NC pole,K1 85 (coil return),16,BLU,LIVE,Wink R switch NC terminal; switch common → dash ground,
L3-S1,11,Horn + wink request,"A8 node (pin 19), spliced at the post",16,GRY,LIVE,Horn pad through 8.2 kΩ · wink L NO through 18 kΩ · wink R NO through 33 kΩ — three resistors joined onto this wire,
L3-S1,12,ACC — wake source,Wake strip input 1,16,BLU,LIVE,Ignition switch ACC terminal (raw 12 V),
L3-S2,1,RUN — wake source,Wake strip input 2,16,BLU,LIVE,Ignition switch IG terminal (raw 12 V),
L3-S2,2,Switch supply +12 V,F3 (5 A),16,PNK,LIVE,Ignition switch B terminal · light switch E-01 common,
L3-S2,3,Window DRV up command,→ L4-M 9,16,BLU,CAPPED,Capped at the console,
L3-S2,4,Window DRV down command,→ L4-M 10,16,BLU,CAPPED,Capped at the console,
L3-S2,5,Window PASS up command,→ L4-M 11,16,BLU,CAPPED,Capped at the console,
L3-S2,6,Window PASS down command,→ L4-M 12,16,BLU,CAPPED,Capped at the console,
L3-S2,7,Future module +12 V switched,capped at the post,16,RED,CAPPED,Capped behind the dash,
L3-S2,8,Future module ground,DP-GND,16,BLK,CAPPED,Capped behind the dash,
L3-S2,9,Washer relay K12 coil return,K12 85,16,BLU,LIVE,Wiper stalk D-03 WASH contact (same terminal as the WASH ladder leg); contact's other side → column ground,
L3-S2,10,Courtesy — glove box lamp,F19 (3 A),16,RED,LIVE,Glove box lamp H-01 +; lamp − → lid switch H-02 → dash ground,
L3-S2,11,Parking brake switch → brake warning lamp,→ DP-CLU 9 (post splice),16,GRY,LIVE,Parking brake switch C-04 terminal BR (switch body grounds through the lever bracket),
L3-S2,12,— empty,—,—,—,PLUG,"Sealing plug, size 16",
L3-S3,1,Future pass-through A,→ L4-S 5,16,GRY,CAPPED,Capped behind the dash,
L3-S3,2,Future pass-through B,→ L4-S 6,16,GRY,CAPPED,Capped behind the dash,
L3-S3,3,Future pass-through C,→ L4-S 7,16,GRY,CAPPED,Capped behind the dash,
L3-S3,4,— empty,—,—,—,PLUG,"Sealing plug, size 16",
L3-S3,5,— empty,—,—,—,PLUG,"Sealing plug, size 16",
L3-S3,6,— empty,—,—,—,PLUG,"Sealing plug, size 16",
L3-S3,7,— empty,—,—,—,PLUG,"Sealing plug, size 16",
L3-S3,8,— empty,—,—,—,PLUG,"Sealing plug, size 16",
L4-P,1,Rear defog grid,O4 (pin 13),12,RED,LIVE,Grid G-25 terminal LG; grid terminal B → rear star ground (12 AWG),
L4-P,2,Fuel pump +,O5 (pin 12),12,RED,LIVE,Carter P4070 + ; pump − → its OWN 12 AWG to the rear star ground,
L4-P,3,Window motor bus feed,"O1 (pin 38) splice",12,RED,CAPPED,Capped at the sill node,
L4-P,4,Amplifier constant feed,F5 (30 A) ← K11,12,RED,LIVE,Amplifier B+ terminal (cargo bin); amp ground → rear star (12 AWG),
L4-M,1,Tail · licence · rear markers,O6 (pin 11),14,ORN,LIVE,"Splice at the hatch → F-07 RG, F-08 RG, F-04 RG (×2), F-14 RG, F-15 RG",
L4-M,2,Brake lamps,O7 (pin 10),14,ORN,LIVE,"Splice → F-07 G, F-08 G",
L4-M,3,Hatch release solenoid,capped at the post,14,ORN,CAPPED,Capped at the hatch,
L4-M,4,Fuel-door release solenoid,capped at the post,14,ORN,CAPPED,Capped at the fuel door,
L4-M,5,Turn LEFT rear,O17 (pin 6),16,RED,LIVE,"Rear combo F-07, terminal GR",
L4-M,6,Turn RIGHT rear,O18 (pin 33),16,RED,LIVE,"Rear combo F-08, terminal GO",
L4-M,7,Reverse lamps,O19 (pin 20),16,RED,LIVE,"Splice → F-07 RW, F-08 RW",
L4-M,8,Interior lamp (PWM),F12 (5 A) ← O20,16,RED,LIVE,Interior/spot lamp H-06 +; lamp − through its own DOOR/OFF/ON switch → roof-rail ground,
L4-M,9,Window DRV up command → K5 coil,← L3-S2 3,16,BLU,CAPPED,Capped at the sill node,
L4-M,10,Window DRV down command → K6 coil,← L3-S2 4,16,BLU,CAPPED,Capped at the sill node,
L4-M,11,Window PASS up command → K7 coil,← L3-S2 5,16,BLU,CAPPED,Capped at the sill node,
L4-M,12,Window PASS down command → K8 coil,← L3-S2 6,16,BLU,CAPPED,Capped at the sill node,
L4-S,1,Fuel level sender,→ DP-CLU 7 (post splice) + A7 tap,16,GRY,LIVE,Tank sender C-01 terminal Y; sender terminal B → rear star ground (16 AWG). Route apart from L4-P,
L4-S,2,Door jamb switches — ladder,A6 (pin 18),16,GRY,LIVE,Splice at the sill → driver jamb switch through 33 kΩ · passenger jamb switch through 8.2 kΩ; each switch grounds through its body,
L4-S,3,— empty,—,—,—,PLUG,"Sealing plug, size 16",
L4-S,4,— empty,—,—,—,PLUG,"Sealing plug, size 16",
L4-S,5,Future pass-through A,← L3-S3 1,16,GRY,CAPPED,Capped at the hatch,
L4-S,6,Future pass-through B,← L3-S3 2,16,GRY,CAPPED,Capped at the hatch,
L4-S,7,Future pass-through C,← L3-S3 3,16,GRY,CAPPED,Capped at the hatch,
L4-S,8,Courtesy — luggage lamp,F19 (3 A),16,RED,LIVE,Luggage lamp H-11 +; lamp − → lid switch H-12 → rear star ground,
D1,1,Window motor leg A,K5/K6 at the sill (empty socket),14,RED,CAPPED,Capped inside the door,
D1,2,Window motor leg B,K5/K6 at the sill (empty socket),14,RED,CAPPED,Capped inside the door,
D1,3,— empty,—,—,—,PLUG,"Sealing plug, size 16",
D1,4,Mirror motor common,capped at the sill,16,GRY,CAPPED,Capped inside the door,
D1,5,Mirror motor X,capped at the sill,16,GRY,CAPPED,Capped inside the door,
D1,6,Mirror motor Y,capped at the sill,16,GRY,CAPPED,Capped inside the door,
D1,7,Mirror heat,F14 at the sill (labelled position, no holder),16,RED,CAPPED,Capped inside the door,
D1,8,Door ground,Sill ground stud,16,BLK,CAPPED,Capped inside the door — lands on the mirror/window ground when fitted,
D2,1,Window motor leg A,K7/K8 at the sill (empty socket),14,RED,CAPPED,Capped inside the door,
D2,2,Window motor leg B,K7/K8 at the sill (empty socket),14,RED,CAPPED,Capped inside the door,
D2,3,— empty,—,—,—,PLUG,"Sealing plug, size 16",
D2,4,Mirror motor common,capped at the sill,16,GRY,CAPPED,Capped inside the door,
D2,5,Mirror motor X,capped at the sill,16,GRY,CAPPED,Capped inside the door,
D2,6,Mirror motor Y,capped at the sill,16,GRY,CAPPED,Capped inside the door,
D2,7,Mirror heat,F14 at the sill (labelled position, no holder),16,RED,CAPPED,Capped inside the door,
D2,8,Door ground,Sill ground stud,16,BLK,CAPPED,Capped inside the door,
DP-CLU,1,Cluster IG feed,F16 (5 A) ← O12,16,RED,LIVE,Cluster plug — factory GY (ignition feed to the gauges and lamps),
DP-CLU,2,Cluster ground,DP-GND,16,BLK,LIVE,Cluster plug — factory B,
DP-CLU,3,Cluster illumination,O20 (pin 34),16,RED,LIVE,Cluster plug — factory RL,
DP-CLU,4,Tachometer,← L1-S1 6 (shielded),16 sh,shielded,LIVE,Cluster plug — factory YG,
DP-CLU,5,Water temp gauge,← L1-S1 3,16,GRY,LIVE,Cluster plug — factory YW,
DP-CLU,6,Oil pressure gauge,← L1-S1 4,16,GRY,LIVE,Cluster plug — factory BrY,
DP-CLU,7,Fuel gauge,← L4-S 1 (A7 taps this conductor),16,GRY,LIVE,Cluster plug — factory Y,
DP-CLU,8,Charge warning lamp,← L1-S2 8,16,GRY,LIVE,Cluster plug — the charge-lamp terminal (identify at the cluster plug),
DP-CLU,9,Brake warning lamp,← L1-S2 1 + L3-S2 11,16,GRY,LIVE,Cluster plug — factory BR,
DP-CLU,10,Turn LEFT indicator,O17 (pin 6),16,RED,LIVE,Cluster plug — factory GR,
DP-CLU,11,Turn RIGHT indicator,O18 (pin 33),16,RED,LIVE,Cluster plug — factory GO,
DP-CLU,12,High-beam indicator,"O3 (pin 26), 16 AWG tap",16,RED,LIVE,Cluster plug — factory RY,
DP-DIAG,1,CAN1 H,CAN1H (pin 23),16 tw,YEL,LIVE,Laptop port in the glovebox — 120 Ω across 1/2 inside the plug,
DP-DIAG,2,CAN1 L,CAN1L (pin 36),16 tw,GRN,LIVE,Laptop port,
DP-DIAG,3,+12 V constant,F2 (2 A),16,RED,LIVE,Laptop port,
DP-DIAG,4,Ground,DP-GND,16,BLK,LIVE,Laptop port,
DP-ICU,1,+12 V switched,O10 (pin 4),16,RED,CAPPED,Capped at the post,
DP-ICU,2,Ground,DP-GND,16,BLK,CAPPED,Capped at the post,
DP-ICU,3,CAN2 H,CAN2H (pin 24),16 tw,YEL,CAPPED,Capped at the post,
DP-ICU,4,CAN2 L,CAN2L (pin 37),16 tw,GRN,CAPPED,Capped at the post,
DP-ICU,5,Illumination reference,O20 (pin 34),16,RED,CAPPED,Capped at the post,
DP-ICU,6,Water temp (tap),tap on L1-S1 3,16,GRY,CAPPED,Capped at the post,
DP-ICU,7,Oil pressure (tap),tap on L1-S1 4,16,GRY,CAPPED,Capped at the post,
DP-ICU,8,— empty,—,—,—,PLUG,"Sealing plug, size 16",
DP-ICU,9,Tach (tap),tap on L1-S1 6,16,GRY,CAPPED,Capped at the post,
DP-ICU,10,— empty,—,—,—,PLUG,"Sealing plug, size 16",
DP-ICU,11,Charge sense (tap),tap on L1-S2 8,16,GRY,CAPPED,Capped at the post,
DP-ICU,12,Brake warning (tap),tap on the DP-CLU 9 node,16,GRY,CAPPED,Capped at the post,
DP-DCU,1,+12 V switched,O10 (pin 4),16,RED,CAPPED,Capped at the post,
DP-DCU,2,— empty,—,—,—,PLUG,"Sealing plug, size 16",
DP-DCU,3,Ground,DP-GND,16,BLK,CAPPED,Capped at the post,
DP-DCU,4,CAN2 H,CAN2H (pin 24),16 tw,YEL,CAPPED,Capped at the post,
DP-DCU,5,CAN2 L,CAN2L (pin 37),16 tw,GRN,CAPPED,Capped at the post,
DP-DCU,6,— empty,—,—,—,PLUG,"Sealing plug, size 16",
DP-KEY,1,CAN2 H,CAN2H (pin 24),16 tw,YEL,CAPPED,Capped behind the dash,
DP-KEY,2,CAN2 L,CAN2L (pin 37),16 tw,GRN,CAPPED,Capped behind the dash,
DP-KEY,3,+12 V switched,O10 (pin 4),16,RED,CAPPED,Capped behind the dash,
DP-KEY,4,Ground,DP-GND,16,BLK,CAPPED,Capped behind the dash,
