section,store,item,part_or_spec,qty,unit,unit_price_usd,line_total_usd,price_basis,note
MATERIAL,Amazon,"Barrier terminal strip, 8 position, 12 V rated (wake strip + one spare)",generic,2,ea,7.50,15.00,est,
MATERIAL,Amazon,"Metal-film resistor kit, E24 1 %, 1/4 W (every ladder value)",generic kit,1,kit,15.00,15.00,est,Values used: 1.8k 3.3k 4.7k 6.8k 8.2k 10k 12k 15k 18k 33k 47k 100k 1M
MATERIAL,Amazon,"120 Ω 1 % 1/4 W resistors (CAN terminators, 2 used)",generic,10,ea,0.10,1.00,est,
MATERIAL,Amazon,Schottky diode 1N5819 (5 wake strip + 1 WASH leg + spares),1N5819,20,ea,0.15,3.00,est,
MATERIAL,Amazon,NPN transistor 2N3904 (2 wake stages + spares),2N3904,10,ea,0.10,1.00,est,
MATERIAL,Amazon,"ATC blade fuses by value — 2 A ×4, 3 A ×4, 5 A ×6, 7.5 A ×4, 10 A ×6, 15 A ×6, 30 A ×4","generic, by value",1,set,25.00,25.00,est,"Cheap assortments skip 2 A, 3 A and 7.5 A — buy these by value"
MATERIAL,Amazon,"Inline ATC fuse holder, 2-pack (first power-up 5 A guard)",generic,1,pk,6.00,6.00,est,
MATERIAL,Ballenger Motorsports,"SICMA 1.5 mm female terminal, 16–14 AWG (spares for the PMU connector)",211CC2S2160P,20,ea,0.49,9.80,cart,Zero spares exist — practice crimps come from these
MATERIAL,Ballenger Motorsports,"SICMA 2.8 mm female terminal, 16–14 AWG (spares)",211CC3S2120,3,ea,0.49,1.47,cart,
MATERIAL,Amazon,"Shielded cable, 16–18 AWG single core with drain, 15 ft (tach)",any automotive shielded,1,ea,15.00,15.00,est,"If WireBarn stocks it, buy it there instead"
MATERIAL,Amazon,"Adhesive-lined heat-shrink assortment 3:1, incl. heavy-wall for lugs",generic,1,kit,40.00,40.00,est,
MATERIAL,Amazon,"Heat-shrink crimp butt splices — 22–18 (×50), 16–14 (×50), 12–10 (×25)","generic, tinned",1,set,25.00,25.00,est,Every factory-pigtail joint (Install §4)
MATERIAL,Amazon,"Ring terminals, heat-shrink, assorted 16–14 and 12–10, #10 and 3/8",generic,1,kit,20.00,20.00,est,Ground rings and stud connections
MATERIAL,Amazon,"Tesa 51608 cloth harness tape, 5 rolls",Tesa 51608,5,ea,6.50,32.50,est,
MATERIAL,Amazon,"Split loom / braided sleeve assortment, grommet kit, P-clips, pull string 100 ft",generic,1,set,110.00,110.00,est,
MATERIAL,Amazon,"Heat-shrink label cartridges HSe-211 (6 mm) ×2, HSe-221 (9 mm) ×2, TZe-231 laminated ×1",Brother HSe-211 / HSe-221 / TZe-231,1,set,95.00,95.00,est,"211 sleeves fit 16 AWG, 221 fit 12–14 AWG"
MATERIAL,Amazon,"Cavity wax / corrosion inhibitor spray, paint pen",generic,1,set,20.00,20.00,est,
MATERIAL,Amazon,"Momentary SPDT (1NO + 1NC) 16 mm pushbutton, 5-pack (wink L, wink R + 3 spare)",mxuteuk CB16AY-11D (or any SPDT momentary),1,pk,12.00,12.00,est,"MUST be changeover (NO + NC), not a plain pushbutton"
MATERIAL,Amazon,"Adjustable plunger pin switch, 6-pack (door jambs ×2, glove box, luggage + 2 spare)",generic,1,pk,15.00,15.00,est,
MATERIAL,RockAuto / PartsGeek,"Brake pedal (stop lamp) switch, 1982 RX-7, without cruise",Standard SLS-52 class — confirm fit,1,ea,20.00,20.00,est,
MATERIAL,RockAuto / PartsGeek,"Ignition switch, electrical portion, 1981–83 RX-7 (FB S2)",confirm part number — search '81-83 RX-7 ignition switch electrical'; NOS or quality reproduction,1,ea,45.00,45.00,est,"Terminals B, ACC, IG, ST"
MATERIAL,RockAuto / PartsGeek,"Heater blower motor, 1979–83 RX-7",Four Seasons 35483,1,ea,65.00,65.00,est,Confirm fit against the car's HVAC case on arrival
MATERIAL,RockAuto / PartsGeek,"Blower motor resistor pack, 1979–85 RX-7",Four Seasons (vehicle fit) — confirm,1,ea,25.00,25.00,est,
MATERIAL,RockAuto / PartsGeek,"Blower speed switch, 4-position rotary, 20 A, ground-side",OEM-type replacement — confirm,1,ea,20.00,20.00,est,
MATERIAL,WireBarn,GXL wire 10 AWG BLK,GXL-10-BLK,25,ft,0.85,21.25,est,"calculated 11 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 10 AWG RED,GXL-10-RED,25,ft,0.85,21.25,est,"calculated 4 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 12 AWG BLK,GXL-12-BLK,30,ft,0.60,18.00,est,"calculated 20 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 12 AWG RED,GXL-12-RED,105,ft,0.60,63.00,est,"calculated 68 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 12 AWG RED/BLK,GXL-12-RED-BLK,25,ft,0.60,15.00,est,"calculated 12 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 12 AWG RED/BLU,GXL-12-RED-BLU,25,ft,0.60,15.00,est,"calculated 12 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 12 AWG RED/BRN,GXL-12-RED-BRN,25,ft,0.60,15.00,est,"calculated 12 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 12 AWG RED/GRN,GXL-12-RED-GRN,25,ft,0.60,15.00,est,"calculated 16 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 12 AWG RED/GRY,GXL-12-RED-GRY,25,ft,0.60,15.00,est,"calculated 10 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 12 AWG RED/ORN,GXL-12-RED-ORN,25,ft,0.60,15.00,est,"calculated 10 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 12 AWG RED/PNK,GXL-12-RED-PNK,25,ft,0.60,15.00,est,"calculated 8 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 12 AWG RED/VIO,GXL-12-RED-VIO,25,ft,0.60,15.00,est,"calculated 10 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 12 AWG RED/WHT,GXL-12-RED-WHT,80,ft,0.60,48.00,est,"calculated 50 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 12 AWG RED/YEL,GXL-12-RED-YEL,25,ft,0.60,15.00,est,"calculated 16 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 14 AWG BLK,GXL-14-BLK,45,ft,0.42,18.90,est,"calculated 28 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 14 AWG ORN/BLK,GXL-14-ORN-BLK,25,ft,0.42,10.50,est,"calculated 12 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 14 AWG ORN/BLU,GXL-14-ORN-BLU,25,ft,0.42,10.50,est,"calculated 14 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 14 AWG ORN/BRN,GXL-14-ORN-BRN,30,ft,0.42,12.60,est,"calculated 18 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 14 AWG ORN/GRN,GXL-14-ORN-GRN,25,ft,0.42,10.50,est,"calculated 16 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 14 AWG ORN/PNK,GXL-14-ORN-PNK,25,ft,0.42,10.50,est,"calculated 16 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 14 AWG ORN/RED,GXL-14-ORN-RED,25,ft,0.42,10.50,est,"calculated 16 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 14 AWG ORN/VIO,GXL-14-ORN-VIO,25,ft,0.42,10.50,est,"calculated 14 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 14 AWG ORN/WHT,GXL-14-ORN-WHT,25,ft,0.42,10.50,est,"calculated 12 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 14 AWG ORN/YEL,GXL-14-ORN-YEL,25,ft,0.42,10.50,est,"calculated 9 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 14 AWG RED,GXL-14-RED,25,ft,0.42,10.50,est,"calculated 9 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 14 AWG RED/WHT,GXL-14-RED-WHT,40,ft,0.42,16.80,est,"calculated 26 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG BLK,GXL-16-BLK,230,ft,0.30,69.00,est,"calculated 152 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG BLU,GXL-16-BLU,25,ft,0.30,7.50,est,"calculated 14 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG BLU/BLK,GXL-16-BLU-BLK,40,ft,0.30,12.00,est,"calculated 24 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG BLU/BRN,GXL-16-BLU-BRN,40,ft,0.30,12.00,est,"calculated 24 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG BLU/GRN,GXL-16-BLU-GRN,25,ft,0.30,7.50,est,"calculated 9 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG BLU/GRY,GXL-16-BLU-GRY,25,ft,0.30,7.50,est,"calculated 9 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG BLU/ORN,GXL-16-BLU-ORN,40,ft,0.30,12.00,est,"calculated 24 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG BLU/VIO,GXL-16-BLU-VIO,40,ft,0.30,12.00,est,"calculated 24 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG BLU/WHT,GXL-16-BLU-WHT,25,ft,0.30,7.50,est,"calculated 9 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG BLU/YEL,GXL-16-BLU-YEL,25,ft,0.30,7.50,est,"calculated 9 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG GRN,GXL-16-GRN,25,ft,0.30,7.50,est,"calculated 6 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG GRN/BLK,GXL-16-GRN-BLK,45,ft,0.30,13.50,est,"calculated 27 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG GRY,GXL-16-GRY,285,ft,0.30,85.50,est,"calculated 190 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG GRY/BLK,GXL-16-GRY-BLK,50,ft,0.30,15.00,est,"calculated 32 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG GRY/BLU,GXL-16-GRY-BLU,105,ft,0.30,31.50,est,"calculated 68 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG GRY/BRN,GXL-16-GRY-BRN,75,ft,0.30,22.50,est,"calculated 48 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG GRY/GRN,GXL-16-GRY-GRN,70,ft,0.30,21.00,est,"calculated 44 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG GRY/ORN,GXL-16-GRY-ORN,70,ft,0.30,21.00,est,"calculated 46 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG GRY/PNK,GXL-16-GRY-PNK,60,ft,0.30,18.00,est,"calculated 40 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG GRY/RED,GXL-16-GRY-RED,25,ft,0.30,7.50,est,"calculated 8 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG GRY/VIO,GXL-16-GRY-VIO,30,ft,0.30,9.00,est,"calculated 18 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG GRY/WHT,GXL-16-GRY-WHT,65,ft,0.30,19.50,est,"calculated 43 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG GRY/YEL,GXL-16-GRY-YEL,45,ft,0.30,13.50,est,"calculated 29 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG ORN,GXL-16-ORN,25,ft,0.30,7.50,est,"calculated 12 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG ORN/BRN,GXL-16-ORN-BRN,25,ft,0.30,7.50,est,"calculated 12 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG ORN/GRY,GXL-16-ORN-GRY,25,ft,0.30,7.50,est,"calculated 8 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG ORN/YEL,GXL-16-ORN-YEL,30,ft,0.30,9.00,est,"calculated 18 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG PNK,GXL-16-PNK,25,ft,0.30,7.50,est,"calculated 10 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG RED,GXL-16-RED,50,ft,0.30,15.00,est,"calculated 32 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG RED/BLU,GXL-16-RED-BLU,30,ft,0.30,9.00,est,"calculated 19 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG RED/BRN,GXL-16-RED-BRN,25,ft,0.30,7.50,est,"calculated 6 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG RED/VIO,GXL-16-RED-VIO,25,ft,0.30,7.50,est,"calculated 13 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG RED/WHT,GXL-16-RED-WHT,25,ft,0.30,7.50,est,"calculated 2 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG VIO/BLK,GXL-16-VIO-BLK,25,ft,0.30,7.50,est,"calculated 16 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG VIO/BLU,GXL-16-VIO-BLU,25,ft,0.30,7.50,est,"calculated 3 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG VIO/GRN,GXL-16-VIO-GRN,55,ft,0.30,16.50,est,"calculated 36 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG VIO/RED,GXL-16-VIO-RED,25,ft,0.30,7.50,est,"calculated 10 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG VIO/WHT,GXL-16-VIO-WHT,60,ft,0.30,18.00,est,"calculated 38 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG VIO/YEL,GXL-16-VIO-YEL,55,ft,0.30,16.50,est,"calculated 36 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG YEL,GXL-16-YEL,25,ft,0.30,7.50,est,"calculated 6 ft × 1.5 margin, 25 ft floor"
MATERIAL,WireBarn,GXL wire 16 AWG YEL/BLK,GXL-16-YEL-BLK,45,ft,0.30,13.50,est,"calculated 27 ft × 1.5 margin, 25 ft floor"
MATERIAL,DeutschConnector.com,Assembly kit — DTP06-4S plug (housing + wedgelock + contacts) — leg side of L1-P,DTP06-4S-Assy,1,kit,18.00,18.00,est,L1 Engine — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DTP04-4P receptacle (housing + wedgelock + contacts) — box side of L1-P,DTP04-4P-Assy,1,kit,18.00,18.00,est,L1 Engine — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DT06-12S plug (housing + wedgelock + contacts) — leg side of L1-S1,DT06-12S-Assy,1,kit,22.00,22.00,est,L1 Engine — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DT04-12P receptacle (housing + wedgelock + contacts) — box side of L1-S1,DT04-12P-Assy,1,kit,22.00,22.00,est,L1 Engine — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DT06-12S plug (housing + wedgelock + contacts) — leg side of L1-S2,DT06-12S-Assy,1,kit,22.00,22.00,est,L1 Engine — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DT04-12P receptacle (housing + wedgelock + contacts) — box side of L1-S2,DT04-12P-Assy,1,kit,22.00,22.00,est,L1 Engine — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DTP06-4S plug (housing + wedgelock + contacts) — leg side of L2-P1,DTP06-4S-Assy,1,kit,18.00,18.00,est,L2 Front — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DTP04-4P receptacle (housing + wedgelock + contacts) — box side of L2-P1,DTP04-4P-Assy,1,kit,18.00,18.00,est,L2 Front — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DTP06-4S plug (housing + wedgelock + contacts) — leg side of L2-P2,DTP06-4S-Assy,1,kit,18.00,18.00,est,L2 Front — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DTP04-4P receptacle (housing + wedgelock + contacts) — box side of L2-P2,DTP04-4P-Assy,1,kit,18.00,18.00,est,L2 Front — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DT06-8S plug (housing + wedgelock + contacts) — leg side of L2-M,DT06-8S-Assy,1,kit,15.00,15.00,est,L2 Front — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DT04-8P receptacle (housing + wedgelock + contacts) — box side of L2-M,DT04-8P-Assy,1,kit,15.00,15.00,est,L2 Front — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DT06-6S plug (housing + wedgelock + contacts) — leg side of L2-S,DT06-6S-Assy,1,kit,12.00,12.00,est,L2 Front — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DT04-6P receptacle (housing + wedgelock + contacts) — box side of L2-S,DT04-6P-Assy,1,kit,12.00,12.00,est,L2 Front — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DTP06-2S plug (housing + wedgelock + contacts) — leg side of L3-P,DTP06-2S-Assy,1,kit,14.00,14.00,est,L3 Dash — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DTP04-2P receptacle (housing + wedgelock + contacts) — box side of L3-P,DTP04-2P-Assy,1,kit,14.00,14.00,est,L3 Dash — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DT06-2S plug (housing + wedgelock + contacts) — leg side of L3-M,DT06-2S-Assy,1,kit,8.50,8.50,est,L3 Dash — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DT04-2P receptacle (housing + wedgelock + contacts) — box side of L3-M,DT04-2P-Assy,1,kit,8.50,8.50,est,L3 Dash — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DT06-12S plug (housing + wedgelock + contacts) — leg side of L3-S1,DT06-12S-Assy,1,kit,22.00,22.00,est,L3 Dash — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DT04-12P receptacle (housing + wedgelock + contacts) — box side of L3-S1,DT04-12P-Assy,1,kit,22.00,22.00,est,L3 Dash — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DT06-12S plug (housing + wedgelock + contacts) — leg side of L3-S2,DT06-12S-Assy,1,kit,22.00,22.00,est,L3 Dash — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DT04-12P receptacle (housing + wedgelock + contacts) — box side of L3-S2,DT04-12P-Assy,1,kit,22.00,22.00,est,L3 Dash — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DT06-8S plug (housing + wedgelock + contacts) — leg side of L3-S3,DT06-8S-Assy,1,kit,15.00,15.00,est,L3 Dash — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DT04-8P receptacle (housing + wedgelock + contacts) — box side of L3-S3,DT04-8P-Assy,1,kit,15.00,15.00,est,L3 Dash — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DTP06-4S plug (housing + wedgelock + contacts) — leg side of L4-P,DTP06-4S-Assy,1,kit,18.00,18.00,est,L4 Rear — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DTP04-4P receptacle (housing + wedgelock + contacts) — box side of L4-P,DTP04-4P-Assy,1,kit,18.00,18.00,est,L4 Rear — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DT06-12S plug (housing + wedgelock + contacts) — leg side of L4-M,DT06-12S-Assy,1,kit,22.00,22.00,est,L4 Rear — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DT04-12P receptacle (housing + wedgelock + contacts) — box side of L4-M,DT04-12P-Assy,1,kit,22.00,22.00,est,L4 Rear — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DT06-8S plug (housing + wedgelock + contacts) — leg side of L4-S,DT06-8S-Assy,1,kit,15.00,15.00,est,L4 Rear — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DT04-8P receptacle (housing + wedgelock + contacts) — box side of L4-S,DT04-8P-Assy,1,kit,15.00,15.00,est,L4 Rear — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DT06-08S plug (housing + wedgelock + contacts) — leg side of D1,DT06-08S-Assy,1,kit,15.00,15.00,est,L4 Rear (sill) — Sill node
