id,housing,cav,circuit,src,src_note,awg,colour,state,lands_on,route
L2-S 3,L2-S,3,Wiper park sense,A3,spliced at the post,16,GRY,LIVE,"47 kΩ baseline to the front star ground at the L2-S plug, as A4/A5 (D-368) - covers the run to the park contact; a break in the brake branch reads as brake never pressed. Wiper motor D-02 park terminal L through 12 kΩ. Terminal LB is left unconnected (capped)",
L2-S 4,L2-S,4,Wiper park return — future motor family,A3,branch spare,16,GRY,CAPPED,"Run to the wiper branch and left unpinned there: a DIN 72552 motor's park return is pinned into this cavity at the branch, no leg re-run (D-317)",RT09
L2-S 5,L2-S,5,Outside-air temperature sensor,,,16,GRY,CAPPED,"L2-OAT 1 — the outside-air sensor receptacle ahead of the radiator, dust-capped; the thermistor's other lead grounds at the front star (D-256 → D-329, D-274)",RT06
L2-S 6,L2-S,6,,,,,,PLUG,"Sealing plug, size 16 — the heated-nozzle / de-icer feed is cancelled and the L2-NZL receptacle is not fitted (D-329, supersedes D-256)",
L3-P 1,L3-P,1,Blower motor +,O16,,12,RED,CAPPED,"L3-BLW 1 — the blower receptacle at the HVAC case (DTP-2), dust-capped; no motor this build (K-023 · D-253)",
L3-P 2,L3-P,2,Comfort bus,O15,,12,RED,CAPPED,"L3-CMF 1 — the comfort-bus receptacle behind the centre stack, dust-capped; the luxury package's fuse block plugs in (D-274)",RT11
L3-BLW 1,L3-BLW,1,Blower motor +,L3-P 1,,12,RED,CAPPED,Dust-capped receptacle at the HVAC case — the replacement motor plugs in with the luxury package (K-023 · D-253),
L3-BLW 2,L3-BLW,2,Blower motor − (return),GND,,12,BLK,CAPPED,"Return to the dash ground, 12 AWG (G15) — the low-side final stage (≥ 20 kHz, its own freewheel diode) plugs in here as an adapter between receptacle and motor (D-257)",
L3-M 1,L3-M,1,Accessory — head unit ACC + USB-C,O10,,14,ORN,LIVE,Head unit red (ACC) wire; USB-C module +,
L3-M 2,L3-M,2,Head unit memory / constant,F1,,14,RED,LIVE,Head unit yellow (BATT) wire,
L3-S1 1,L3-S1,1,Key ladder,A16,,16,GRY,LIVE,"Ignition switch: ACC → 33 kΩ · IG → 15 kΩ · ST → 6.8 kΩ, all summed onto this wire",
L3-S1 2,L3-S1,2,Headlight ladder,A15,,16,GRY,LIVE,Light switch E-01: PARK → 33 kΩ · HEAD → 15 kΩ · DIMMER-HI → 8.2 kΩ (fed from the HEAD side) · PASS → 3.3 kΩ,
L3-S1 3,L3-S1,3,Turn stalk ladder,A1,,16,GRY,LIVE,"Stalk F-02: LEFT 1.8 kΩ · RIGHT 10 kΩ · OFF 47 kΩ, contacts to column ground",
L3-S1 4,L3-S1,4,Wiper stalk ladder,A2,,16,GRY,LIVE,Stalk D-03: HIGH 4.7 kΩ · LOW 10 kΩ · INT 18 kΩ · OFF 47 kΩ · WASH 1.8 kΩ + 1N5819 (band toward the contact),
L3-S1 5,L3-S1,5,Brake pedal switch,A3,,16,GRY,LIVE,Pedal switch F-11 through 4.7 kΩ; other terminal → dash ground,
L3-S1 6,L3-S1,6,Hazard switch,A8,,16,GRY,LIVE,Hazard contact through 4.7 kΩ; 47 kΩ baseline to column ground at the switch (D-368) - a break in the horn/wink branch reads as those never pressed; other terminal → column ground,
L3-S1 7,L3-S1,7,Brake — wake source,WAKE 6,,16,BLU,LIVE,"Spare P084 adjustable plunger switch on the brake pedal, fed from the F3 switch supply branched off L3-S2 2 in the leg through F24 (D-278, D-412)",
L3-S1 8,L3-S1,8,Illumination bus,O20,,16,RED,LIVE,"Dash illumination lamps E-06, E-07, E-10 (RL) + head unit illumination wire",
L3-S1 9,L3-S1,9,Wink LEFT — NC pole,K2 85,,16,BLU,LIVE,Wink L switch NC terminal; switch common → dash ground,
L3-S1 10,L3-S1,10,Wink RIGHT — NC pole,K1 85,,16,BLU,LIVE,Wink R switch NC terminal; switch common → dash ground,
L3-S1 11,L3-S1,11,Horn + wink request,A8,spliced at the post,16,GRY,LIVE,Horn pad through 8.2 kΩ · wink L NO through 18 kΩ · wink R NO through 33 kΩ — three resistors joined onto this wire,
L3-S1 12,L3-S1,12,ACC — wake source,WAKE 1,,16,BLU,LIVE,Ignition switch ACC terminal (raw 12 V),
L3-S2 1,L3-S2,1,RUN — wake source,WAKE 2,,16,BLU,LIVE,Ignition switch IG terminal (raw 12 V),
L3-S2 2,L3-S2,2,Switch supply +12 V,F3,,16,PNK,LIVE,"Ignition switch B terminal · light switch E-01 common through F24, the inline fuse on the branch behind the column (D-412)",
L3-S2 3,L3-S2,3,Window DRV up command,,,16,BLU,CAPPED,"Terminates in DP-DCU-B, the DT06-12S plug at the DCU in the centre stack (luxury D-362); the panel is the DCU's faceplate (D-350). The L3-WIN console receptacle is deleted - the switch pack moved to the centre panel with every other key",RT11
L3-S2 4,L3-S2,4,Window DRV down command,,,16,BLU,CAPPED,"Terminates in DP-DCU-B, the DT06-12S plug at the DCU in the centre stack (luxury D-362); the panel is the DCU's faceplate (D-350). The L3-WIN console receptacle is deleted - the switch pack moved to the centre panel with every other key",RT11
L3-S2 5,L3-S2,5,Window PASS up command,,,16,BLU,CAPPED,"Terminates in DP-DCU-B, the DT06-12S plug at the DCU in the centre stack (luxury D-362); the panel is the DCU's faceplate (D-350). The L3-WIN console receptacle is deleted - the switch pack moved to the centre panel with every other key",RT11
L3-S2 6,L3-S2,6,Window PASS down command,,,16,BLU,CAPPED,"Terminates in DP-DCU-B, the DT06-12S plug at the DCU in the centre stack (luxury D-362); the panel is the DCU's faceplate (D-350). The L3-WIN console receptacle is deleted - the switch pack moved to the centre panel with every other key",RT11
L3-S2 7,L3-S2,7,"Future module +12 V constant (F13, block A, always-hot)",F13,,16,RED,CAPPED,"L3-MOD 1 — the future-module receptacle behind the dash, dust-capped (D-274)",
L3-S2 8,L3-S2,8,Future module ground,GND,,16,BLK,CAPPED,L3-MOD 2 — with cavity 7 (D-274),
L3-S2 9,L3-S2,9,Washer relay K12 coil return,K12 85,,16,BLU,LIVE,Wiper stalk D-03 WASH contact (same terminal as the WASH ladder leg); contact's other side → column ground,
L3-S2 10,L3-S2,10,Courtesy — glove box lamp,F19,,16,RED,LIVE,Glove box lamp H-01 +; lamp − → lid switch H-02 → dash ground,
L3-S2 11,L3-S2,11,Parking brake switch → brake warning lamp,,,16,GRY,LIVE,Parking brake switch C-04 terminal BR (switch body grounds through the lever bracket),
L3-S2 12,L3-S2,12,Kick-down switch supply +12 V,F21,,16,RED,LIVE,"Kick-down switch B-32 at the throttle pedal, one terminal. Ignition-fed off O12 through its own inline fuse - never off F3, whose 5 A also carries the ignition switch, the light switch and the wake stages (D-320 / W-320)",
L3-S3 1,L3-S3,1,Future pass-through A,,,16,GRY,CAPPED,"L3-RDR 1 — the radar pass-through's dash-end receptacle, dust-capped; linked at the post to L4-S 5 (D-274)",
L3-S3 2,L3-S3,2,Future pass-through B,,,16,GRY,CAPPED,"L3-RDR 2 — the radar pass-through's dash-end receptacle, dust-capped; linked at the post to L4-S 6 (D-274)",
L3-S3 3,L3-S3,3,Future pass-through C,,,16,GRY,CAPPED,"L3-RDR 3 — the radar pass-through's dash-end receptacle, dust-capped; linked at the post to L4-S 7 (D-274)",
L3-S3 4,L3-S3,4,Kick-down solenoid command,L3-S2 12,through the switch,16,RED,LIVE,"Kick-down switch B-32, other terminal → back to the post, linked there to L4-S2 7. L3-S2 had one free cavity and this is the second conductor, so it takes the first free L3-S3 position",
L3-S3 5,L3-S3,5,Mirror motor common (both mirrors),DCU,DCU half-bridge,16,GRY,CAPPED,"Terminates in DP-DCU-B, the DT06-12S plug at the DCU in the centre stack, plugged into the DCU at E26 (D-360, luxury D-362, D-374); capped at the far end until the luxury package fits the mirrors; linked at the post to L4-S2 1. Motor stall current is confirm - W-332",RT11
L3-S3 6,L3-S3,6,Mirror LEFT motor,DCU,DCU half-bridge,16,GRY,CAPPED,"Terminates in DP-DCU-B, the DT06-12S plug at the DCU in the centre stack, plugged into the DCU at E26 (D-360, luxury D-362, D-374); capped at the far end until the luxury package fits the mirrors; linked at the post to L4-S2 2. Motor stall current is confirm - W-332",RT11
L3-S3 7,L3-S3,7,Mirror RIGHT motor,DCU,DCU half-bridge,16,GRY,CAPPED,"Terminates in DP-DCU-B, the DT06-12S plug at the DCU in the centre stack, plugged into the DCU at E26 (D-360, luxury D-362, D-374); capped at the far end until the luxury package fits the mirrors; linked at the post to L4-S2 4. Motor stall current is confirm - W-332",RT11
L3-S3 8,L3-S3,8,Mirror clutch coils (both mirrors),DCU,DCU low-side driver,16,GRY,CAPPED,"Terminates in DP-DCU-B, the DT06-12S plug at the DCU in the centre stack, plugged into the DCU at E26 (D-360, luxury D-362, D-374); capped at the far end until the luxury package fits the mirrors; linked at the post to L4-S2 3 and L4-S2 5, spliced there. Motor stall current is confirm - W-332",RT11
L4-P 1,L4-P,1,Rear defog grid,O4,,12,RED,LIVE,Grid G-25 terminal LG; grid terminal B → rear star ground (12 AWG),
L4-P 2,L4-P,2,Fuel pump +,O5,,12,RED,LIVE,Carter P4070 + ; pump − → its OWN 12 AWG to the rear star ground,
L4-P 3,L4-P,3,Window motor bus feed,O1,splice,12,RED,CAPPED,"Lands at the sill node — the K5–K8 contact feed through the F8 / F9 holders, fitted empty (D-283); the node is this branch's end (D-274)",RT19
L4-P 4,L4-P,4,"Mirror heat feed → sill (F14), switched by the DCU",DP-DCU-B 9,linked at the post: the DCU's 16 AWG high-side line onto this 12 AWG run (D-369),12,RED,CAPPED,"Lands at the sill node in F14's holder, fitted empty (D-283) — this branch's end (D-274). Fed from the DCU's high-side mirror-heat switch through DP-DCU-B 9 (D-369, as D-254 meant), no longer the O15 splice",RT19
L4-M 1,L4-M,1,Tail · licence · rear markers,O6,,14,ORN,LIVE,"Splice at the hatch → F-07 RG, F-08 RG, F-04 RG (×2), F-14 RG, F-15 RG",
L4-M 2,L4-M,2,Brake lamps,O7,,14,ORN,LIVE,"Splice → F-07 G, F-08 G",
L4-M 3,L4-M,3,Hatch release solenoid,K3 87,"through K3, which the DCU selects (D-370)",14,ORN,CAPPED,"The hatch-release solenoid's + terminal, through the hinge loop with the tail-lamp conductors — it exists and is believed to work (Camden 2026-09-08, DV48); the post end is capped until the luxury package fits the trigger (D-180; the K3 / K4 sockets are the slot) (D-274)",
L4-M 4,L4-M,4,Fuel-door release solenoid,K4 87,"through K4, which the DCU selects (D-370)",14,ORN,CAPPED,"The fuel-door solenoid's + terminal behind the quarter trim — it exists (Camden 2026-09-08, DV49; K-017 corrected); the post end is capped until the trigger (D-180) (D-274)",
L4-M 5,L4-M,5,Turn LEFT rear,O17,,16,RED,LIVE,"Rear combo F-07, terminal GR",
L4-M 6,L4-M,6,Turn RIGHT rear,O18,,16,RED,LIVE,"Rear combo F-08, terminal GO",
L4-M 7,L4-M,7,Reverse lamps,O19,,16,RED,LIVE,"Splice → F-07 RW, F-08 RW",
L4-M 8,L4-M,8,Interior lamp (PWM),F12,,16,RED,LIVE,Interior/spot lamp H-06 +; lamp − through its own DOOR/OFF/ON switch → roof-rail ground,
L4-M 9,L4-M,9,Window DRV up command → K5 coil,L3-S2 3,,16,BLU,CAPPED,"K5 socket, terminal 86 at the sill node — landed in the empty socket, which is this branch's end; the relay comes with the power windows (D-274)",RT19
L4-M 10,L4-M,10,Window DRV down command → K6 coil,L3-S2 4,,16,BLU,CAPPED,"K6 socket, terminal 86 at the sill node — landed in the empty socket, which is this branch's end; the relay comes with the power windows (D-274)",RT19
L4-M 11,L4-M,11,Window PASS up command → K7 coil,L3-S2 5,,16,BLU,CAPPED,"K7 socket, terminal 86 at the sill node — landed in the empty socket, which is this branch's end; the relay comes with the power windows (D-274)",RT19
L4-M 12,L4-M,12,Window PASS down command → K8 coil,L3-S2 6,,16,BLU,CAPPED,"K8 socket, terminal 86 at the sill node — landed in the empty socket, which is this branch's end; the relay comes with the power windows (D-274)",RT19
L4-S 1,L4-S,1,Fuel level sender,,,16,GRY,LIVE,Tank sender C-01 terminal Y; sender terminal B → rear star ground (16 AWG). Route apart from L4-P,
L4-S 2,L4-S,2,Door jamb switches — ladder,A6,,16,GRY,LIVE,"47 kΩ baseline from the sill splice to the sill ground, so all-doors-shut reads 47k and open means a break (D-368). Splice at the sill → driver jamb switch through 33 kΩ · passenger jamb switch through 8.2 kΩ; each switch grounds through its body",
L4-S 3,L4-S,3,Road speed — pulse generator signal,,,16,GRY,LIVE,"Pulse generator on the transmission's speedo-drive boss (DV47, P113), fitted at the meters cutover — signal; 18 in service loop in the tunnel (D-272)",
L4-S 4,L4-S,4,Road speed — pulse generator supply +12 V,O10,tap,16,RED,LIVE,"Pulse generator supply — an O10 tap (N73), so the sensor lives and dies with the ICU; sensor ground → rear star, G35 (D-272)",
L4-S 5,L4-S,5,Future pass-through A,L3-S3 1,,16,GRY,CAPPED,"L4-RDR 1 — the pass-through's rear-end receptacle at the rear node, dust-capped; the run up the hatch goes in with the sensor (D-274)",RT15
L4-S 6,L4-S,6,Future pass-through B,L3-S3 2,,16,GRY,CAPPED,"L4-RDR 2 — the pass-through's rear-end receptacle at the rear node, dust-capped; the run up the hatch goes in with the sensor (D-274)",RT15
L4-S 7,L4-S,7,Future pass-through C,L3-S3 3,,16,GRY,CAPPED,"L4-RDR 3 — the pass-through's rear-end receptacle at the rear node, dust-capped; the run up the hatch goes in with the sensor (D-274)",RT15
L4-S 8,L4-S,8,Courtesy — luggage lamp,F19,,16,RED,LIVE,Luggage lamp H-11 +; lamp − → lid switch H-12 → rear star ground,
L4-S2 1,L4-S2,1,Mirror motor common (both mirrors),L3-S3 5,linked at the post,16,GRY,CAPPED,"Capped at the post, on the DCU's line from L3-S3 (D-360); at the sill node spliced to D1 4 and D2 4 (D-255). Pin function inside the door is confirm - W-332",RT19
L4-S2 2,L4-S2,2,Mirror LEFT motor,L3-S3 6,linked at the post,16,GRY,CAPPED,"Capped at the post, on the DCU's line from L3-S3 (D-360); sill node → D1 5 (D-255). Pin function inside the door is confirm - W-332",RT19
L4-S2 3,L4-S2,3,Mirror LEFT clutch coil,L3-S3 8,spliced at the post,16,GRY,CAPPED,"Capped at the post, on the DCU's line from L3-S3 (D-360); sill node → D1 6 (D-255). Pin function inside the door is confirm - W-332",RT19
L4-S2 4,L4-S2,4,Mirror RIGHT motor,L3-S3 7,linked at the post,16,GRY,CAPPED,"Capped at the post, on the DCU's line from L3-S3 (D-360); sill node → D2 5 (D-255). Pin function inside the door is confirm - W-332",RT19
L4-S2 5,L4-S2,5,Mirror RIGHT clutch coil,L3-S3 8,spliced at the post,16,GRY,CAPPED,"Capped at the post, on the DCU's line from L3-S3 (D-360); sill node → D2 6 (D-255). Pin function inside the door is confirm - W-332",RT19
L4-S2 6,L4-S2,6,,,,,,PLUG,"Sealing plug, size 16 - the master-switch position sense is dropped and its conductor is not run (D-351, supersedes D-331). Camden: he is the only future owner, he will not open the master with the engine running, and he will not dig the tunnel up to add a wire he declined",
L4-S2 7,L4-S2,7,Kick-down solenoid command (tunnel),L3-S3 4,linked at the post,16,RED,LIVE,Kick-down solenoid B-33 on the transmission. Shares the RT21 tunnel run with the road-speed pair; the solenoid's other side is its factory ground on the case,
L4-S2 8,L4-S2,8,,,,,,PLUG,"Sealing plug, size 16",
D1 1,D1,1,Window motor leg A,K5 30,,14,RED,RESERVED,Pinned on the node side of the sill receptacle; sealing plug in the door plug — the door harness is built with the mirror and the window (D-274),
D1 2,D1,2,Window motor leg B,K6 30,,14,RED,RESERVED,Pinned on the node side of the sill receptacle; sealing plug in the door plug — the door harness is built with the mirror and the window (D-274),
D1 3,D1,3,,,,,,PLUG,"Sealing plug, size 16",
D1 4,D1,4,Mirror motor common,L4-S2 1,shared common,16,GRY,RESERVED,Pinned on the node side of the sill receptacle; sealing plug in the door plug — the door harness is built with the mirror and the window (D-274),
D1 5,D1,5,Mirror motor,L4-S2 2,,16,GRY,RESERVED,Pinned on the node side of the sill receptacle; sealing plug in the door plug — the door harness is built with the mirror and the window (D-274),
D1 6,D1,6,Mirror clutch coil,L4-S2 3,,16,GRY,RESERVED,Pinned on the node side of the sill receptacle; sealing plug in the door plug — the door harness is built with the mirror and the window (D-274),
D1 7,D1,7,Mirror heat,F14,,16,RED,RESERVED,Pinned on the node side of the sill receptacle; sealing plug in the door plug — the door harness is built with the mirror and the window (D-274),
D1 8,D1,8,Door ground,SILL-GND,,16,BLK,RESERVED,Pinned on the node side of the sill receptacle; sealing plug in the door plug — the door harness is built with the mirror and the window (D-274),
D2 1,D2,1,Window motor leg A,K7 30,,14,RED,RESERVED,Pinned on the node side of the sill receptacle; sealing plug in the door plug — the door harness is built with the mirror and the window (D-274),
D2 2,D2,2,Window motor leg B,K8 30,,14,RED,RESERVED,Pinned on the node side of the sill receptacle; sealing plug in the door plug — the door harness is built with the mirror and the window (D-274),
D2 3,D2,3,,,,,,PLUG,"Sealing plug, size 16",
D2 4,D2,4,Mirror motor common,L4-S2 1,shared common,16,GRY,RESERVED,Pinned on the node side of the sill receptacle; sealing plug in the door plug — the door harness is built with the mirror and the window (D-274),
D2 5,D2,5,Mirror motor,L4-S2 4,,16,GRY,RESERVED,Pinned on the node side of the sill receptacle; sealing plug in the door plug — the door harness is built with the mirror and the window (D-274),
D2 6,D2,6,Mirror clutch coil,L4-S2 5,,16,GRY,RESERVED,Pinned on the node side of the sill receptacle; sealing plug in the door plug — the door harness is built with the mirror and the window (D-274),
D2 7,D2,7,Mirror heat,F14,,16,RED,RESERVED,Pinned on the node side of the sill receptacle; sealing plug in the door plug — the door harness is built with the mirror and the window (D-274),
D2 8,D2,8,Door ground,SILL-GND,,16,BLK,RESERVED,Pinned on the node side of the sill receptacle; sealing plug in the door plug — the door harness is built with the mirror and the window (D-274),
DP-DIAG 1,DP-DIAG,1,CAN1 H,CAN1H,,16 tw,YEL,LIVE,Laptop port in the glovebox — 120 Ω across 1/2 inside the plug,
DP-DIAG 2,DP-DIAG,2,CAN1 L,CAN1L,,16 tw,GRN,LIVE,Laptop port,
DP-DIAG 3,DP-DIAG,3,+12 V constant,F2,,16,RED,LIVE,Laptop port,
DP-DIAG 4,DP-DIAG,4,Ground,GND,,16,BLK,LIVE,Laptop port,
DP-ICU-A 1,DP-ICU-A,1,+12 V switched — ICU logic,O10,tap,16,RED,LIVE,ICU tail A — the DT06-6S plug from the post into the ICU's DT13-06PA (D-270),
DP-ICU-A 2,DP-ICU-A,2,Illumination — the ICU's dimming reference,O20,,16,RED,LIVE,ICU tail A (D-270) — the display dims against the O20 bus,
DP-ICU-A 3,DP-ICU-A,3,Ground,GND,,16,BLK,LIVE,ICU tail A (D-270),
DP-ICU-A 4,DP-ICU-A,4,CAN2 H,CAN2H,,16 tw,YEL,LIVE,ICU tail A (D-270),
DP-ICU-A 5,DP-ICU-A,5,CAN2 L,CAN2L,,16 tw,GRN,LIVE,ICU tail A (D-270),
DP-ICU-A 6,DP-ICU-A,6,+12 V ignition — the display's backlight (F16),F16,,16,RED,LIVE,ICU tail A (D-270) — the display's backlight feed through the carrier (D-268),
DP-ICU-B 1,DP-ICU-B,1,Water temp sender,L1-S1 3,,16,GRY,LIVE,ICU tail B (D-270) — the ICU excites and reads the sender; the display draws it,
DP-ICU-B 2,DP-ICU-B,2,Oil-pressure node,L1-S1 4,A7 taps this node; 100 Ω 1 W to +5 V at the dash node (D-260),16,GRY,LIVE,ICU tail B (D-270) — a PMU-excited node the ICU reads (D-260); the display draws it,
DP-ICU-B 3,DP-ICU-B,3,Fuel level sender,L4-S 1,,16,GRY,LIVE,ICU tail B (D-270) — the ICU excites and reads the sender; the display draws it,
DP-ICU-B 4,DP-ICU-B,4,Tachometer pulse,L1-S1 6,shielded,16 sh,shielded,LIVE,ICU tail B (D-270) — read by the ICU,
DP-ICU-B 5,DP-ICU-B,5,Charge-lamp line (alternator L),L1-S2 8,,16,GRY,LIVE,ICU tail B (D-270) — read by the ICU; the display draws the CHARGE tell-tale,
DP-ICU-B 6,DP-ICU-B,6,Brake warning — fluid level + parking brake,L1-S2 1 + L3-S2 11,,16,GRY,LIVE,ICU tail B (D-270) — read by the ICU; the display draws one BRAKE tell-tale for both switches,
DP-ICU-B 7,DP-ICU-B,7,,,,,,PLUG,"Sealing plug, size 16 — the ICU's oil-temperature channel IC07 lands here when the swap's rebuilt leg brings a sender (D-264)",
DP-ICU-B 8,DP-ICU-B,8,Road speed — pulse generator signal,L4-S 3,,16,GRY,LIVE,ICU tail B (D-270) — channel IC08; pulses per mile is a config value (D-272),
DP-ICU-B 9,DP-ICU-B,9,Phase-2 sensor signal spare,L1-S2 11,,16,GRY,CAPPED,The ICU's spare input (DT13 pin 9) — nothing reads it until the swap brings a sensor; wired to L1-S2 11 at the post (D-271),
DP-ICU-B 10,DP-ICU-B,10,Turn LEFT tell-tale sense,O17,tap,16,RED,LIVE,ICU tail B (D-270) — the tell-tale follows the real lamps (D-258); the display draws it,
DP-ICU-B 11,DP-ICU-B,11,Turn RIGHT tell-tale sense,O18,tap,16,RED,LIVE,ICU tail B (D-270) — the display draws it,
DP-ICU-B 12,DP-ICU-B,12,High-beam tell-tale sense,O3,tap,16,RED,LIVE,ICU tail B (D-270) — the display draws it,
DP-DCU 1,DP-DCU,1,+12 V constant - DCU logic,F22,,16,RED,LIVE,"In the DT06-6S plug at the end of the tail to the centre stack, plugged into the DCU at E26, live from install (luxury D-362, D-374). CONSTANT, not switched: the DCU has to be alive with the key out to see a panel press and pull the wake line (D-350). It was an O10 tap until then",
DP-DCU 2,DP-DCU,2,Outside-air temperature (from L2-S 5),L2-S 5,,16,GRY,LIVE,"In the DT06-6S plug at the end of the tail to the centre stack, plugged into the DCU at E26, live from install (luxury D-362, D-374) (D-256 → D-329)",
DP-DCU 3,DP-DCU,3,Ground,GND,,16,BLK,LIVE,"In the DT06-6S plug at the end of the tail to the centre stack, plugged into the DCU at E26, live from install (luxury D-362, D-374)",
DP-DCU 4,DP-DCU,4,CAN2 H,CAN2H,,16 tw,YEL,LIVE,"In the DT06-6S plug at the end of the tail to the centre stack, plugged into the DCU at E26, live from install (luxury D-362, D-374)",
