id,msg,bytes,field,encoding,note
0x320/2,0x320,2,Direction,0 unknown · 1 front · 2 rear,
0x320/3–6,0x320,3–6,reserved,,
0x320/7,0x320,7,counter,,
0x400/0,0x400,0,"Keys down, first eight",bitfield: b0 defog · b1 hatch release · b2 fuel-door release · b3 HVAC mode · b4 recirculate · b5 window DRV up · b6 window DRV down · b7 window PASS up,"1 while the key is held (F-016); the order is the panel's key matrix, H-007"
0x400/1,0x400,1,"Keys down, the rest",bitfield: b0 window PASS down · b1 mirror thumbstick press · b2-7 reserved,the thumbstick press is also read locally - it toggles LEFT / RIGHT (D-359); it is here for logging
0x400/2,0x400,2,"Held ≥ 1 s, first eight","bitfield, same bits as byte 0",
0x400/3,0x400,3,"Held ≥ 1 s, the rest","bitfield, same bits as byte 1",
0x400/4–6,0x400,4–6,reserved,,
0x400/7,0x400,7,counter,,
0x180 ext/0–1,0x180 ext,0–1,Lambda,"uint16, 0.0001 λ per bit, big-endian — 0 to 6.5535",AFR = λ × 14.65 (gasoline); confirmed D-266
0x180 ext/2–3,0x180 ext,2–3,Oxygen,"int16, 0.001 % per bit, big-endian — −32.768 to 32.767 %",confirmed D-266
0x180 ext/4,0x180 ext,4,System voltage,"uint8, 0.1 V per bit — 0 to 25.5 V",the gauge's own supply reading; confirmed D-266
0x180 ext/5,0x180 ext,5,reserved (AEM),,
0x180 ext/6–7,0x180 ext,6–7,Flags (AEM),byte 6: bit 1 LSU4.9 detected · bit 5 free-air cal in use · bit 7 lambda data valid; byte 7: bit 6 sensor fault; other bits reserved,"no rolling counter — AEM's frame, not ours; render dashes unless valid = 1 and fault = 0 (D-153); confirmed D-266"
