id,stage,stage_title,item,owner,state,gate,note,track,reply,choices,unit,result,settles
V-075,V,"Carried from the v2 question list, 2026-09-11",Does the PMU have a native shutdown delay that makes the O22 self-hold latch unnecessary?,agent,done,,"Answered from the manual 2026-09-12: YES. Section 16.7 Delayed turn off gives Turn off minimum time, Turn off maximum time and a Turn off channel, and it needs exactly the separate battery / switched-12 V wiring this design already has. So the KEEP_ALIVE self-hold EXPRESSION can move into the panel. Nothing else does: O22's diode into the wake strip and its drive to K11 stay as drawn, because the panel replaces logic, not a conductor, and removing either would be a wiring change nobody asked for. The one number the manual does not give is the maximum-time range, and D-248 needs 30 minutes - that is CK06 in the client at section 5.4.",design,,,,,
V-052,V,"Carried from the v2 question list, 2026-09-11",The Ionic's heater trigger and winter draw,agent,open,W-330b,"Half answered 2026-09-12, and the half that matters is the good half. Self-heating LiFePO4 packs of this class draw the heater from an ACTIVE CHARGING SOURCE only - roughly -20 to +5 C on, off at +10 C - and take nothing from the pack when no charger is connected, so on this car the heater is NOT on the sleeping budget and V-052's premise dissolves. That is vendor-class behaviour, not Ionic's own sheet, which does not publish the S9H's figures: 00-CAR SP-233 carries it as unverified and the ask rides along with W-330b. Published and now recorded: 14.6 V ceiling (SP-231), 8.0 V cut-off (SP-232), -20 to 60 C operating.",design,,,,,
W-320,V,"Carried from the v2 question list, 2026-09-11","Assign the kick-down conductors, cavities and fuse (D-320)",agent,done,,"Assigned 2026-09-12. Three conductors and one fuse: F21, a 5 A sealed inline off O12 at the dash node (never off F3, whose 5 A also carries the ignition switch, the light switch and every wake stage) → L3-S2 12 to the pedal switch B-32 → L3-S3 4 back to the post → linked → L4-S2 7 down the tunnel to the solenoid B-33, which grounds on its own case. Devices DV50 / DV51; parts P137 for the holder. It rides the RT21 tunnel run with the road-speed pair, so the tunnel still opens once.",design,,,,,
W-322,V,"Carried from the v2 question list, 2026-09-11",Write the one-page PMU emergency procedure (D-322),agent,done,,"Written 2026-09-12 as the `recovery` table, ten rows, RC01-RC10 - a table and not a document, so it stays inside the record and prints from it. Two parts rows: P138 the USB-to-CAN cable, P139 the three-holder glovebox kit. One thing the procedure could not settle on its own and it is now a block: with a dead module the brake lamps on a direct busbar feed are ON CONSTANTLY, because the pedal switch is a signal-level ladder contact that cannot carry lamp current. That is block 00.16.",design,,,,,
W-329,V,"Carried from the v2 question list, 2026-09-11",Recompute the 16 AWG RED wire schedule after L2-S 6 comes out (D-329),agent,open,G13,"Cannot be recomputed yet, and the reason is worth writing down: the cavity table carries no lengths, so the ~510 ft figure D-256 quoted was never derived from it - it was D-202's hand estimate at 1.5x. `routes` is the table that fixes that and M-2 fills it. D-329 said this number is recomputed from the wire schedule and never by hand here, so it waits. If it does drop under the 500 ft spool, P009 leaves the cart.",design,,,,,
W-330,V,"Carried from the v2 question list, 2026-09-11",Specify the ESP32-C3 Ionic BLE reader (D-330),agent,done,,"Specified 2026-09-12 on IC24: passive advertisement scan for pack millivolts, an FFE1 GATT client for the type-01 cell frame, never a write and never FFE7 or any DFU characteristic. The ICU publishes 0x220 and 0x221 at 2 Hz - pack and four cell voltages, a spread, and freshness flags. Current, state of charge and temperature have no source and are NOT published as zero: a zero on the bus is a number and someone will believe it. W-330b is the ask that would change that.",design,,,,,
W-330b,V,"Carried from the v2 question list, 2026-09-11","Ask Ionic for the BLE protocol map for the IC-12V40-S9H, and for the S9H heater's own figures",camden,open,,"Ask for the frame map on FFE0/FFE1: message types beyond 0x01, the command set for requesting current and state of charge, and the scale factors. Say the pack is an IC-12V40-S9H and that the type-01 cell frame already decodes at ~1.43 mV/count. This is what turns D-330 from voltage-only into the full picture without a shunt.  **Second ask, added 2026-09-12 (V-052):** at what temperature the S9H's heater turns on and off, how much it draws, and whether it can draw from the pack itself or only from an active charging source. Self-heating packs of this class only heat while charging, which would take the heater off the sleeping budget entirely - but Ionic publishes nothing for the S9H, so it is unverified (00-CAR SP-233). One email, two answers. **Third ask, added 2026-09-23 (risk review, D-386):** below about 0 C a LiFePO4 must not take charge - does the S9H's BMS then only refuse charge current, or does it disconnect the pack from the car altogether? If it disconnects while the engine runs, the alternator is suddenly unloaded (a load dump the P136 TVS exists for) and the car runs with no battery behind it.",design,,,,,
W-331,V,"Carried from the v2 question list, 2026-09-11",Allocate the PMU input for the master-switch position sense (D-331),agent,done,,"Completed 2026-09-12 and it ends in a block, exactly as D-331 said it might. The inputs table now describes the module's real channel set: A1-A8 are the eight dedicated 0-5 V inputs and all eight are used (A7 was simply missing from the table and is added); A9-A16 share their pins with outputs O17-O24, and this design runs A9-A14 as O17-O22 and A15 / A16 as the two 12 V ladders. All 39 positions are allocated: no free input and no free output. So the master-switch position sense has nowhere to land and which channel gives way is block 00.14. The L4-S2 6 conductor stays as drawn until that is answered; the TVS is unaffected.",design,,,,,
A8,A,"At the desk, now — no car, no parts","Route the DCU's mirror lines to L4-S2 1–5 at the post, as block 00.19 rules",agent,done,D-360,"Done 2026-09-21 by D-360: L3-S3 5–8 carry common, left motor, right motor, and the shared clutch line; linked at the post to L4-S2 1, 2, 4 and spliced onto L4-S2 3 and 5. P028 sealing plugs 84 → 76. The added footage is G13's to derive",design,,,,,
A9,A,"At the desk, now — no car, no parts","De-duplicate conductors held in both grounds and cables (G24/C05, G34/C11, G01/C06/B6): one home each (R2)",agent,done,,"Done 2026-09-21: G24 (= C05, 4 ft vs 3 ft), G34 (= C11) and G01 (= C06) deleted from grounds; cables is the one home for the heavy battery and bond conductors, which is also what the cart counts from (P062, P097). backbone B5-B7 stay - they explain the architecture and name no length.",design,,,,,
C4,C,"The measurement day — interior apart once, before anything is cut","Measure the space behind the binnacle for the ICU enclosure — length, width, depth, mm",camden,open,S1,"The cad guide's A0 #3. F1 draws the enclosure to fit it - measured, never estimated (R11)",design,value,,"mm, length x width x depth",,
E2,E,"Then the install plan, in its own order",Read the factory odometer at the meters cutover (MG22) and record it,camden,open,F3 phase:SOURCING,"Before the factory cluster goes dark at MG22 - the ICU's own odometer (D-269) starts from this figure. MG22 waits on the display proven on the bench, which is F3",build,value,,mi,,
A10,A,"At the desk, now — no car, no parts",Re-derive wake stages 1 (A6 door) and 2 (A8 horn/hazard/wink) with the new 47 kΩ baselines (D-368),agent,done,D-375,"Done 2026-09-22 (D-381): the values are the new wake_stages table - excitation 220k switched off while awake by Q0 on O22, sense 1M / 560k, a 1 µF edge into a 470k-held follower with a base clamp, ~0.4 s pulse. Parts from P072 / P069 / P071 / P158, nothing new to buy. Every value confirm until CK12 measures the three unknowns, (iii) sizing the capacitor.",design,,,,,
E3,E,"Then the install plan, in its own order","Carry the archived install procedure into stage-E work rows, one per step (D-372)",agent,done,,"Done 2026-09-21: the archived INSTALL.md is E4-E34 (safety E4; bench prep E5-E7; backbone E8-E12; dash node E13-E19; legs E20-E23; install and migrate E24-E29; factory harness out E30; shakedown E31-E34), brought up to date with every ruling since (D-319, D-321, D-329, D-346, D-350, D-352, D-355, D-362, D-367-D-370). Appendix A is rules label-format, the device-end rule is rules device-end, Appendix C is the migration table. The measurement day stays C1/C4, crimp coupons D4, the ICU bench build F1-F4",build,,,,,
E4,E,"Then the install plan, in its own order","Read the safety rules once, properly, before the first tool touches the car",camden,open,D1 D4 C1 B1 phase:SOURCING,"The battery is lithium: boot or tape both terminals whenever you work, rings and watches off - a dropped tool welds. Open the master disconnect before touching the 2 AWG feed, the starter cable, the tank sender or the pop-up buckets. It is on the POSITIVE side (D-319), so opening it removes supply from everything, the starter cable included; before it is fitted, pull the negative lug. Jack stands always, wheels chocked (P is not a parking brake). No sparks near the tank; extinguisher within reach. Engine running: belt/fan clear, garage door open (CO). Pop-ups move fast and a stalled motor pulls 15-25 A. Label the factory end of every migrated circuit MIGRATED + date.",build,,,,,
E5,E,"Then the install plan, in its own order",Deutsch and heat-shrink practice on scrap,camden,open,E4 phase:SOURCING,Insert and remove a contact from a spare housing ten times with the removal tool (P031/P032); fit and pull the wedgelock - a contact must click and not back out under a firm tug. Adhesive heat-shrink until the glue weeps evenly at both ends; one lug with heavy-wall shrink and a boot.,build,,,,,
E6,E,"Then the install plan, in its own order",Set up the label printer and print the node labels,camden,open,E5 phase:SOURCING,"Format: rules label-format. Print TEST / L0-X0, wrap it on a 16 AWG offcut, clear heat-shrink over it, tug it. Then print the node labels from the label columns: rx7.py sql 02-PROJECTS/01-electrical ""select id,label from relays"" and ""select id,label from fuses"".",build,,,,,
