id,stage,stage_title,item,owner,state,gate,note
D1,D,When the parts arrive,Count everything against shopping list §10.,camden,open,,
D2,D,When the parts arrive,"Fit-check the battery retention, the post terminals and the boots",camden,open,,including whether a boot lifts by hand with the terminal stack loaded (D-235's whole point).
D3,D,When the parts arrive,"Confirm the two spare 39-way housings carry full terminal sets (16 large, 27 small each)",camden,open,,they are the spares.
D4,D,When the parts arrive,Install §1: crimp coupons and pull tests on every crimper before any real crimp,camden,open,,including the 1/0 dies on the hydraulic crimper (D-246 added two 1/0 runs).
E1,E,"Then the install plan, in its own order","§2 backbone (one weekend, car drives home) · §3 dash node (bench) · §4 legs (bench) · §5 install and migrate (one circuit per sitting) · §6 factory harness out · §7 shakedown.",camden,open,,
F1,F,The ICU — built and commissioned on the bench before the harness goes in (D-259),Draw the enclosure,agent,open,,"— D-270: the board outline with the two DT13 flanges on one face, grommets on the other, the antenna window; printed in ASA / PETG (CSU's makerspace or a print service). Agent draws, Camden prints."
F2,F,The ICU — built and commissioned on the bench before the harness goes in (D-259),Order the BT817 eval board (P117) now — before the layout — then lay out carrier H-001 around the DT13 headers and order it,camden,open,,"with the §6b parts (P122 the DT13s); the display header, the PSRAM, the IMU and the radio go on together."
F3,F,The ICU — built and commissioned on the bench before the harness goes in (D-259),Build it and bring up the display chain on the bench,camden,open,,"— install §1.21–1.23: eval board and DRIVE page first, the chain-(ii) panel after M-1 sizes the aperture, `V-084` timings, the odometer persisting in EEPROM and on the card (D-269). MG22 waits for this box; nothing else does."
F4,F,The ICU — built and commissioned on the bench before the harness goes in (D-259),Land `F-012`,camden,open,,"(the `can_map.h` bump, luxury `BRING-UP.md` §1) on a machine with g++ before anything is flashed for the car."
G1,G,What production cars that wire this way do better — the agent's improvement list,"Every output's current is a diagnostic (Tesla, BMW FRM)",agent,open,,"Production eFuse controllers read bulb-out, a tired motor and a seizing pump from the current trace — this PMU logs the same trace and the design only uses it once, to set the soft fuses (D-025). *Change:* a `healthy_a` band per output in `pins.csv`, recorded at shakedown, and PMU logic rows that flag a lamp channel reading under half its baseline or a motor over 1.5× it — a warning bit on `0x1xx` the ICU shows. Agent: the columns, the rows, the shakedown box. No hardware."
G2,G,What production cars that wire this way do better — the agent's improvement list,"Retry policy by load class (Tesla eFuses, MoTeC / AiM practice)",agent,open,,"One retry rule for everything (""3 retries, 5 s"") is a fuse-box habit. Lamps and motors can retry; a fuel pump or ignition that trips should retry once and then stay off until the key cycles; a wiper that stalls in snow should retry more, slower. *Change:* a `retry` column per output in `logic.csv` / the config sheet, three classes. Agent."
G3,G,What production cars that wire this way do better — the agent's improvement list,A shorted MOSFET is an output stuck ON — decide what that means for each safety load (motorsport PDM practice),agent,open,,"A relay fails open; a high-side FET fails short, and the load runs with the key out. The negative disconnect (D-245) is the hard kill and the answer for the driveway; the question is what the *car* does for FUEL_PUMP, IGNITION, START and HEAD. *Change:* read the PMU manual (`01-REFERENCE/PMU_info/PMU_Manual.pdf`) for whether a stuck output is detected and reported; add a shakedown card line — ""disconnect open before any work"" — and, if the manual is silent, decide whether O5 (fuel pump) gets a series relay off the key's RUN ladder as the one hardware back-stop. Agent reads; Camden rules on the relay."
G4,G,What production cars that wire this way do better — the agent's improvement list,"The 12 V budget needs a meter on the battery, not just on the outputs (BMW IBS)",agent,open,,"BMW's power management measures total current at the negative post, computes state of charge and sheds loads on quiescent draw it did not expect. This design measures PMU channels only — nothing sees the standalone amplifier, the Ionic's own heater or a leak elsewhere — and its 150 mA sleeping figure (V-052) is quoted, not measured. *Change:* (a) read the PMU's real sleep current from the manual and compute days-to-BMS-cutoff against the Ionic's capacity — agent, now; (b) a clamp-meter box at shakedown on the negative cable, engine off, 1 h after key-off — install plan; (c) *Camden's call, now `Q-128`:* a Bluetooth shunt (Victron SmartShunt class, ~$130) on the negative between the disconnect and the post — the one instrument that turns D-248's rules into numbers the ICU can read and the PMU can log; the space for it is decided at M-4."
G5,G,What production cars that wire this way do better — the agent's improvement list,Charging voltage against a lithium battery (Porsche / BMW lithium starter options),agent,open,,"Lithium starter batteries want the regulator's set-point checked against the cell chemistry's ceiling, and low-temperature charging inhibited (the Ionic's heater is that). *Change:* install 2.14 records the alternator's regulated voltage at 2000 rpm, warm; the Ionic's maximum charge voltage goes into `00-CAR/specs` from its sheet; if the alternator sits above it, the fix is the regulator, not the battery. Agent adds the box and the spec row; the reading is the car's."
G6,G,What production cars that wire this way do better — the agent's improvement list,Wake sources are enumerated and every module that must work with the key out has one (Mercedes / BMW wake-on-CAN),agent,open,,"The wake strip has six inputs and six are used (ACC, RUN, door stage, horn / hazard / wink stage, brake, the O22 latch). The luxury panel on `DP-KEY` is fed from O10 — accessory-switched — so a hatch-release or fuel-door key on it cannot work with the key out, and nothing can wake the PMU from the panel. *Change:* decide now, while `DP-KEY` is a DT-4 in a cart: either (i) those two keys stay hardwired to the wake strip like the winks (a seventh diode; two conductors from the panel position), or (ii) `DP-KEY` becomes a DT-6 with a constant feed and a wake line. Cheap today, a dash-out job later. **Camden's call** — it is the same class of question as Q-108 was for the brake."
G7,G,What production cars that wire this way do better — the agent's improvement list,Module placement vs water (the Mercedes rear-SAM failure),agent,open,,"The classic SAM failure is water down a tail-lamp seal or a blocked drain into the module. FBs leak at the cowl seam and the windscreen; the dash node sits in the footwell under both. *Change:* M-1 gains a look — where does water go when the cowl drains block? — and install §3 gains a rule: every conductor enters the PMU and the panels from below or with a drip loop, nothing sits in the lowest 50 mm of the footwell, the 39-way faces down or sideways. Agent adds; the look is M-1's."
G8,G,What production cars that wire this way do better — the agent's improvement list,Bundled derating (OEM terminal practice),agent,open,,"OEMs run sealed 1.5 mm contacts at ~10 A continuous in a loom, not their 13 A rating. D-232 lets 16 AWG sit at exactly 13.0 A. *Change:* list every 16 AWG conductor whose channel is enabled above 10 A and check each is a tap (fault current only) or a short run; anything continuous at 13 A moves to 14 AWG. Agent — a query, then perhaps two rows."
G9,G,What production cars that wire this way do better — the agent's improvement list,"Sensor returns and ground offset (OEM single-wire senders, same weakness)",agent,open,,"The water-temp and oil senders return through the engine block; the ICU and the PMU read them against the dash ground. Under cranking or full alternator load the block-to-dash offset is tens of millivolts — a few degrees on the temperature curve. *Change:* a shakedown box — measure block ground to GND bus at idle and at full load; if over 50 mV the swap's rebuilt leg gets a dedicated sensor return, which costs nothing to decide now. Agent adds the box and the hand-over row."
G10,G,What production cars that wire this way do better — the agent's improvement list,The fuse-lid map (Toyota / Lexus junction blocks),agent,open,,"Every OEM box carries its map on the lid; here the map is a config sheet in a binder. *Change:* a rendered one-page card — output → circuit → soft-fuse limit → what trips it — printed and laminated, one at the dash node, one in the glovebox with the laptop port. Agent: a template and a view; it is derived, so it can never be wrong."
G11,G,What production cars that wire this way do better — the agent's improvement list,CAN and ignition routing (OEM EMC practice),agent,open,,The engine leg carries the CAN2 drop and the tach line past the coils and igniters. *Change:* a routing rule in install §4 for L1 — the twisted pair and the shielded tach cross the coil leads at 90° and never run alongside them within 50 mm; the same for the CAN pair past the blower and wiper motors at the dash. Agent.
G12,G,What production cars that wire this way do better — the agent's improvement list,Spare capacity (motorsport PDM practice: 10–15 % spare channels),agent,open,,"All 22 outputs are allocated (two to the swap) and all ten inputs; the expansion path is K3 / K4 empty sockets, the spare block-B fuse positions and the luxury package's O15 block. *Change:* write that path down in the design (§4) so the next feature does not start by asking for a channel that does not exist, and list the two channels that could be freed by merging (glovebox + luggage lamps; the two courtesy circuits) if it ever comes to it. Agent."
G13,G,What production cars that wire this way do better — the agent's improvement list,Wire footage is the one derived fact still typed (Rivian's lesson is that the wire count is the design),agent,open,,"Rivian cut 1.6 miles of wire by *measuring* what a zonal layout needed. This design's footage is a hand estimate at 1.5× (D-202); the tool could compute it from the cavity table and a route-length table once M-2 measures the routes. *Change:* a `routes.csv` (leg → grommet → node, feet) and a footage view feeding the WireBarn / Waytek lines — agent, after M-2."
G14,G,What production cars that wire this way do better — the agent's improvement list,Connector-side conventions written once (OEM harness drawings),agent,open,,"Every OEM harness print states the view convention (wire side / mating side) at the top; this design's cavity numbers are the housing's moulded numbers, but nothing says so in the wire tables. *Change:* one sentence at the head of `WIRE-TABLES.md` §C and the M-6 / T-017 sheets — ""cavity numbers are the numbers moulded into the housing, read from the wire side"". Agent, five minutes, prevents the classic mirror-image error."
Q-014,V,"Carried from the v2 question list, 2026-09-11",Dash envelope,camden,open,install M-1,"a measurement of the dash cavity -- — install M-1. The clear width, height and depth of the centre-stack cavity, the glovebox region and the floor under the dash on both sides; lever clearance; 60 mm behind the receptacles. Two riders now: where the wideband gauge hides, and whether its fixed sensor lead reaches the bung from there (D-244)."
Q-110,V,"Carried from the v2 question list, 2026-09-11",How long does the horn take from asleep?,camden,open,install 5.4,"a stopwatch measurement on a sleeping car -- Horn, hazard, wink — and now the brake (D-247 → D-278) — all work with the key out, and all of them work by *waking the module first*: the stage lifts pin 7, the PMU boots, decodes and drives the output. Nothing in the design says how long that takes, and the horn is the one control whose whole value is in its first 200 milliseconds. Measure it at §5.4 with a stopwatch and a helper: press the pad on a sleeping car, time until it sounds. Under ~200 ms, say nothing more about it. Over ~500 ms, decide whether the horn should hang off the always-hot busbar through its own relay instead — a change this build can still absorb and a finished car cannot. The brake is the same measurement and matters more."
Q-115,V,"Carried from the v2 question list, 2026-09-11","Road speed: the car may already have a signal, at the dash",camden,open,install M-6,"a check at the speedometer head with the cluster out -- The speedometer is cable-driven and there is no electronic speed signal in the design - a digital cluster needs one. But the 1982 component list carries a **vehicle speed switch (B-29)**: a reed switch **inside the speedometer head** that pulses to ground on a single `BR` wire. It fed cruise control, which D-097 deleted, so it is sitting there unused and **terminating behind the dash**. **Check at M-6**, with the cluster out anyway: find the `BR` wire at the speedometer head, confirm it pulses to ground as the cable turns, and count pulses per wheel revolution. If it checks out, road speed costs **one conductor** into a free `L3-S2 12` or `L3-S3` cavity and the tunnel run is deleted from the plan. If it does not, the fallback is an inline pass-through sensor at the transmission (3-wire Hall, 12 V square wave, keeps the mechanical sp"
V-081,V,"Carried from the v2 question list, 2026-09-11",Pop-up drive conductors,camden,open,teardown,"a look at the pop-up motor conductors -- — install M-3. Ohms R → case and RY → case at parked, half-raised and raised on each motor. One winding reached through different cam segments = bridge R and RY on the run feed; a winding on each at every position = R only, RY capped. This is the one measurement the pin plan waits on (D-186, D-199) — five minutes, before the L2 leg is pinned."
V-055,V,"Carried from the v2 question list, 2026-09-11",Sill space,camden,open,teardown,"a measurement of the sill space -- — install M-5. Does a 150 × 100 mm panel with the two door receptacles, the ground stud and four relay sockets fit behind the driver kick panel?"
V-088,V,"Carried from the v2 question list, 2026-09-11",Does everything fit the rear cargo bins?,camden,open,teardown,"a fit check in the rear cargo bins -- — install M-4. Mock it in cardboard: the battery at 170 × 230 × 190 mm plus boot height (D-239), the new standalone amplifier beside it (D-236), the Class-T block on the positive and the master disconnect now on the negative (D-245). Prove a hand can reach a post to jump-start the car with the boots on (D-235)."
V-002,V,"Carried from the v2 question list, 2026-09-11",Alternator output rating,camden,open,,"read the rating off the alternator tag -- The case reads only ""B"" / Mitsubishi. The 1980 and 1985 workshop manuals both give a 55 A Mitsubishi unit (`00-CAR/SPECS.md` SP-078, SP-079 — the 1985 part is A5T30574; the 1981–83 fiche lists N221-18-300R, SP-006); an enthusiast chart says 50 A for base cars (SP-080, unverified). Read the rating stamped on the case to settle which the 1982 GS automatic carries. Nothing in the harness depends on it — F18 is 100 A and the 6 AWG B+ cable carries 100 A — but the charging figures at install 2.14 cannot be called good or bad without it. It also feeds the D-179 no-charge diagnosis: D-198 rebuilt the excitation circuit, and this is the number that says whether a healthy unit is behaving."
T-017,V,"Carried from the v2 question list, 2026-09-11",Verify the connector pin letters in `01-REFERENCE/factory-circuits/` against the diagram scans,agent,open,,"compare the pin letters against the diagram scans - a document job -- The two-letter factory colours in design §12 are what a new wire lands on; a wrong letter there sends a conductor to the wrong terminal, and nothing downstream catches it — continuity testing proves the harness is built as drawn, not that the drawing is right. A desk check with the scans open, before the measurement day. This is the one remaining item where the *design* could still be wrong rather than merely unconfirmed."
V-075,V,"Carried from the v2 question list, 2026-09-11",Does the PMU have a native shutdown delay that makes the O22 self-hold latch unnecessary?,agent,open,,"the PMU datasheet answers it -- If the client offers a configurable power-down delay on pin 7, the `KEEP_ALIVE` output (pin 8, O22) and its wake-strip diode are redundant and K11 can be driven from that delay instead. Nothing in the harness changes either way — O22's wire is already at the dash node — only the config. Check in the client at §5.4; if yes, log it and simplify `03-INSTALL/PMU-CONFIG-SHEET.md` §4."
V-052,V,"Carried from the v2 question list, 2026-09-11",The Ionic's heater trigger and winter draw,agent,open,,"the Ionic datasheet answers it -- From the Ionic docs or app: at what temperature the heater runs, and what it draws. It sets the sleeping budget on a cold night — the PMU sleeps at ~150 mA; a heater that runs for hours does not. Nothing changes in the harness; this is a number for the owner."
W-320,V,"Carried from the v2 question list, 2026-09-11","Assign the kick-down conductors, cavities and fuse (D-320)",agent,open,,"D-320 rules the kick-down reproduced and operational. Needs: a dash-local conductor to the throttle-pedal switch B-32, a tunnel conductor to the transmission solenoid B-33, a protected feed, and devices rows for both. Assign against free L3/L4 positions and a block A fuse position. The tunnel is open once, so this lands before the L4 cut list is fixed."
W-322,V,"Carried from the v2 question list, 2026-09-11",Write the one-page PMU emergency procedure (D-322),agent,open,,"Feeding fuel pump, ignition and brake lamps directly from the busbar to get the car home with a dead PMU. Plus a parts row for the USB-to-CAN cable that lives in the car with the config file. Written before first power-up."
W-329,V,"Carried from the v2 question list, 2026-09-11",Recompute the 16 AWG RED wire schedule after L2-S 6 comes out (D-329),agent,open,,"D-256 added the 50 ft WireBarn cut P009 because the family calculated at ~510 ft against a 500 ft spool, with L2-S 6 in the total. Recompute from the cavity table; if the family is now under the spool, P009 leaves the cart."
W-330,V,"Carried from the v2 question list, 2026-09-11",Specify the ESP32-C3 Ionic BLE reader (D-330),agent,open,,"Passive advertisement scan for pack mV plus an FFE1 GATT client for the type-01 cell frame (7E 01 08 | four LE uint16 | checksum 0D, ~1.43 mV/count). Never touch FEE7 or any DFU characteristic. Define the ICU CAN publication for pack and cell voltage; leave current and state of charge unsourced."
W-330b,V,"Carried from the v2 question list, 2026-09-11",Ask Ionic for the BLE protocol map for the IC-12V40-S9H,camden,open,,"Ask for the frame map on FFE0/FFE1: message types beyond 0x01, the command set for requesting current and state of charge, and the scale factors. Say the pack is an IC-12V40-S9H and that the type-01 cell frame already decodes at ~1.43 mV/count. This is what turns D-330 from voltage-only into the full picture without a shunt."
W-331,V,"Carried from the v2 question list, 2026-09-11",Allocate the PMU input for the master-switch position sense (D-331),agent,open,,"inputs lists A1-A6, A8, A15, A16 but not A7, which HO04 uses - so the table does not yet describe the module's real channel set. Complete it against the PMU-24 DL channel list, then allocate a 12 V-type input for the 9004e aux pole and write the expression that drops O12 on it. If no input is free, that is a block, not a guess."
