id,kind,signal,at_the_drop,on_the_wire,carrier_stage,teensy_pin,calibration,can,note
IC11,input,High-beam tell-tale sense,DP-ICU-B 12 ← tap on the O3 splice,0 / 12 V,as IC09,digital,None,tell-tale,
IC12,power,Logic 12 V,DP-ICU-A 1 ← O10 tap,"Accessory bus, 13 A cap shared with the head unit",SS34 → SMBJ33A → LMR36015-Q1-class buck (60 V in) 5 V → Teensy VIN; the radio on its own 3.3 V LDO (D-273),—,—,—,"~0.8 A peak: the Teensy, the transceiver, the IMU, the three sender excitations, the radio co-processor (≤ 120 mA average, ~300 mA peaks in a BLE scan) — the 36 V LMR33630 would have sat under the clamp's ~53 V"
IC13,power,"Aux 12 V, ignition — the display's backlight",DP-ICU-A 6 ← F16 (5 A),Ignition-switched,"SS34 → SMBJ33A → 4 A fuse → ≥ 60 V high-side switch (SQD50P06-class P-FET, or a VN5E-class high-side driver ≥ 6 A) → the display's backlight driver (D-268, D-273)",—,—,—,"Never joined to the logic rail on the board — two inputs, two diodes. Backlight current is the panel's spec: ~2.5 A at 12 V for the 900–1000-nit bar and its scaler (D-269), so a 4 A fuse and a switch rated well above it (D-273)"
IC14,power,Illumination,DP-ICU-A 2 ← O20 node,"The dash illumination bus, PWM-dimmed by the PMU",Divider → ADC: the dimming reference the display follows,ADC,—,—,"The display dims against the O20 bus, so one dimmer runs the whole dash"
IC15,power,Ground,DP-ICU-A 3 → GND bus,,"Single pour, star-tied here",—,—,—,
IC16,bus,CAN2,DP-ICU-A 4 / 5,500 kbps; TCAN1042HVDRQ1 confirmed available (V-057 → D-265),"TCAN1042HVDRQ1, 3.3 V IO; no termination on this board (D-079); common-mode choke footprint DNP",CAN1 (FlexCAN),—,"0x200 · 0x210 · 0x218 out; 0x180 ext (AEMnet, 29-bit, big-endian, 100 Hz) in — D-266",
IC21,display,Display header — BT817 EVE bridge to the 12.3-inch bar,"on the board, never the harness (luxury D-159); the display is this build's from the first drive (D-268)","QSPI to the BT817 bridge board → TFP410-class HDMI encoder → the 1920 × 720, 900–1000-nit bar's scaler board (chain ii, D-269); the backlight's 12 V from the F16 aux (IC13)",QSPI header to the BT817 board + the backlight feed from IC13; ribbon to the glass through the enclosure grommet,SPI1 / QSPI pins,—,—,"Chain ii is decided (V-085 → D-269); T-051 orders the eval board now, V-084 confirms pixel clock and sync polarity against the panel at install §1.22; the pages are the luxury package's firmware"
IC22,input,Page button,"local, by the display (luxury D-169)",Momentary to ground,"10 kΩ pull-up, 100 nF debounce",digital,—,local,Momentary by the display on the binnacle plate — the plate stays as the bezel's sub-frame (D-269)
IC23,sensor,IMU,"on the carrier, I²C",LSM6DSO / ICM-42688-P class (luxury D-109; the MPU-6050 / ICM-20948 are not recommended for new designs — D-273),I²C + INT; mounted per luxury D-161's axes — V-073 before layout,I²C,Zero at rest on level ground,local — the luxury package's performance page,Fitted now so the board never comes out for it (P109)
IC24,radio,Radio co-processor — battery data,on the board; nothing at the drops (D-267),Bluetooth LE to the Ionic's BMS and / or a Victron SmartShunt at the battery (the source is Q-128),"ESP32-C3 module (XIAO ESP32C3 class) on its own 3.3 V LDO (the XIAO's — the Teensy's 250 mA regulator has no headroom for a BLE scan, D-273): UART TX / RX to the Teensy (Serial2), EN and BOOT lines to two GPIOs so the Teensy can reset and reflash it, antenna end overhanging the board edge with a 5 mm keep-out toward an RF-transparent enclosure wall",Serial2 + 2 GPIO,None on this board — the BMS or the shunt calibrates itself; the ICU republishes,"0x220 out (2 Hz) — volts, amps, SoC, temperature, flags","Runs only while the ICU does (the logic rail is O10, accessory): the overnight story is read at key-on from the source's own counters. A dev board is bought now to try the decode (P116)"
