id,section,title,opened,status,owner,ask,closer,closed_on,outcome,blocks,also
Q-120,,`L2-S 5` outside-air sensor → `DP-DCU 2` · `L2-S 6` heated-nozzle / de-icer feed** (condit,,closed,camden,,D-256,2026-09-07,"**`L2-S 5` outside-air sensor → `DP-DCU 2` · `L2-S 6` heated-nozzle / de-icer feed** (conditional on luxury `Q-303`); no auto-climate, display only",,
Q-102,,"The gauge is the controller and stays**, hidden behind the dash on F20, publishing AFR on ",,closed,camden,,D-244,2026-09-04,"**The gauge is the controller and stays**, hidden behind the dash on F20, publishing AFR on **CAN2** — the PMU logs it from first start, the ICU displays it later, neither is ""first"". No engine-leg pair; L1-S2 9/10 stay plugged. **Supersedes D-227 and D-231**",,
Q-105,,"The master disconnect moves to the battery negative.** Opening it now kills the whole car,",,closed,camden,,D-245,2026-09-04,"**The master disconnect moves to the battery negative.** Opening it now kills the whole car, starter cable included. Nothing bought",,
Q-106,,1/0 starter feed and a dedicated 1/0 cranking return** rear stud → engine block. 400 A sto,,closed,camden,,D-246,2026-09-04,**1/0 starter feed and a dedicated 1/0 cranking return** rear stud → engine block. 400 A stops crossing the unibody. ≈ +$180 net,,
Q-108,,The brake wakes the module**,,closed,camden,,D-247 → D-278,2026-09-04,**The brake wakes the module** — pole 2 → `L3-S1 7` → wake strip input 6 as ruled; the contact became a plunger switch on the pedal when the two-circuit part proved NLA (D-278). A pushed or towed car lights its brake lamps,,
Q-109,,Interior lamp times out at 10 min · the 11.5 V shed takes INTERIOR and ACCESSORY · KEEP_AL,,closed,camden,,D-248,2026-09-04,**Interior lamp times out at 10 min · the 11.5 V shed takes INTERIOR and ACCESSORY · KEEP_ALIVE releases at 30 min with the key off** whatever the doors read,,
V-053,,Tapered SAE posts** → brass post clamps with a 3/8 in stud take-off; P095,,closed,camden,,D-234,2026-09-04,**Tapered SAE posts** → brass post clamps with a 3/8 in stud take-off; P095,,
Q-103,,"Boots only, no cover panel**",,closed,camden,,D-235,2026-09-04,"**Boots only, no cover panel** — the bin has a lid, and layers are what you strip off for a jump start; P094",,
Q-104,,The whole amplifier goes** with its untraceable feed and all the factory speaker wire; the,,closed,camden,,D-236,2026-09-04,**The whole amplifier goes** with its untraceable feed and all the factory speaker wire; the replacement is standalone off the posts,,
V-094,,200 A MRBF confirmed**,,closed,camden,,D-237,2026-09-04,**200 A MRBF confirmed** — cranking sits inside the curve,,
V-095,,"Cable acceptance is a cart-review line**: ≥ 90 °C, 100 % copper, CCA refused at any price",,closed,camden,,D-238,2026-09-04,"**Cable acceptance is a cart-review line**: ≥ 90 °C, 100 % copper, CCA refused at any price",,
V-051,,"170 × 230 × 190 mm**, recorded as `params.battery_case_mm`",,closed,camden,,D-239,2026-09-04,"**170 × 230 × 190 mm**, recorded as `params.battery_case_mm`",,
V-014,,,,closed,camden,,D-223,2026-09-03,D-223,,
Q-101,,,,closed,camden,,D-224,2026-09-03,D-224,,
V-028,,,,closed,camden,,D-225,2026-09-03,D-225,,
V-001,,,,closed,camden,,D-226,2026-09-03,D-226,,
Q-100,,,,closed,camden,,D-227,2026-09-03,D-227 *,,
V-097,,,,closed,camden,,D-228,2026-09-03,D-228,,
V-093,,,,closed,camden,,D-229,2026-09-03,D-229,,
Q-072,,,,moved,camden,,D-213,,One wiring project — answered,,
V-070,,,,moved,camden,,`../luxury-package/QUESTIONS.md`,,"DCU carrier, firmware, the PMU's CAN export",,
V-071,,,,moved,camden,,`../luxury-package/QUESTIONS.md`,,"DCU carrier, firmware, the PMU's CAN export",,
V-072,,,,moved,camden,,`../luxury-package/QUESTIONS.md`,,"DCU carrier, firmware, the PMU's CAN export",,
V-059,,,,moved,camden,,`../luxury-package/QUESTIONS.md`,,"DCU carrier, firmware, the PMU's CAN export",,
V-065,,,,moved,camden,,`../luxury-package/QUESTIONS.md`,,"DCU carrier, firmware, the PMU's CAN export",,
V-067,,,,moved,camden,,`../luxury-package/QUESTIONS.md`,,"DCU carrier, firmware, the PMU's CAN export",,
V-083,,,,moved,camden,,`../luxury-package/QUESTIONS.md`,,"DCU carrier, firmware, the PMU's CAN export",,
V-084,,,,moved,camden,,back in §1 above (D-268),,The display is this build's instrument,,
T-051,,,,moved,camden,,back in §1 above (D-268),,The display is this build's instrument,,
Q-028,,,,moved,camden,,`../luxury-package/QUESTIONS.md`,,"Control panel, mirrors, solenoids, radar, module boards",,
V-060,,,,moved,camden,,`../luxury-package/QUESTIONS.md`,,"Control panel, mirrors, solenoids, radar, module boards",,
V-061,,,,moved,camden,,`../luxury-package/QUESTIONS.md`,,"Control panel, mirrors, solenoids, radar, module boards",,
T-031,,,,moved,camden,,`../luxury-package/QUESTIONS.md`,,"Control panel, mirrors, solenoids, radar, module boards",,
T-032,,,,moved,camden,,`../luxury-package/QUESTIONS.md`,,"Control panel, mirrors, solenoids, radar, module boards",,
T-033,,,,moved,camden,,`../luxury-package/QUESTIONS.md`,,"Control panel, mirrors, solenoids, radar, module boards",,
T-048,,,,moved,camden,,`../luxury-package/QUESTIONS.md`,,"Control panel, mirrors, solenoids, radar, module boards",,
Q-048,,,,moved,camden,,`../luxury-package/QUESTIONS.md`,,"Lighting second pass (tail lights, headlamp unit)",,
V-063,,,,moved,camden,,`../luxury-package/QUESTIONS.md`,,"Lighting second pass (tail lights, headlamp unit)",,
V-064,,,,moved,camden,,`../luxury-package/QUESTIONS.md`,,"Lighting second pass (tail lights, headlamp unit)",,
V-066,,,,moved,camden,,`../luxury-package/QUESTIONS.md`,,"Lighting second pass (tail lights, headlamp unit)",,
T-034,,,,moved,camden,,`../luxury-package/QUESTIONS.md`,,"Lighting second pass (tail lights, headlamp unit)",,
T-035,,,,moved,camden,,`../luxury-package/QUESTIONS.md`,,"Lighting second pass (tail lights, headlamp unit)",,
T-036,,,,moved,camden,,`../luxury-package/QUESTIONS.md`,,"Lighting second pass (tail lights, headlamp unit)",,
T-037,,,,moved,camden,,`../luxury-package/QUESTIONS.md`,,"Lighting second pass (tail lights, headlamp unit)",,
V-040,,,,moved,camden,,`../engine-swap/QUESTIONS.md`,,Aeromotive in-tank pump draw,,
Q-001,,,,moved,camden,,`00-CAR/vehicle.md`,,"The VIN is a car-level record, not an electrical question",,
T-049,,,,moved,camden,,`00-CAR/vehicle.md`,,"The VIN is a car-level record, not an electrical question",,
V-074,,,,moved,camden,,closed,,"Answered by the design as built (D-215, D-216, D-218, D-219, D-221) or turned into an install step",,
V-047,,,,moved,camden,,closed,,"Answered by the design as built (D-215, D-216, D-218, D-219, D-221) or turned into an install step",,
V-069,,,,moved,camden,,closed,,"Answered by the design as built (D-215, D-216, D-218, D-219, D-221) or turned into an install step",,
V-087,,,,moved,camden,,closed,,"Answered by the design as built (D-215, D-216, D-218, D-219, D-221) or turned into an install step",,
V-089,,,,moved,camden,,closed,,"Answered by the design as built (D-215, D-216, D-218, D-219, D-221) or turned into an install step",,
V-090,,,,moved,camden,,closed,,"Answered by the design as built (D-215, D-216, D-218, D-219, D-221) or turned into an install step",,
V-091,,,,moved,camden,,closed,,"Answered by the design as built (D-215, D-216, D-218, D-219, D-221) or turned into an install step",,
V-092,,,,moved,camden,,closed,,"Answered by the design as built (D-215, D-216, D-218, D-219, D-221) or turned into an install step",,
V-096,,,,moved,camden,,closed,,"Answered by the design as built (D-215, D-216, D-218, D-219, D-221) or turned into an install step",,
V-038,,,,moved,camden,,closed,,"Answered by the design as built (D-215, D-216, D-218, D-219, D-221) or turned into an install step",,
V-021,,,,moved,camden,,closed,,"Answered by the design as built (D-215, D-216, D-218, D-219, D-221) or turned into an install step",,
V-019,,,,moved,camden,,closed,,"Answered by the design as built (D-215, D-216, D-218, D-219, D-221) or turned into an install step",,
A-010,,,,moved,camden,,closed,,"Answered by the design as built (D-215, D-216, D-218, D-219, D-221) or turned into an install step",,
A-012,,,,moved,camden,,closed,,"Answered by the design as built (D-215, D-216, D-218, D-219, D-221) or turned into an install step",,
A-013,,,,moved,camden,,closed,,"Answered by the design as built (D-215, D-216, D-218, D-219, D-221) or turned into an install step",,
A-011,,,,moved,camden,,D-227 → D-244,,"Superseded twice — the wideband is a CAN node now, not a capped conductor",,
T-007,,,,moved,camden,,§0 above or the install plan,,"Tasks are the finishing list and the plan's own boxes now, not a separate list",,
T-008,,,,moved,camden,,§0 above or the install plan,,"Tasks are the finishing list and the plan's own boxes now, not a separate list",,
T-024,,,,moved,camden,,§0 above or the install plan,,"Tasks are the finishing list and the plan's own boxes now, not a separate list",,
T-028,,,,moved,camden,,§0 above or the install plan,,"Tasks are the finishing list and the plan's own boxes now, not a separate list",,
T-029,,,,moved,camden,,§0 above or the install plan,,"Tasks are the finishing list and the plan's own boxes now, not a separate list",,
T-018,,,,moved,camden,,§0 above or the install plan,,"Tasks are the finishing list and the plan's own boxes now, not a separate list",,
T-019,,,,moved,camden,,§0 above or the install plan,,"Tasks are the finishing list and the plan's own boxes now, not a separate list",,
T-052,,,,moved,camden,,§0 above or the install plan,,"Tasks are the finishing list and the plan's own boxes now, not a separate list",,
T-054,,,,moved,camden,,§0 above or the install plan,,"Tasks are the finishing list and the plan's own boxes now, not a separate list",,
T-043,,,,moved,camden,,§0 above or the install plan,,"Tasks are the finishing list and the plan's own boxes now, not a separate list",,
T-044,,,,moved,camden,,§0 above or the install plan,,"Tasks are the finishing list and the plan's own boxes now, not a separate list",,
T-045,,,,moved,camden,,§0 above or the install plan,,"Tasks are the finishing list and the plan's own boxes now, not a separate list",,
T-022,,,,moved,camden,,§0 above or the install plan,,"Tasks are the finishing list and the plan's own boxes now, not a separate list",,
T-004,,,,moved,camden,,§0 above or the install plan,,"Tasks are the finishing list and the plan's own boxes now, not a separate list",,
T-009,,,,moved,camden,,§0 above or the install plan,,"Tasks are the finishing list and the plan's own boxes now, not a separate list",,
T-041,,,,moved,camden,,§0 above or the install plan,,"Tasks are the finishing list and the plan's own boxes now, not a separate list",,
T-038,,,,moved,camden,,§0 above or the install plan,,"Tasks are the finishing list and the plan's own boxes now, not a separate list",,
T-039,,,,moved,camden,,§0 above or the install plan,,"Tasks are the finishing list and the plan's own boxes now, not a separate list",,
T-040,,,,moved,camden,,§0 above or the install plan,,"Tasks are the finishing list and the plan's own boxes now, not a separate list",,
T-053,,,,moved,camden,,§0 above or the install plan,,"Tasks are the finishing list and the plan's own boxes now, not a separate list",,
